player,nationality,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,team,Pos1,Pos2
Hugo Lloris,fr FRA,32.0,20.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,2.0,Tottenham,GK,
Jan Vertonghen,be BEL,32.0,18.3,31.0,21,17.0,13.0,1.0,10.0,20.0,50.0,10.0,154.0,51.0,33.1,98.0,49.0,7.0,30.0,10.0,0.0,20.0,31,62,116.0,0.0,Tottenham,DF,
Paulo Gazzaniga,ar ARG,27.0,17.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Tottenham,GK,
Ben Davies,wal WAL,26.0,15.9,29.0,13,13.0,13.0,3.0,5.0,24.0,20.8,19.0,214.0,63.0,29.4,98.0,91.0,25.0,43.0,13.0,0.0,30.0,24,53,67.0,1.0,Tottenham,DF,
Giovani Lo Celso,ar ARG,23.0,16.6,51.0,33,13.0,31.0,7.0,9.0,53.0,17.0,44.0,420.0,134.0,31.9,141.0,211.0,68.0,29.0,6.0,0.0,23.0,12,63,20.0,1.0,Tottenham,MF,FW
Eric Dier,eng ENG,25.0,14.9,25.0,14,13.0,10.0,2.0,6.0,22.0,27.3,16.0,204.0,54.0,26.5,92.0,93.0,19.0,26.0,11.0,0.0,15.0,19,44,78.0,0.0,Tottenham,DF,MF
Érik Lamela,ar ARG,27.0,13.5,27.0,21,8.0,15.0,4.0,5.0,22.0,22.7,17.0,315.0,88.0,27.9,81.0,150.0,84.0,19.0,3.0,0.0,16.0,7,34,8.0,0.0,Tottenham,MF,FW
Tanguy Ndombele,fr FRA,22.0,11.2,27.0,19,12.0,14.0,1.0,10.0,27.0,37.0,17.0,226.0,56.0,24.8,79.0,107.0,40.0,27.0,4.0,0.0,23.0,13,40,8.0,0.0,Tottenham,MF,
Christian Eriksen,dk DEN,27.0,12.2,19.0,12,12.0,6.0,1.0,5.0,23.0,21.7,18.0,260.0,55.0,21.2,83.0,126.0,51.0,19.0,1.0,0.0,18.0,11,30,11.0,0.0,Tottenham,MF,FW
Danny Rose,eng ENG,29.0,9.9,16.0,13,5.0,7.0,4.0,7.0,17.0,41.2,10.0,103.0,34.0,33.0,47.0,35.0,21.0,23.0,7.0,0.0,16.0,7,23,34.0,0.0,Tottenham,DF,
Steven Bergwijn,nl NED,21.0,7.8,5.0,4,1.0,3.0,1.0,2.0,10.0,20.0,8.0,117.0,34.0,29.1,26.0,68.0,23.0,11.0,0.0,0.0,11.0,3,8,7.0,0.0,Tottenham,FW,MF
Japhet Tanganga,eng ENG,20.0,5.8,20.0,15,14.0,5.0,1.0,9.0,19.0,47.4,10.0,95.0,30.0,31.6,52.0,38.0,5.0,12.0,5.0,1.0,7.0,11,31,33.0,1.0,Tottenham,DF,
Ryan Sessegnon,eng ENG,19.0,3.8,5.0,0,2.0,3.0,0.0,2.0,5.0,40.0,3.0,51.0,11.0,21.6,21.0,19.0,11.0,4.0,0.0,0.0,4.0,1,6,15.0,0.0,Tottenham,DF,
Kyle Walker-Peters,eng ENG,22.0,2.7,5.0,3,5.0,0.0,0.0,1.0,5.0,20.0,4.0,36.0,12.0,33.3,19.0,11.0,6.0,6.0,2.0,0.0,4.0,2,7,9.0,0.0,Tottenham,DF,
Oliver Skipp,eng ENG,18.0,0.9,3.0,2,1.0,2.0,0.0,1.0,2.0,50.0,1.0,31.0,6.0,19.4,14.0,14.0,3.0,3.0,1.0,0.0,2.0,0,3,0.0,0.0,Tottenham,MF,DF
Juan Foyth,ar ARG,21.0,0.8,7.0,4,5.0,1.0,1.0,2.0,3.0,66.7,1.0,14.0,5.0,35.7,10.0,4.0,0.0,2.0,0.0,0.0,2.0,2,9,4.0,0.0,Tottenham,DF,
Gedson Fernandes,pt POR,20.0,0.8,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,5.0,27.8,7.0,7.0,4.0,1.0,0.0,0.0,1.0,1,2,0.0,0.0,Tottenham,MF,DF
Victor Wanyama,ke KEN,28.0,0.3,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0,1,1.0,0.0,Tottenham,MF,
Troy Parrott,ie IRL,17.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Tottenham,MF,
Georges-Kévin N'Koudou,fr FRA,24.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,42.9,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Tottenham,FW,
Ben Foster,eng ENG,36.0,38.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1.0,2.0,Watford,GK,
Abdoulaye Doucouré,fr FRA,26.0,35.1,70.0,49,29.0,30.0,11.0,16.0,60.0,26.7,44.0,947.0,238.0,25.1,268.0,463.0,216.0,59.0,9.0,0.0,50.0,32,102,45.0,0.0,Watford,MF,
Étienne Capoue,fr FRA,31.0,29.2,80.0,54,43.0,31.0,6.0,34.0,89.0,38.2,55.0,662.0,172.0,26.0,288.0,293.0,81.0,53.0,10.0,0.0,43.0,62,142,70.0,0.0,Watford,MF,
Craig Cathcart,nir NIR,30.0,27.6,37.0,26,21.0,15.0,1.0,10.0,30.0,33.3,20.0,195.0,68.0,34.9,112.0,75.0,8.0,35.0,16.0,1.0,19.0,22,59,195.0,2.0,Watford,DF,
Will Hughes,eng ENG,24.0,25.0,80.0,49,30.0,37.0,13.0,27.0,86.0,31.4,59.0,676.0,181.0,26.8,198.0,334.0,144.0,66.0,9.0,0.0,57.0,35,115,30.0,0.0,Watford,MF,FW
