player,nationality,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,team,Pos1,Pos2
Matt Targett,eng ENG,23.0,28,27,"2,291",1.0,2.0,0.0,0.0,4.0,0.0,0.04,0.08,0.12,0.04,0.12,0.5,0.5,2.7,0.02,0.11,0.12,0.02,0.12,Aston Villa,DF,
Anwar El Ghazi,nl NED,24.0,34,26,"2,051",4.0,4.0,1.0,1.0,3.0,0.0,0.18,0.18,0.35,0.13,0.31,5.8,5.1,2.8,0.26,0.12,0.38,0.22,0.34,Aston Villa,FW,MF
Ezri Konsa,eng ENG,21.0,25,24,"2,039",1.0,2.0,0.0,0.0,3.0,0.0,0.04,0.09,0.13,0.04,0.13,1.5,1.5,0.4,0.07,0.02,0.09,0.07,0.09,Aston Villa,DF,
Frederic Guilbert,fr FRA,24.0,25,22,"2,041",0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,1.4,0.02,0.06,0.08,0.02,0.08,Aston Villa,DF,
Wesley Moraes,br BRA,22.0,21,21,"1,782",5.0,1.0,0.0,1.0,3.0,0.0,0.25,0.05,0.3,0.25,0.3,5.2,4.3,0.8,0.26,0.04,0.3,0.22,0.26,Aston Villa,FW,
Trézéguet,eg EGY,24.0,34,20,"1,950",6.0,1.0,0.0,0.0,4.0,1.0,0.28,0.05,0.32,0.28,0.32,3.7,3.7,0.8,0.17,0.04,0.21,0.17,0.21,Aston Villa,FW,MF
Tom Heaton,eng ENG,33.0,20,20,"1,794",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,GK,
Marvelous Nakamba,zw ZIM,25.0,29,19,"1,836",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.01,0.02,0.03,0.01,0.03,Aston Villa,MF,
Conor Hourihane,ie IRL,28.0,27,18,"1,534",3.0,5.0,0.0,0.0,4.0,0.0,0.18,0.29,0.47,0.18,0.47,1.7,1.7,5.2,0.1,0.3,0.4,0.1,0.4,Aston Villa,MF,
Kortney Hause,eng ENG,24.0,18,17,"1,545",1.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,2.2,2.2,0.2,0.13,0.01,0.14,0.13,0.14,Aston Villa,DF,
Björn Engels,be BEL,24.0,17,15,"1,447",1.0,0.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.06,0.8,0.8,0.1,0.05,0.0,0.05,0.05,0.05,Aston Villa,DF,
Pepe Reina,es ESP,36.0,12,12,"1,080",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,GK,
Neil Taylor,wal WAL,30.0,14,11,"1,091",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.03,0.02,0.04,0.03,0.04,Aston Villa,DF,
