player,nationality,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,team,Pos1,Pos2
Ezri Konsa,eng ENG,21.0,22.7,853.0,748.0,105.0,18.0,0.0,118.0,18.0,13,0.0,0.0,0.0,0.0,498.0,138.0,217.0,83.0,600.0,44.0,87.0,5.0,674.0,0.0,20.0,10.0,15.0,Aston Villa,DF,
Frederic Guilbert,fr FRA,24.0,22.7,1026.0,807.0,219.0,13.0,1.0,139.0,26.0,91,1.0,0.0,0.0,0.0,439.0,225.0,362.0,94.0,629.0,68.0,205.0,7.0,687.0,8.0,35.0,18.0,51.0,Aston Villa,DF,
Wesley Moraes,br BRA,22.0,19.8,377.0,361.0,16.0,0.0,0.0,115.0,12.0,7,0.0,0.0,0.0,0.0,221.0,94.0,62.0,16.0,282.0,33.0,2.0,10.0,277.0,3.0,6.0,6.0,11.0,Aston Villa,FW,
Trézéguet,eg EGY,24.0,21.7,445.0,425.0,20.0,2.0,1.0,90.0,22.0,65,10.0,5.0,2.0,0.0,254.0,86.0,105.0,22.0,361.0,28.0,8.0,9.0,295.0,2.0,17.0,11.0,23.0,Aston Villa,FW,MF
Tom Heaton,eng ENG,33.0,19.9,614.0,342.0,272.0,76.0,0.0,62.0,17.0,0,0.0,0.0,0.0,0.0,210.0,22.0,382.0,28.0,461.0,1.0,0.0,95.0,350.0,2.0,22.0,1.0,0.0,Aston Villa,GK,
Marvelous Nakamba,zw ZIM,25.0,20.4,792.0,768.0,24.0,20.0,0.0,172.0,17.0,3,0.0,0.0,0.0,0.0,600.0,102.0,90.0,636.0,103.0,34.0,3.0,2.0,669.0,2.0,15.0,13.0,11.0,Aston Villa,MF,
Conor Hourihane,ie IRL,28.0,17.0,721.0,564.0,157.0,72.0,2.0,91.0,35.0,112,55.0,22.0,19.0,0.0,455.0,101.0,165.0,626.0,55.0,18.0,11.0,2.0,542.0,2.0,15.0,12.0,23.0,Aston Villa,MF,
Kortney Hause,eng ENG,24.0,17.2,789.0,743.0,46.0,25.0,0.0,141.0,26.0,0,0.0,0.0,0.0,0.0,418.0,125.0,246.0,569.0,77.0,61.0,21.0,1.0,591.0,4.0,20.0,12.0,15.0,Aston Villa,DF,
Björn Engels,be BEL,24.0,16.1,605.0,586.0,19.0,17.0,0.0,91.0,29.0,2,0.0,0.0,0.0,0.0,399.0,68.0,138.0,53.0,491.0,31.0,2.0,1.0,503.0,2.0,9.0,5.0,4.0,Aston Villa,DF,
Pepe Reina,es ESP,36.0,12.0,395.0,254.0,141.0,48.0,0.0,47.0,16.0,0,0.0,0.0,0.0,0.0,139.0,28.0,228.0,33.0,290.0,0.0,0.0,47.0,272.0,3.0,13.0,1.0,0.0,Aston Villa,GK,
Neil Taylor,wal WAL,30.0,12.1,513.0,414.0,99.0,6.0,0.0,94.0,4.0,9,0.0,0.0,0.0,0.0,286.0,128.0,99.0,276.0,123.0,16.0,93.0,0.0,410.0,2.0,9.0,5.0,14.0,Aston Villa,DF,
Ahmed Elmohamady,eg EGY,31.0,11.5,633.0,533.0,100.0,6.0,0.0,102.0,12.0,58,0.0,0.0,0.0,0.0,304.0,136.0,193.0,7.0,482.0,30.0,94.0,1.0,484.0,3.0,9.0,18.0,14.0,Aston Villa,DF,
Mbwana Samatta,tz TAN,26.0,10.5,179.0,171.0,8.0,0.0,1.0,51.0,1.0,3,0.0,0.0,0.0,0.0,94.0,36.0,49.0,22.0,103.0,21.0,1.0,6.0,127.0,0.0,4.0,3.0,6.0,Aston Villa,FW,
Ørjan Nyland,no NOR,28.0,6.0,182.0,111.0,71.0,18.0,0.0,10.0,3.0,0,0.0,0.0,0.0,0.0,62.0,13.0,107.0,15.0,133.0,0.0,0.0,28.0,105.0,1.0,8.0,1.0,1.0,Aston Villa,GK,
Keinan Davis,eng ENG,21.0,6.1,141.0,135.0,6.0,0.0,0.0,56.0,0.0,1,0.0,0.0,0.0,0.0,101.0,22.0,18.0,98.0,20.0,6.0,1.0,2.0,107.0,0.0,3.0,1.0,5.0,Aston Villa,FW,
Jota,es ESP,28.0,3.7,98.0,93.0,5.0,2.0,3.0,24.0,1.0,2,1.0,1.0,0.0,0.0,63.0,14.0,21.0,83.0,10.0,3.0,2.0,0.0,73.0,1.0,1.0,2.0,2.0,Aston Villa,FW,MF
Danny Drinkwater,eng ENG,29.0,2.9,167.0,163.0,4.0,4.0,0.0,32.0,7.0,1,0.0,0.0,0.0,0.0,96.0,44.0,27.0,35.0,126.0,3.0,0.0,0.0,136.0,0.0,5.0,2.0,6.0,Aston Villa,MF,
