player,nationality,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,team,Pos1,Pos2
Tom Heaton,eng ENG,33.0,19.9,0,0,0,1,2,0,0,0,0,0.0,1.0,1,84.0,1.0,0.0,100.0,Aston Villa,GK,
Marvelous Nakamba,zw ZIM,25.0,20.4,5,0,0,26,24,0,3,38,47,0.0,0.0,0,236.0,16.0,33.0,32.7,Aston Villa,MF,
Conor Hourihane,ie IRL,28.0,17.0,4,0,0,14,21,4,112,12,14,1.0,0.0,0,127.0,11.0,10.0,52.4,Aston Villa,MF,
Kortney Hause,eng ENG,24.0,17.2,3,0,0,24,9,1,0,20,22,0.0,0.0,0,245.0,102.0,37.0,73.4,Aston Villa,DF,
Björn Engels,be BEL,24.0,16.1,1,0,0,5,5,1,2,29,4,0.0,2.0,0,128.0,58.0,28.0,67.4,Aston Villa,DF,
Pepe Reina,es ESP,36.0,12.0,1,0,0,1,4,0,0,0,0,0.0,0.0,0,51.0,0.0,0.0,0.0,Aston Villa,GK,
Neil Taylor,wal WAL,30.0,12.1,2,0,0,8,6,0,9,20,9,0.0,0.0,0,94.0,10.0,16.0,38.5,Aston Villa,DF,
Ahmed Elmohamady,eg EGY,31.0,11.5,1,0,0,13,5,2,58,13,17,0.0,0.0,0,114.0,25.0,20.0,55.6,Aston Villa,DF,
Mbwana Samatta,tz TAN,26.0,10.5,1,0,0,8,18,8,3,1,7,0.0,0.0,0,35.0,34.0,78.0,30.4,Aston Villa,FW,
Ørjan Nyland,no NOR,28.0,6.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,24.0,0.0,0.0,0.0,Aston Villa,GK,
Keinan Davis,eng ENG,21.0,6.1,0,0,0,12,11,3,1,0,2,0.0,0.0,0,27.0,23.0,39.0,37.1,Aston Villa,FW,
Jota,es ESP,28.0,3.7,0,0,0,6,2,0,2,3,2,0.0,0.0,0,24.0,1.0,5.0,16.7,Aston Villa,FW,MF
Danny Drinkwater,eng ENG,29.0,2.9,1,0,0,7,1,0,1,5,5,0.0,0.0,0,46.0,2.0,2.0,50.0,Aston Villa,MF,
Henri Lansbury,eng ENG,28.0,2.2,0,0,0,4,1,0,1,0,2,0.0,0.0,0,26.0,2.0,6.0,25.0,Aston Villa,MF,
Jed Steer,eng ENG,26.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Aston Villa,GK,
Jonathan Kodjia,ci CIV,29.0,1.3,1,0,0,1,2,0,0,0,0,0.0,0.0,0,5.0,5.0,4.0,55.6,Aston Villa,FW,MF
Indiana Vassilev,us USA,18.0,0.6,0,0,0,0,1,2,0,0,1,0.0,0.0,0,3.0,0.0,2.0,0.0,Aston Villa,FW,MF
Borja Bastón,es ESP,26.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,1.0,3.0,25.0,Aston Villa,MF,FW
