player,nationality,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,team,Pos1,Pos2
Jaïro Riedewald,nl NED,22.0,8.5,0,0,0,3,2,0,6,15,12,0.0,0.0,0,90.0,6.0,2.0,75.0,Crystal Palace,DF,MF
Max Meyer,de GER,23.0,7.3,1,0,0,6,16,2,9,9,8,0.0,0.0,0,50.0,3.0,7.0,30.0,Crystal Palace,MF,FW
Wayne Hennessey,wal WAL,32.0,3.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,7.0,0.0,0.0,0.0,Crystal Palace,GK,
Tyrick Mitchell,eng ENG,19.0,2.2,1,0,0,1,1,0,4,3,2,0.0,0.0,0,18.0,1.0,6.0,14.3,Crystal Palace,DF,
Cenk Tosun,tr TUR,28.0,2.0,0,0,0,4,4,1,2,0,2,0.0,0.0,0,9.0,5.0,16.0,23.8,Crystal Palace,FW,
Connor Wickham,eng ENG,26.0,1.1,0,0,0,4,0,1,0,0,2,0.0,0.0,0,8.0,10.0,7.0,58.8,Crystal Palace,FW,MF
Brandon Pierrick,eng ENG,17.0,0.2,0,0,0,0,0,0,2,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Crystal Palace,MF,
Víctor Camarasa,es ESP,25.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Crystal Palace,MF,
Jordan Pickford,eng ENG,25.0,38.0,2,0,0,1,8,0,0,1,0,0.0,0.0,0,233.0,0.0,0.0,0.0,Everton,GK,
Richarlison,br BRA,22.0,34.1,8,0,0,43,72,17,56,12,45,0.0,1.0,0,222.0,68.0,126.0,35.1,Everton,FW,
Lucas Digne,fr FRA,26.0,33.7,6,0,0,45,28,3,270,46,39,0.0,1.0,1,363.0,112.0,53.0,67.9,Everton,DF,
Dominic Calvert-Lewin,eng ENG,22.0,29.2,9,0,0,57,44,13,19,6,11,0.0,0.0,0,102.0,170.0,196.0,46.4,Everton,FW,
Gylfi Sigurðsson,is ISL,29.0,28.4,3,0,0,34,23,2,131,36,45,0.0,0.0,0,241.0,18.0,28.0,39.1,Everton,MF,
Michael Keane,eng ENG,26.0,28.4,3,0,0,21,8,0,0,46,26,0.0,1.0,1,297.0,133.0,77.0,63.3,Everton,DF,
Yerry Mina,co COL,24.0,25.4,3,0,0,20,13,2,4,29,20,0.0,0.0,1,279.0,112.0,63.0,64.0,Everton,DF,
Mason Holgate,eng ENG,22.0,22.8,5,0,0,17,25,1,2,32,28,0.0,0.0,0,207.0,42.0,31.0,57.5,Everton,DF,
Tom Davies,eng ENG,21.0,22.5,8,0,0,29,40,1,8,34,18,0.0,0.0,0,252.0,34.0,31.0,52.3,Everton,MF,
Séamus Coleman,ie IRL,30.0,20.4,5,1,1,19,19,1,42,24,31,0.0,0.0,0,211.0,30.0,23.0,56.6,Everton,DF,
Alex Iwobi,ng NGA,23.0,17.7,0,0,0,12,4,0,48,13,14,0.0,0.0,0,145.0,7.0,15.0,31.8,Everton,MF,FW
Djibril Sidibé,fr FRA,27.0,20.3,3,0,0,24,19,2,70,41,40,0.0,0.0,0,214.0,29.0,33.0,46.8,Everton,DF,
André Gomes,pt POR,26.0,16.2,6,0,0,38,19,0,12,7,24,0.0,1.0,0,171.0,13.0,15.0,46.4,Everton,MF,
Theo Walcott,eng ENG,30.0,14.3,1,0,0,9,17,10,41,8,8,0.0,0.0,0,101.0,7.0,18.0,28.0,Everton,MF,FW
Bernard,br BRA,26.0,14.2,2,0,0,19,10,0,36,16,14,0.0,0.0,0,115.0,1.0,15.0,6.3,Everton,MF,FW
Fabian Delph,eng ENG,29.0,13.2,5,1,1,18,7,0,8,16,11,0.0,0.0,0,175.0,12.0,10.0,54.5,Everton,MF,
Morgan Schneiderlin,fr FRA,29.0,11.1,6,1,1,18,2,0,8,21,19,0.0,0.0,0,127.0,18.0,11.0,62.1,Everton,MF,
Moise Kean,it ITA,19.0,9.5,1,0,0,27,11,4,12,6,6,0.0,0.0,0,40.0,7.0,31.0,18.4,Everton,FW,
Anthony Gordon,eng ENG,18.0,4.9,0,0,0,9,12,1,8,8,6,0.0,0.0,0,23.0,0.0,7.0,0.0,Everton,MF,FW
Leighton Baines,eng ENG,34.0,4.5,0,0,0,1,4,0,27,5,6,0.0,0.0,0,29.0,6.0,6.0,50.0,Everton,DF,
Jarrad Branthwaite,eng ENG,17.0,3.3,0,0,0,3,3,0,0,1,7,0.0,0.0,0,24.0,8.0,11.0,42.1,Everton,DF,
Cenk Tosun,tr TUR,28.0,3.2,0,0,0,4,4,1,2,0,0,0.0,0.0,0,12.0,7.0,15.0,31.8,Everton,FW,
Jean-Philippe Gbamin,ci CIV,23.0,1.5,0,0,0,2,2,0,0,1,4,0.0,0.0,0,15.0,2.0,2.0,50.0,Everton,MF,
Oumar Niasse,sn SEN,29.0,0.2,0,0,0,2,0,0,1,1,1,0.0,0.0,0,1.0,0.0,4.0,0.0,Everton,FW,
Kasper Schmeichel,dk DEN,32.0,38.0,2,0,0,0,7,0,0,0,0,0.0,0.0,0,184.0,0.0,0.0,0.0,Leicester City,GK,
Jonny Evans,nir NIR,31.0,37.6,8,1,0,36,27,2,8,58,31,1.0,1.0,1,434.0,141.0,59.0,70.5,Leicester City,DF,
Çağlar Söyüncü,tr TUR,23.0,33.7,4,1,0,29,20,1,4,43,47,0.0,2.0,0,363.0,122.0,56.0,68.5,Leicester City,DF,
Jamie Vardy,eng ENG,32.0,33.7,2,0,0,19,12,28,33,2,11,1.0,0.0,0,91.0,53.0,99.0,34.9,Leicester City,FW,
Youri Tielemans,be BEL,22.0,31.4,2,0,0,33,49,1,82,29,40,0.0,0.0,0,287.0,29.0,28.0,50.9,Leicester City,MF,
Wilfred Ndidi,ng NGA,22.0,29.7,6,0,0,56,27,1,3,84,76,0.0,3.0,0,430.0,77.0,62.0,55.4,Leicester City,MF,
James Maddison,eng ENG,22.0,29.2,4,0,0,36,88,4,220,10,39,0.0,0.0,0,218.0,6.0,29.0,17.1,Leicester City,MF,
Ricardo Pereira,pt POR,25.0,28.0,1,0,0,44,37,0,57,43,68,0.0,1.0,0,227.0,38.0,41.0,48.1,Leicester City,DF,
Ben Chilwell,eng ENG,22.0,26.4,3,0,0,28,30,1,104,28,26,0.0,0.0,0,241.0,62.0,22.0,73.8,Leicester City,DF,
Ayoze Pérez,es ESP,26.0,22.3,0,0,0,30,30,7,29,13,34,0.0,0.0,0,138.0,23.0,44.0,34.3,Leicester City,MF,FW
Harvey Barnes,eng ENG,21.0,23.1,0,0,0,21,29,4,42,5,12,1.0,0.0,0,118.0,25.0,39.0,39.1,Leicester City,MF,FW
Dennis Praet,be BEL,25.0,12.6,2,0,0,17,13,1,21,15,18,0.0,1.0,0,144.0,5.0,9.0,35.7,Leicester City,MF,
Kelechi Iheanacho,ng NGA,22.0,10.7,1,0,0,24,13,9,2,4,5,2.0,0.0,0,42.0,3.0,29.0,9.4,Leicester City,FW,
James Justin,eng ENG,21.0,11.2,1,0,0,8,20,1,38,9,19,0.0,1.0,1,127.0,16.0,26.0,38.1,Leicester City,DF,
Hamza Choudhury,eng ENG,21.0,9.9,4,1,1,12,7,0,4,27,13,0.0,0.0,0,104.0,11.0,8.0,57.9,Leicester City,MF,
Marc Albrighton,eng ENG,29.0,9.6,2,0,0,8,11,1,68,8,11,0.0,1.0,0,90.0,2.0,5.0,28.6,Leicester City,MF,DF
Christian Fuchs,at AUT,33.0,8.6,0,0,0,3,0,1,16,16,9,0.0,0.0,0,79.0,22.0,17.0,56.4,Leicester City,DF,
Wes Morgan,jm JAM,35.0,4.8,0,0,0,4,1,0,0,7,4,0.0,0.0,0,43.0,15.0,14.0,51.7,Leicester City,DF,
Nampalys Mendy,fr FRA,27.0,3.2,0,0,0,4,8,0,2,6,4,0.0,0.0,0,34.0,5.0,1.0,83.3,Leicester City,MF,
Demarai Gray,eng ENG,23.0,6.9,1,0,0,2,10,3,31,5,5,1.0,0.0,0,63.0,3.0,7.0,30.0,Leicester City,MF,FW
Ryan Bennett,eng ENG,29.0,3.7,0,0,0,3,0,0,2,7,2,0.0,0.0,0,43.0,10.0,11.0,47.6,Leicester City,DF,
Luke Thomas,eng ENG,,3.0,0,0,0,1,3,0,16,4,3,0.0,0.0,0,27.0,3.0,10.0,23.1,Leicester City,DF,
George Hirst,eng ENG,20.0,0.1,0,0,0,0,2,0,0,0,0,0.0,0.0,0,2.0,4.0,1.0,80.0,Leicester City,FW,
Matty James,eng ENG,28.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Leicester City,MF,
Virgil van Dijk,nl NED,28.0,38.0,1,0,0,16,25,1,0,35,20,0.0,0.0,0,505.0,183.0,43.0,81.0,Liverpool,DF,
Trent Alexander-Arnold,eng ENG,20.0,35.3,5,0,0,22,9,3,377,46,25,0.0,0.0,0,352.0,14.0,32.0,30.4,Liverpool,DF,
Georginio Wijnaldum,nl NED,28.0,32.6,0,0,0,15,32,1,5,18,29,0.0,0.0,0,296.0,37.0,53.0,41.1,Liverpool,MF,
Andrew Robertson,sco SCO,25.0,34.6,2,0,0,18,13,2,204,38,32,0.0,0.0,0,340.0,25.0,32.0,43.9,Liverpool,DF,
Roberto Firmino,br BRA,27.0,33.2,0,0,0,29,16,6,8,8,26,0.0,0.0,0,191.0,29.0,74.0,28.2,Liverpool,FW,
Mohamed Salah,eg EGY,27.0,32.0,1,0,0,17,18,20,45,8,13,1.0,0.0,0,167.0,13.0,48.0,21.3,Liverpool,FW,
Sadio Mané,sn SEN,27.0,30.5,3,0,0,46,51,14,49,14,35,2.0,0.0,0,169.0,35.0,79.0,30.7,Liverpool,FW,
Alisson,br BRA,26.0,28.3,0,1,0,1,1,0,0,1,0,0.0,0.0,0,153.0,0.0,0.0,0.0,Liverpool,GK,
Jordan Henderson,eng ENG,29.0,24.9,2,0,0,31,12,0,58,29,36,0.0,0.0,0,322.0,25.0,10.0,71.4,Liverpool,MF,
Fabinho,br BRA,25.0,23.1,6,0,0,32,20,0,9,35,53,0.0,0.0,0,326.0,41.0,30.0,57.7,Liverpool,MF,
Joe Gomez,eng ENG,22.0,22.3,7,0,0,21,13,0,9,41,15,0.0,1.0,0,351.0,72.0,44.0,62.1,Liverpool,DF,
Alex Oxlade-Chamberlain,eng ENG,25.0,16.5,1,0,0,17,14,2,45,22,14,0.0,0.0,1,133.0,13.0,26.0,33.3,Liverpool,MF,FW
James Milner,eng ENG,33.0,10.4,4,0,0,11,12,1,20,8,10,0.0,0.0,0,102.0,16.0,8.0,66.7,Liverpool,MF,DF
Adrián,es ESP,32.0,9.7,1,0,0,0,1,0,0,0,0,0.0,0.0,0,47.0,0.0,0.0,0.0,Liverpool,GK,
Naby Keïta,gn GUI,24.0,9.1,1,0,0,9,10,1,7,11,20,0.0,0.0,0,99.0,8.0,7.0,53.3,Liverpool,MF,
Dejan Lovren,hr CRO,30.0,8.6,1,0,0,4,8,0,1,11,9,0.0,0.0,0,107.0,39.0,21.0,65.0,Liverpool,DF,
Joël Matip,cm CMR,27.0,7.8,0,0,0,7,6,0,1,13,9,0.0,0.0,0,92.0,46.0,5.0,90.2,Liverpool,DF,
Divock Origi,be BEL,24.0,8.0,1,0,0,12,16,0,18,4,10,1.0,0.0,0,43.0,14.0,24.0,36.8,Liverpool,FW,
Adam Lallana,eng ENG,31.0,4.2,1,0,0,7,8,1,3,4,12,0.0,0.0,0,51.0,7.0,11.0,38.9,Liverpool,MF,FW
Neco Williams,wal WAL,18.0,2.6,1,0,0,5,2,0,14,8,2,0.0,0.0,0,36.0,5.0,4.0,55.6,Liverpool,DF,
Takumi Minamino,jp JPN,24.0,2.8,0,0,0,7,3,0,3,0,3,0.0,0.0,0,11.0,5.0,5.0,50.0,Liverpool,FW,MF
Xherdan Shaqiri,ch SUI,27.0,2.1,0,0,0,1,3,1,6,0,0,0.0,0.0,0,17.0,3.0,4.0,42.9,Liverpool,FW,
Curtis Jones,eng ENG,18.0,1.4,0,0,0,3,0,0,0,2,2,0.0,0.0,0,20.0,2.0,3.0,40.0,Liverpool,MF,
Harvey Elliot,eng ENG,16.0,0.1,0,0,0,0,0,0,3,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Liverpool,DF,
Ederson,br BRA,25.0,34.1,3,1,0,2,2,0,0,2,1,0.0,0.0,0,155.0,0.0,0.0,0.0,Manchester City,GK,
Kevin De Bruyne,be BEL,28.0,31.0,3,0,0,26,28,3,304,19,28,0.0,0.0,0,232.0,18.0,22.0,45.0,Manchester City,MF,
Raheem Sterling,eng ENG,24.0,29.5,5,0,0,30,40,12,50,14,29,3.0,0.0,0,160.0,20.0,35.0,36.4,Manchester City,FW,
Rodri,es ESP,23.0,27.6,8,0,0,43,32,0,8,28,44,0.0,0.0,0,372.0,69.0,33.0,67.6,Manchester City,MF,
Kyle Walker,eng ENG,29.0,26.6,5,0,0,27,15,3,55,29,23,0.0,0.0,0,268.0,33.0,38.0,46.5,Manchester City,DF,
Fernandinho,br BRA,34.0,26.6,9,2,1,26,17,1,5,25,25,0.0,0.0,1,310.0,73.0,36.0,67.0,Manchester City,DF,
Bernardo Silva,pt POR,24.0,22.6,5,0,0,23,20,2,71,26,26,0.0,1.0,0,183.0,11.0,28.0,28.2,Manchester City,FW,MF
David Silva,es ESP,33.0,20.3,0,0,0,20,20,3,35,12,16,0.0,0.0,0,164.0,8.0,15.0,34.8,Manchester City,MF,
Gabriel Jesus,br BRA,22.0,22.6,3,0,0,26,29,18,6,14,19,0.0,0.0,0,119.0,35.0,64.0,35.4,Manchester City,FW,
İlkay Gündoğan,de GER,28.0,22.4,7,0,0,16,14,2,30,30,19,0.0,1.0,0,219.0,17.0,7.0,70.8,Manchester City,MF,
Riyad Mahrez,dz ALG,28.0,21.6,0,0,0,13,29,13,88,19,21,5.0,0.0,0,140.0,10.0,23.0,30.3,Manchester City,FW,
Nicolás Otamendi,ar ARG,31.0,19.1,3,0,0,21,1,0,0,19,12,0.0,0.0,0,164.0,59.0,27.0,68.6,Manchester City,DF,
Benjamin Mendy,fr FRA,25.0,16.6,3,0,0,12,1,1,86,17,17,0.0,0.0,0,122.0,17.0,16.0,51.5,Manchester City,DF,
Sergio Agüero,ar ARG,31.0,16.1,1,0,0,9,9,6,10,3,5,2.0,0.0,0,61.0,2.0,14.0,12.5,Manchester City,FW,
Aymeric Laporte,fr FRA,25.0,12.2,1,0,0,9,9,0,0,19,8,0.0,0.0,0,136.0,28.0,14.0,66.7,Manchester City,DF,
Oleksandr Zinchenko,ua UKR,22.0,14.2,2,1,1,13,2,1,53,15,16,0.0,0.0,0,155.0,28.0,19.0,59.6,Manchester City,DF,
João Cancelo,pt POR,25.0,13.4,4,0,0,17,8,0,47,22,26,0.0,0.0,0,152.0,22.0,20.0,52.4,Manchester City,DF,
John Stones,eng ENG,25.0,12.5,0,0,0,5,1,1,0,8,12,0.0,0.0,0,153.0,38.0,20.0,65.5,Manchester City,DF,
Phil Foden,eng ENG,19.0,10.0,0,0,0,12,13,1,28,7,9,0.0,0.0,0,61.0,8.0,17.0,32.0,Manchester City,FW,MF
Eric García,es ESP,18.0,8.8,1,0,0,9,2,0,1,18,4,0.0,0.0,0,65.0,10.0,12.0,45.5,Manchester City,DF,
Angeliño,es ESP,22.0,4.7,1,0,0,2,2,0,42,9,5,0.0,0.0,0,49.0,8.0,8.0,50.0,Manchester City,DF,
Claudio Bravo,cl CHI,36.0,3.9,0,0,0,0,0,0,0,0,0,0.0,0.0,0,11.0,0.0,0.0,0.0,Manchester City,GK,
Thomas Doyle,eng ENG,17.0,0.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Manchester City,MF,FW
Leroy Sané,de GER,23.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Manchester City,FW,
David de Gea,es ESP,28.0,38.0,2,0,0,0,6,0,0,0,0,0.0,0.0,0,145.0,0.0,0.0,0.0,Manchester Utd,GK,
Harry Maguire,eng ENG,26.0,38.0,6,0,0,33,22,6,2,75,27,0.0,0.0,0,434.0,193.0,68.0,73.9,Manchester Utd,DF,
Victor Lindelöf,se SWE,25.0,34.4,6,0,0,22,6,0,2,26,16,0.0,0.0,1,406.0,95.0,49.0,66.0,Manchester Utd,DF,
Aaron Wan-Bissaka,eng ENG,21.0,34.1,8,0,0,22,19,1,102,65,65,0.0,1.0,0,302.0,28.0,24.0,53.8,Manchester Utd,DF,
Marcus Rashford,eng ENG,21.0,29.4,3,0,0,21,45,13,32,9,6,4.0,0.0,0,140.0,20.0,46.0,30.3,Manchester Utd,FW,
Anthony Martial,fr FRA,23.0,29.2,1,0,0,28,41,12,11,4,12,1.0,0.0,0,76.0,21.0,61.0,25.6,Manchester Utd,FW,
Daniel James,wal WAL,21.0,25.4,4,0,0,14,55,2,96,8,15,1.0,0.0,0,153.0,8.0,26.0,23.5,Manchester Utd,FW,
Fred,br BRA,26.0,24.0,8,0,0,42,36,1,63,38,51,0.0,0.0,0,326.0,8.0,16.0,33.3,Manchester Utd,MF,
Scott McTominay,sco SCO,22.0,19.7,2,0,0,36,53,0,14,33,31,1.0,0.0,0,237.0,42.0,29.0,59.2,Manchester Utd,MF,
Luke Shaw,eng ENG,24.0,19.3,7,0,0,23,10,4,37,22,24,0.0,0.0,0,205.0,32.0,23.0,58.2,Manchester Utd,DF,
Nemanja Matić,rs SRB,30.0,17.6,3,0,0,27,18,0,3,23,21,0.0,0.0,0,242.0,27.0,18.0,60.0,Manchester Utd,MF,
Andreas Pereira,br BRA,23.0,16.5,3,0,0,26,16,3,62,6,12,0.0,0.0,0,120.0,13.0,27.0,32.5,Manchester Utd,MF,FW
Bruno Fernandes,pt POR,24.0,13.2,2,0,0,9,14,2,75,9,14,2.0,0.0,0,91.0,2.0,10.0,16.7,Manchester Utd,MF,
Paul Pogba,fr FRA,26.0,13.4,1,0,0,26,19,2,6,5,16,2.0,1.0,0,166.0,27.0,10.0,73.0,Manchester Utd,MF,
Mason Greenwood,eng ENG,17.0,14.7,0,0,0,12,8,3,10,8,13,0.0,0.0,0,70.0,6.0,14.0,30.0,Manchester Utd,FW,
Brandon Williams,eng ENG,18.0,11.2,6,0,0,13,15,1,13,11,5,1.0,0.0,0,93.0,12.0,10.0,54.5,Manchester Utd,DF,
Ashley Young,eng ENG,34.0,10.6,5,0,0,14,16,0,62,10,4,0.0,0.0,0,95.0,15.0,9.0,62.5,Manchester Utd,DF,
Jesse Lingard,eng ENG,26.0,10.4,3,0,0,28,11,0,7,2,9,0.0,0.0,0,52.0,1.0,10.0,9.1,Manchester Utd,MF,FW
Juan Mata,es ESP,31.0,8.4,1,0,0,7,10,4,23,0,7,0.0,0.0,0,48.0,3.0,7.0,30.0,Manchester Utd,MF,FW
Axel Tuanzebe,eng ENG,21.0,2.1,0,0,0,3,3,0,1,5,3,0.0,0.0,0,26.0,3.0,10.0,23.1,Manchester Utd,DF,
Timothy Fosu-Mensah,nl NED,21.0,1.5,1,0,0,5,0,1,2,5,1,0.0,0.0,0,9.0,1.0,2.0,33.3,Manchester Utd,DF,
Phil Jones,eng ENG,27.0,1.5,0,0,0,3,1,0,1,4,2,0.0,0.0,0,19.0,12.0,5.0,70.6,Manchester Utd,DF,
Eric Bailly,ci CIV,25.0,1.7,0,0,0,2,0,0,0,3,0,0.0,1.0,0,22.0,6.0,1.0,85.7,Manchester Utd,DF,
Marcos Rojo,ar ARG,29.0,1.4,1,0,0,2,1,0,3,0,1,0.0,0.0,0,7.0,3.0,1.0,75.0,Manchester Utd,DF,
Diogo Dalot,pt POR,20.0,0.7,0,0,0,1,0,0,3,2,2,0.0,0.0,0,8.0,4.0,0.0,100.0,Manchester Utd,DF,
Odion Ighalo,ng NGA,30.0,1.1,0,0,0,1,1,1,0,0,2,0.0,0.0,0,5.0,0.0,1.0,0.0,Manchester Utd,FW,
Tahith Chong,nl NED,19.0,0.4,0,0,0,2,1,0,0,0,0,0.0,0.0,0,2.0,0.0,2.0,0.0,Manchester Utd,FW,MF
Angel Gomes,eng ENG,18.0,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Manchester Utd,MF,
James Garner,eng ENG,18.0,0.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,Manchester Utd,MF,
Martin Dúbravka,sk SVK,30.0,38.0,0,0,0,0,4,0,0,1,0,0.0,0.0,0,170.0,0.0,0.0,0.0,Newcastle Utd,GK,
Miguel Almirón,py PAR,25.0,33.6,5,0,0,30,58,24,42,30,36,0.0,0.0,0,228.0,9.0,37.0,19.6,Newcastle Utd,MF,FW
Joelinton,br BRA,22.0,29.8,7,0,0,32,39,20,5,11,19,0.0,0.0,0,180.0,146.0,226.0,39.2,Newcastle Utd,FW,
Federico Fernández,ar ARG,30.0,29.1,8,0,0,17,20,2,27,22,32,0.0,0.0,1,250.0,67.0,50.0,57.3,Newcastle Utd,DF,
Isaac Hayden,eng ENG,24.0,24.7,4,1,0,26,21,2,38,36,37,0.0,0.0,0,257.0,47.0,35.0,57.3,Newcastle Utd,MF,
Jonjo Shelvey,eng ENG,27.0,23.5,3,0,0,17,6,1,87,22,16,0.0,0.0,0,237.0,18.0,11.0,62.1,Newcastle Utd,MF,
Jamaal Lascelles,eng ENG,25.0,23.1,5,0,0,22,18,2,0,29,10,0.0,0.0,0,260.0,83.0,38.0,68.6,Newcastle Utd,DF,
Allan Saint-Maximin,fr FRA,22.0,20.7,0,0,0,18,48,3,44,9,11,0.0,0.0,0,135.0,7.0,20.0,25.9,Newcastle Utd,MF,FW
Fabian Schär,ch SUI,27.0,18.6,5,0,0,29,25,2,12,51,27,0.0,0.0,0,173.0,35.0,27.0,56.5,Newcastle Utd,DF,MF
Javier Manquillo,es ESP,25.0,17.8,5,0,0,19,11,1,45,20,32,0.0,1.0,0,119.0,18.0,22.0,45.0,Newcastle Utd,DF,
Jetro Willems,nl NED,25.0,16.6,0,0,0,10,17,1,32,16,19,0.0,0.0,0,138.0,19.0,14.0,57.6,Newcastle Utd,DF,
Sean Longstaff,eng ENG,21.0,15.3,2,1,0,17,26,0,30,21,21,0.0,0.0,0,170.0,12.0,20.0,37.5,Newcastle Utd,MF,
Matt Ritchie,sco SCO,29.0,14.6,4,0,0,26,16,0,100,12,17,0.0,1.0,0,117.0,20.0,19.0,51.3,Newcastle Utd,DF,MF
Paul Dummett,wal WAL,27.0,13.6,2,0,0,4,6,0,15,19,6,0.0,0.0,1,121.0,35.0,23.0,60.3,Newcastle Utd,DF,
Ciaran Clark,ie IRL,29.0,13.2,3,0,0,9,7,0,0,13,12,0.0,0.0,0,100.0,31.0,31.0,50.0,Newcastle Utd,DF,
Emil Krafth,se SWE,24.0,11.3,0,0,0,4,7,0,20,9,12,0.0,0.0,0,84.0,10.0,8.0,55.6,Newcastle Utd,DF,
DeAndre Yedlin,us USA,26.0,10.4,3,0,0,8,9,2,26,9,14,0.0,0.0,0,63.0,7.0,15.0,31.8,Newcastle Utd,DF,
Danny Rose,eng ENG,29.0,9.6,2,0,0,11,22,0,8,9,15,0.0,0.0,0,86.0,9.0,12.0,42.9,Newcastle Utd,DF,
Dwight Gayle,eng ENG,28.0,9.4,2,0,0,6,13,2,3,2,10,0.0,0.0,0,25.0,23.0,46.0,33.3,Newcastle Utd,FW,
Nabil Bentaleb,dz ALG,24.0,8.3,2,0,0,19,5,0,0,19,23,0.0,0.0,0,109.0,15.0,10.0,60.0,Newcastle Utd,MF,
Christian Atsu,gh GHA,27.0,8.3,2,0,0,11,10,4,17,2,9,0.0,0.0,0,50.0,7.0,12.0,36.8,Newcastle Utd,FW,MF
Matthew Longstaff,eng ENG,19.0,6.4,1,0,0,6,6,0,2,6,3,0.0,0.0,0,57.0,4.0,3.0,57.1,Newcastle Utd,MF,
Andy Carroll,eng ENG,30.0,7.0,1,0,0,17,15,6,5,1,1,0.0,0.0,0,43.0,78.0,61.0,56.1,Newcastle Utd,FW,
Valentino Lazaro,at AUT,23.0,5.3,0,1,0,3,2,0,13,3,2,0.0,0.0,0,39.0,4.0,9.0,30.8,Newcastle Utd,DF,MF
Florian Lejeune,fr FRA,28.0,4.9,0,0,0,6,4,0,2,11,6,0.0,0.0,0,64.0,13.0,4.0,76.5,Newcastle Utd,DF,
Yoshinori Mutō,jp JPN,27.0,2.4,0,0,0,2,3,3,1,0,2,0.0,0.0,0,9.0,1.0,6.0,14.3,Newcastle Utd,FW,MF
Ki Sung-yueng,kr KOR,30.0,1.5,0,0,0,1,3,0,4,2,1,0.0,0.0,0,14.0,2.0,0.0,100.0,Newcastle Utd,MF,
Kelland Watts,eng ENG,19.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Newcastle Utd,DF,
Max Aarons,eng ENG,19.0,36.0,7,0,0,29,49,3,72,35,36,1.0,0.0,0,281.0,23.0,42.0,35.4,Norwich City,DF,
Tim Krul,nl NED,31.0,36.0,4,0,0,1,6,0,0,1,0,0.0,1.0,1,160.0,0.0,0.0,0.0,Norwich City,GK,
Teemu Pukki,fi FIN,29.0,32.1,3,0,0,23,15,17,9,6,12,0.0,0.0,0,113.0,6.0,50.0,10.7,Norwich City,FW,
Kenny McLean,sco SCO,27.0,33.0,5,0,0,24,58,1,53,38,31,0.0,1.0,0,327.0,87.0,87.0,50.0,Norwich City,MF,
Ben Godfrey,eng ENG,21.0,29.4,3,1,0,14,9,0,3,26,22,0.0,1.0,1,275.0,72.0,37.0,66.1,Norwich City,DF,
Todd Cantwell,eng ENG,21.0,27.7,6,0,0,33,66,3,25,16,29,0.0,1.0,0,179.0,16.0,42.0,27.6,Norwich City,FW,MF
Emi Buendía,ar ARG,22.0,27.4,6,1,0,36,54,2,166,22,58,0.0,0.0,0,232.0,23.0,54.0,29.9,Norwich City,FW,MF
Alexander Tettey,no NOR,33.0,26.0,5,0,0,21,7,0,4,43,20,0.0,0.0,0,327.0,37.0,23.0,61.7,Norwich City,MF,DF
Jamal Lewis,nir NIR,21.0,25.6,4,0,0,15,23,2,44,28,31,0.0,0.0,0,206.0,12.0,25.0,32.4,Norwich City,DF,
Christoph Zimmermann,de GER,26.0,15.9,3,0,0,9,9,0,0,18,21,0.0,2.0,0,146.0,39.0,12.0,76.5,Norwich City,DF,
Sam Byram,eng ENG,25.0,14.4,4,0,0,16,8,1,7,24,23,0.0,0.0,0,152.0,42.0,30.0,58.3,Norwich City,DF,
Onel Hernández,cu CUB,26.0,15.4,0,0,0,14,18,8,24,19,27,0.0,0.0,0,90.0,3.0,23.0,11.5,Norwich City,FW,MF
Grant Hanley,sco SCO,27.0,14.0,4,0,0,12,20,0,0,30,17,0.0,0.0,1,107.0,44.0,16.0,73.3,Norwich City,DF,
Marco Stiepermann,de GER,28.0,13.1,6,0,0,22,15,0,6,5,7,0.0,0.0,0,67.0,14.0,59.0,19.2,Norwich City,MF,
Tom Trybull,de GER,26.0,12.6,2,0,0,26,11,2,0,16,30,0.0,0.0,0,130.0,23.0,17.0,57.5,Norwich City,MF,
Ondrej Duda,sk SVK,24.0,8.0,0,0,0,9,13,2,43,6,15,0.0,0.0,0,66.0,8.0,20.0,28.6,Norwich City,MF,
Ibrahim Amadou,fr FRA,26.0,8.4,1,0,0,8,2,0,1,17,7,0.0,1.0,0,75.0,15.0,14.0,51.7,Norwich City,DF,MF
Lukas Rupp,de GER,28.0,7.7,1,0,0,10,6,0,2,14,9,0.0,0.0,0,69.0,4.0,17.0,19.0,Norwich City,FW,MF
