player,nationality,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,team,Pos1,Pos2
Winston Reid,nz NZL,31.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,DF,
Xande Silva,pt POR,22.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,FW,
Conor Coady,eng ENG,26.0,38,"3,420",90.0,100.0,38.0,38,90.0,0,0.0,0,1.55,51.0,40.0,11.0,0.29,0.0,47.0,34.4,12.5,0.33,0.0,Wolves,DF,
Rui Patrício,pt POR,31.0,38,"3,420",90.0,100.0,38.0,38,90.0,0,0.0,0,1.55,51.0,40.0,11.0,0.29,0.0,47.0,34.4,12.5,0.33,0.0,Wolves,GK,
Raúl Jiménez,mx MEX,28.0,38,"3,236",85.0,94.6,36.0,37,87.0,1,19.0,0,1.55,48.0,36.0,12.0,0.33,0.82,43.8,29.6,14.2,0.39,1.22,Wolves,FW,
Rúben Neves,pt POR,22.0,38,"3,056",80.0,89.4,34.0,35,85.0,3,25.0,0,1.55,48.0,35.0,13.0,0.38,0.88,42.2,30.4,11.9,0.35,0.19,Wolves,MF,
João Moutinho,pt POR,32.0,38,"3,108",82.0,90.9,34.5,34,89.0,4,22.0,0,1.55,46.0,36.0,10.0,0.29,0.0,41.2,31.7,9.5,0.27,-0.61,Wolves,MF,
Jonny Castro,es ESP,25.0,35,"2,887",82.0,84.4,32.1,33,87.0,2,12.0,1,1.57,42.0,35.0,7.0,0.22,-0.46,38.4,29.6,8.8,0.28,-0.34,Wolves,DF,
Matt Doherty,ie IRL,27.0,36,"2,839",79.0,83.0,31.5,32,85.0,4,31.0,1,1.64,45.0,31.0,14.0,0.44,0.91,40.6,26.6,14.0,0.44,0.67,Wolves,DF,
Leander Dendoncker,be BEL,24.0,38,"2,795",74.0,81.7,31.1,32,85.0,6,14.0,0,1.55,41.0,34.0,7.0,0.23,-0.35,38.4,27.5,11.0,0.35,0.13,Wolves,MF,DF
Romain Saïss,ma MAR,29.0,33,"2,705",82.0,79.1,30.1,31,86.0,2,22.0,2,1.58,41.0,34.0,7.0,0.23,-0.27,39.1,25.0,14.1,0.47,0.67,Wolves,DF,
Adama Traoré,es ESP,23.0,37,"2,605",70.0,76.2,28.9,27,86.0,10,29.0,1,1.57,44.0,33.0,11.0,0.38,0.38,37.8,26.5,11.2,0.39,0.25,Wolves,FW,MF
Diogo Jota,pt POR,22.0,34,"2,284",67.0,66.8,25.4,27,78.0,7,26.0,0,1.44,26.0,28.0,-2.0,-0.08,-1.11,28.8,23.0,5.7,0.23,-0.31,Wolves,FW,MF
Willy Boly,fr FRA,28.0,22,"1,979",90.0,57.9,22.0,22,90.0,0,0.0,1,1.64,26.0,15.0,11.0,0.5,0.5,25.1,19.1,6.0,0.28,-0.13,Wolves,DF,
Pedro Neto,pt POR,19.0,29,939,32.0,27.5,10.4,9,69.0,20,16.0,6,1.69,19.0,12.0,7.0,0.67,0.53,14.3,10.6,3.7,0.36,0.04,Wolves,FW,MF
Ryan Bennett,eng ENG,29.0,11,606,55.0,17.7,6.7,7,74.0,4,22.0,5,1.45,6.0,9.0,-3.0,-0.45,-0.89,6.7,8.1,-1.3,-0.2,-0.64,Wolves,DF,
Rúben Vinagre,pt POR,20.0,16,652,41.0,19.1,7.2,6,86.0,10,14.0,18,1.5,10.0,6.0,4.0,0.55,0.32,9.7,6.1,3.6,0.5,0.21,Wolves,DF,
Patrick Cutrone,it ITA,21.0,12,297,25.0,8.7,3.3,3,65.0,9,11.0,8,1.67,6.0,6.0,0.0,0.0,-0.32,5.0,5.7,-0.7,-0.21,-0.6,Wolves,FW,
Daniel Podence,pt POR,23.0,9,289,32.0,8.5,3.2,3,70.0,6,13.0,4,1.78,4.0,0.0,4.0,1.25,1.04,5.2,1.6,3.6,1.12,0.86,Wolves,FW,MF
Max Kilman,eng ENG,22.0,3,185,62.0,5.4,2.1,2,90.0,1,5.0,30,1.33,1.0,2.0,-1.0,-0.49,-0.82,1.8,2.3,-0.5,-0.24,-0.6,Wolves,DF,
Jesús Vallejo,es ESP,22.0,2,163,82.0,4.8,1.8,1,90.0,1,73.0,10,0.5,3.0,6.0,-3.0,-1.66,-2.04,2.3,3.3,-1.0,-0.54,-0.91,Wolves,DF,
Morgan Gibbs-White,eng ENG,19.0,7,129,18.0,3.8,1.4,1,66.0,6,11.0,19,1.43,2.0,2.0,0.0,0.0,-0.3,1.8,2.5,-0.7,-0.49,-0.85,Wolves,MF,FW
Bruno Jordão,pt POR,20.0,1,7,7.0,0.2,0.1,0,0.0,1,7.0,11,0.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.1,-0.1,-1.63,-1.96,Wolves,FW,
Bernard Ashley-Seal,eng ENG,20.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,FW,
Oskar Buur,dk DEN,21.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,DF,MF
Leonardo Campana,ec ECU,19.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,FW,
Luke Cundle,eng ENG,,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,MF,
Ryan John Giles,eng ENG,19.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,MF,
Owen Otasowie,eng ENG,18.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,MF,
Taylor Perry,eng ENG,18.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,MF,
John Ruddy,eng ENG,32.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,GK,
