player,nationality,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,team,Pos1,Pos2
Alfie Whiteman,eng ENG,20.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham,GK,
Ben Foster,eng ENG,36.0,38,"3,420",90.0,100.0,38.0,38,90.0,0,0.0,0,0.89,36.0,64.0,-28.0,-0.74,0.0,45.5,57.1,-11.5,-0.3,0.0,Watford,GK,
Abdoulaye Doucouré,fr FRA,26.0,37,"3,156",85.0,92.3,35.1,36,86.0,1,45.0,0,0.89,33.0,61.0,-28.0,-0.8,-0.8,42.0,52.1,-10.1,-0.29,0.18,Watford,MF,
Étienne Capoue,fr FRA,31.0,30,"2,627",88.0,76.8,29.2,30,88.0,0,0.0,0,1.0,29.0,48.0,-19.0,-0.65,0.37,33.8,43.0,-9.2,-0.32,-0.05,Watford,MF,
Craig Cathcart,nir NIR,30.0,29,"2,488",86.0,72.7,27.6,28,87.0,1,45.0,7,0.9,25.0,37.0,-12.0,-0.43,1.11,30.8,36.6,-5.8,-0.21,0.34,Watford,DF,
Will Hughes,eng ENG,24.0,30,"2,252",75.0,65.8,25.0,27,79.0,3,37.0,3,0.83,23.0,46.0,-23.0,-0.92,-0.53,28.2,39.4,-11.2,-0.45,-0.42,Watford,MF,FW
Craig Dawson,eng ENG,29.0,29,"2,361",81.0,69.0,26.2,26,88.0,3,22.0,5,0.9,25.0,49.0,-24.0,-0.91,-0.57,33.1,40.2,-7.1,-0.27,0.11,Watford,DF,
Christian Kabasele,be BEL,28.0,27,"2,250",83.0,65.8,25.0,26,87.0,1,1.0,7,1.11,29.0,35.0,-6.0,-0.24,1.45,31.9,34.0,-2.1,-0.08,0.64,Watford,DF,
Kiko Femenía,es ESP,28.0,28,"2,237",80.0,65.4,24.9,26,85.0,2,18.0,3,0.86,24.0,47.0,-23.0,-0.93,-0.54,31.1,40.0,-8.9,-0.36,-0.16,Watford,DF,
Troy Deeney,eng ENG,31.0,27,"2,225",82.0,65.1,24.7,26,84.0,1,35.0,2,0.96,27.0,39.0,-12.0,-0.49,0.72,29.9,33.5,-3.6,-0.15,0.45,Watford,FW,
Gerard Deulofeu,es ESP,25.0,28,"2,098",75.0,61.3,23.3,25,79.0,3,43.0,0,0.96,22.0,33.0,-11.0,-0.47,0.69,26.0,36.0,-9.9,-0.43,-0.32,Watford,FW,
Ismaila Sarr,sn SEN,21.0,28,"2,028",72.0,59.3,22.5,22,86.0,6,24.0,2,0.96,24.0,35.0,-11.0,-0.49,0.61,29.6,30.6,-0.9,-0.04,0.64,Watford,FW,MF
Adam Masina,it ITA,25.0,26,"1,821",70.0,53.2,20.2,20,86.0,6,17.0,3,1.0,18.0,31.0,-13.0,-0.64,0.2,23.4,27.2,-3.8,-0.19,0.25,Watford,DF,
Roberto Pereyra,ar ARG,28.0,28,"1,648",59.0,48.2,18.3,17,78.0,11,29.0,5,0.89,15.0,27.0,-12.0,-0.66,0.16,21.4,24.7,-3.3,-0.18,0.23,Watford,FW,MF
Adrian Mariappa,jm JAM,32.0,20,"1,513",76.0,44.2,16.8,15,88.0,5,39.0,9,0.8,16.0,33.0,-17.0,-1.01,-0.49,19.7,32.6,-12.8,-0.76,-0.83,Watford,DF,
José Holebas,gr GRE,35.0,14,"1,025",73.0,30.0,11.4,11,89.0,3,17.0,7,0.71,8.0,27.0,-19.0,-1.67,-1.33,12.0,20.3,-8.3,-0.73,-0.6,Watford,DF,
Tom Cleverley,eng ENG,29.0,18,971,54.0,28.4,10.8,11,78.0,7,16.0,2,0.67,7.0,26.0,-19.0,-1.76,-1.43,13.6,21.0,-7.4,-0.69,-0.54,Watford,MF,
Nathaniel Chalobah,eng ENG,24.0,22,930,42.0,27.2,10.3,10,78.0,12,13.0,13,1.14,11.0,14.0,-3.0,-0.29,0.61,12.1,15.7,-3.6,-0.35,-0.07,Watford,MF,
