player,nationality,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,team,Pos1,Pos2
Joe Gomez,eng ENG,23,1.0,61.0,5.0,29.0,38.0,2.0,0.0,60.0,2.0,2.0,100.0,2.0,0.0,36.0,333.0,192.0,29.0,29.0,100.0,1.0,2.0,Liverpool,DF,
Sadio Mané,sn SEN,28,1.0,54.0,0.0,7.0,21.0,30.0,9.0,53.0,4.0,5.0,80.0,4.0,1.0,37.0,337.0,142.0,58.0,42.0,72.4,4.0,2.0,Liverpool,FW,
Andrew Robertson,sco SCO,26,1.0,69.0,1.0,16.0,24.0,32.0,2.0,53.0,0.0,2.0,0.0,0.0,0.0,30.0,186.0,90.0,38.0,29.0,76.3,0.0,0.0,Liverpool,DF,
Mohamed Salah,eg EGY,28,1.0,80.0,0.0,3.0,24.0,58.0,18.0,78.0,9.0,13.0,69.2,10.0,0.0,64.0,469.0,280.0,74.0,62.0,83.8,5.0,8.0,Liverpool,FW,
Georginio Wijnaldum,nl NED,29,1.0,37.0,0.0,3.0,23.0,13.0,3.0,37.0,1.0,3.0,33.3,1.0,0.0,21.0,172.0,76.0,29.0,26.0,89.7,2.0,3.0,Liverpool,MF,
Trent Alexander-Arnold,eng ENG,21,1.0,71.0,4.0,18.0,22.0,31.0,0.0,42.0,1.0,3.0,33.3,2.0,0.0,27.0,129.0,38.0,29.0,24.0,82.8,0.0,0.0,Liverpool,DF,
Jordan Henderson,eng ENG,30,0.7,43.0,0.0,8.0,29.0,9.0,0.0,42.0,1.0,1.0,100.0,1.0,0.0,24.0,173.0,72.0,28.0,26.0,92.9,0.0,0.0,Liverpool,MF,
Naby Keïta,gn GUI,25,0.6,45.0,1.0,7.0,22.0,19.0,6.0,42.0,3.0,4.0,75.0,3.0,0.0,26.0,183.0,109.0,31.0,27.0,87.1,3.0,2.0,Liverpool,MF,
Fabinho,br BRA,26,0.4,18.0,2.0,4.0,7.0,7.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,49.0,13.0,6.0,6.0,100.0,0.0,0.0,Liverpool,MF,
Curtis Jones,eng ENG,19,0.3,23.0,0.0,3.0,5.0,17.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,17.0,108.0,51.0,19.0,16.0,84.2,0.0,1.0,Liverpool,MF,
Joël Matip,cm CMR,28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,1.0,1.0,100.0,0.0,0.0,Liverpool,DF,
Karl Darlow,eng ENG,29,1.0,25.0,18.0,25.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,9.0,81.0,48.0,9.0,9.0,100.0,0.0,0.0,Newcastle Utd,GK,
Federico Fernández,ar ARG,31,1.0,50.0,13.0,35.0,12.0,3.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,24.0,75.0,33.0,27.0,27.0,100.0,0.0,0.0,Newcastle Utd,DF,
Isaac Hayden,eng ENG,25,1.0,50.0,3.0,17.0,32.0,6.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,28.0,141.0,38.0,20.0,20.0,100.0,0.0,1.0,Newcastle Utd,MF,
Jeff Hendrick,ie IRL,28,1.0,37.0,5.0,9.0,14.0,19.0,6.0,37.0,4.0,4.0,100.0,4.0,0.0,21.0,155.0,95.0,24.0,18.0,75.0,2.0,2.0,Newcastle Utd,MF,
Jamaal Lascelles,eng ENG,26,1.0,37.0,10.0,29.0,9.0,0.0,0.0,36.0,1.0,1.0,100.0,1.0,0.0,18.0,100.0,54.0,17.0,17.0,100.0,1.0,0.0,Newcastle Utd,DF,
Jamal Lewis,nir NIR,22,1.0,47.0,2.0,14.0,28.0,8.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,27.0,137.0,55.0,28.0,28.0,100.0,1.0,1.0,Newcastle Utd,DF,
Javier Manquillo,es ESP,26,1.0,45.0,6.0,15.0,16.0,16.0,2.0,42.0,1.0,2.0,50.0,1.0,0.0,23.0,128.0,72.0,26.0,22.0,84.6,1.0,0.0,Newcastle Utd,DF,
Jonjo Shelvey,eng ENG,28,1.0,64.0,1.0,14.0,31.0,20.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,29.0,152.0,59.0,40.0,38.0,95.0,0.0,1.0,Newcastle Utd,MF,
Andy Carroll,eng ENG,31,1.0,42.0,5.0,7.0,19.0,16.0,6.0,42.0,2.0,4.0,50.0,2.0,0.0,21.0,86.0,49.0,48.0,27.0,56.3,1.0,3.0,Newcastle Utd,FW,
Callum Wilson,eng ENG,28,0.9,31.0,0.0,3.0,13.0,18.0,8.0,30.0,2.0,3.0,66.7,2.0,0.0,21.0,241.0,130.0,43.0,24.0,55.8,2.0,1.0,Newcastle Utd,FW,
Allan Saint-Maximin,fr FRA,23,0.8,38.0,0.0,6.0,21.0,16.0,2.0,37.0,3.0,5.0,60.0,3.0,0.0,37.0,451.0,302.0,30.0,26.0,86.7,2.0,3.0,Newcastle Utd,MF,
Joelinton,br BRA,23,0.2,13.0,2.0,4.0,4.0,6.0,1.0,13.0,2.0,2.0,100.0,2.0,0.0,11.0,61.0,34.0,10.0,7.0,70.0,0.0,0.0,Newcastle Utd,MF,FW
Miguel Almirón,py PAR,26,0.1,14.0,0.0,2.0,10.0,7.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,102.0,95.0,13.0,11.0,84.6,0.0,0.0,Newcastle Utd,MF,
Sean Longstaff,eng ENG,22,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,50.0,0.0,0.0,Newcastle Utd,FW,
George Baldock,eng ENG,27,1.0,58.0,0.0,6.0,18.0,34.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,42.0,155.0,50.0,42.0,41.0,97.6,0.0,1.0,Sheffield Utd,DF,MF
John Egan,ie IRL,27,1.0,57.0,4.0,18.0,39.0,5.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,31.0,219.0,164.0,34.0,34.0,100.0,0.0,0.0,Sheffield Utd,DF,
John Fleck,sco SCO,28,1.0,53.0,0.0,6.0,16.0,35.0,4.0,46.0,1.0,2.0,50.0,1.0,0.0,33.0,139.0,93.0,35.0,35.0,100.0,0.0,3.0,Sheffield Utd,FW,MF
John Lundstram,eng ENG,26,1.0,68.0,0.0,0.0,25.0,47.0,3.0,62.0,0.0,0.0,0.0,0.0,0.0,51.0,248.0,96.0,53.0,51.0,96.2,1.0,0.0,Sheffield Utd,MF,
Oliver McBurnie,sco SCO,24,1.0,38.0,2.0,3.0,7.0,29.0,5.0,38.0,2.0,4.0,50.0,2.0,0.0,16.0,88.0,32.0,37.0,31.0,83.8,0.0,1.0,Sheffield Utd,FW,
Jack O'Connell,eng ENG,26,1.0,62.0,1.0,21.0,29.0,15.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,40.0,123.0,76.0,45.0,42.0,93.3,0.0,0.0,Sheffield Utd,DF,
Aaron Ramsdale,eng ENG,22,1.0,26.0,21.0,26.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,15.0,102.0,52.0,12.0,12.0,100.0,0.0,0.0,Sheffield Utd,GK,
Billy Sharp,eng ENG,34,1.0,27.0,0.0,2.0,5.0,21.0,10.0,26.0,1.0,2.0,50.0,1.0,0.0,17.0,117.0,65.0,28.0,20.0,71.4,1.0,4.0,Sheffield Utd,FW,
Enda Stevens,ie IRL,30,1.0,72.0,1.0,9.0,40.0,32.0,2.0,62.0,2.0,3.0,66.7,2.0,0.0,51.0,225.0,150.0,41.0,39.0,95.1,0.0,1.0,Sheffield Utd,DF,MF
Oliver Norwood,nir NIR,29,0.8,66.0,1.0,8.0,43.0,17.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,41.0,121.0,65.0,47.0,45.0,95.7,0.0,0.0,Sheffield Utd,MF,
Chris Basham,eng ENG,32,0.8,39.0,3.0,9.0,26.0,6.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,20.0,124.0,96.0,19.0,19.0,100.0,1.0,0.0,Sheffield Utd,DF,MF
David McGoldrick,ie IRL,32,0.2,25.0,0.0,0.0,8.0,19.0,1.0,23.0,1.0,1.0,100.0,1.0,0.0,18.0,100.0,32.0,23.0,22.0,95.7,1.0,1.0,Sheffield Utd,FW,
Sander Berge,no NOR,22,0.2,25.0,0.0,0.0,13.0,14.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,17.0,114.0,69.0,19.0,18.0,94.7,0.0,0.0,Sheffield Utd,MF,
Ryan Bertrand,eng ENG,30,1.0,84.0,2.0,21.0,44.0,23.0,1.0,70.0,1.0,1.0,100.0,1.0,0.0,38.0,191.0,102.0,53.0,47.0,88.7,1.0,2.0,Southampton,DF,
Danny Ings,eng ENG,28,1.0,29.0,0.0,2.0,9.0,18.0,6.0,29.0,2.0,2.0,100.0,2.0,0.0,19.0,61.0,27.0,34.0,24.0,70.6,3.0,1.0,Southampton,FW,
Alex McCarthy,eng ENG,30,1.0,52.0,35.0,51.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,27.0,98.0,54.0,29.0,29.0,100.0,0.0,0.0,Southampton,GK,
Nathan Redmond,eng ENG,26,1.0,52.0,0.0,9.0,23.0,23.0,3.0,52.0,0.0,1.0,0.0,0.0,0.0,27.0,176.0,70.0,41.0,37.0,90.2,1.0,2.0,Southampton,MF,
Oriol Romeu,es ESP,28,1.0,83.0,1.0,13.0,65.0,9.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,40.0,218.0,138.0,62.0,60.0,96.8,0.0,1.0,Southampton,MF,
Jack Stephens,eng ENG,26,1.0,95.0,5.0,47.0,57.0,2.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,51.0,327.0,239.0,67.0,67.0,100.0,0.0,1.0,Southampton,DF,
Kyle Walker-Peters,eng ENG,23,1.0,97.0,1.0,23.0,49.0,31.0,2.0,75.0,0.0,0.0,0.0,0.0,0.0,52.0,302.0,185.0,57.0,54.0,94.7,1.0,6.0,Southampton,DF,
James Ward-Prowse,eng ENG,25,1.0,77.0,1.0,9.0,49.0,20.0,1.0,67.0,0.0,1.0,0.0,0.0,0.0,35.0,160.0,74.0,56.0,49.0,87.5,1.0,0.0,Southampton,MF,
Che Adams,eng ENG,24,0.9,27.0,0.0,0.0,12.0,15.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,12.0,55.0,9.0,36.0,24.0,66.7,5.0,2.0,Southampton,FW,
William Smallbone,ie IRL,20,0.8,25.0,0.0,3.0,10.0,13.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,18.0,67.0,31.0,22.0,19.0,86.4,0.0,1.0,Southampton,MF,
Jan Bednarek,pl POL,24,0.5,56.0,2.0,28.0,31.0,2.0,0.0,54.0,1.0,1.0,100.0,1.0,0.0,41.0,323.0,211.0,41.0,41.0,100.0,0.0,0.0,Southampton,DF,
Jannik Vestergaard,dk DEN,27,0.5,48.0,4.0,27.0,21.0,3.0,1.0,48.0,1.0,1.0,100.0,1.0,0.0,23.0,151.0,87.0,26.0,26.0,100.0,1.0,0.0,Southampton,DF,
Moussa Djenepo,ml MLI,22,0.2,10.0,0.0,2.0,7.0,2.0,0.0,10.0,1.0,1.0,100.0,1.0,0.0,5.0,34.0,19.0,7.0,6.0,85.7,2.0,0.0,Southampton,MF,
Shane Long,ie IRL,33,0.1,5.0,0.0,0.0,1.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,3.0,75.0,1.0,1.0,Southampton,FW,
Toby Alderweireld,be BEL,31,1.0,78.0,6.0,38.0,44.0,3.0,1.0,78.0,1.0,1.0,100.0,1.0,0.0,51.0,191.0,111.0,61.0,60.0,98.4,1.0,0.0,Tottenham,DF,
Ben Davies,wal WAL,27,1.0,83.0,2.0,17.0,47.0,26.0,2.0,68.0,0.0,0.0,0.0,0.0,0.0,43.0,237.0,136.0,55.0,52.0,94.5,0.0,0.0,Tottenham,DF,
Eric Dier,eng ENG,26,1.0,66.0,7.0,30.0,40.0,2.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,38.0,166.0,91.0,52.0,52.0,100.0,0.0,0.0,Tottenham,DF,
Son Heung-min,kr KOR,28,1.0,40.0,0.0,1.0,6.0,35.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,22.0,158.0,105.0,40.0,26.0,65.0,3.0,1.0,Tottenham,FW,MF
Pierre Højbjerg,dk DEN,24,1.0,88.0,4.0,16.0,64.0,11.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,53.0,262.0,139.0,65.0,65.0,100.0,0.0,2.0,Tottenham,MF,
Harry Kane,eng ENG,27,1.0,26.0,1.0,5.0,9.0,14.0,2.0,25.0,0.0,3.0,0.0,0.0,0.0,14.0,87.0,24.0,28.0,20.0,71.4,1.0,1.0,Tottenham,FW,
Hugo Lloris,fr FRA,33,1.0,30.0,26.0,30.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,5.0,13.0,13.0,100.0,0.0,0.0,Tottenham,GK,
Lucas Moura,br BRA,27,1.0,50.0,0.0,3.0,27.0,23.0,2.0,49.0,1.0,4.0,25.0,2.0,1.0,34.0,172.0,91.0,40.0,37.0,92.5,1.0,4.0,Tottenham,FW,
Matt Doherty,ie IRL,28,0.8,63.0,3.0,9.0,38.0,22.0,2.0,53.0,2.0,3.0,66.7,2.0,0.0,35.0,145.0,93.0,52.0,43.0,82.7,2.0,1.0,Tottenham,DF,
Harry Winks,eng ENG,24,0.7,52.0,0.0,6.0,40.0,8.0,1.0,52.0,0.0,1.0,0.0,1.0,0.0,32.0,140.0,52.0,42.0,42.0,100.0,0.0,0.0,Tottenham,MF,
Dele Alli,eng ENG,24,0.5,22.0,1.0,2.0,13.0,11.0,2.0,21.0,0.0,1.0,0.0,0.0,0.0,10.0,66.0,10.0,19.0,16.0,84.2,1.0,1.0,Tottenham,MF,
Moussa Sissoko,fr FRA,30,0.5,38.0,0.0,4.0,23.0,12.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,13.0,78.0,42.0,26.0,23.0,88.5,0.0,0.0,Tottenham,MF,DF
Steven Bergwijn,nl NED,22,0.3,20.0,0.0,2.0,7.0,13.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,12.0,60.0,36.0,24.0,18.0,75.0,0.0,0.0,Tottenham,FW,
Tanguy Ndombele,fr FRA,23,0.2,20.0,0.0,4.0,15.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,17.0,71.0,39.0,20.0,19.0,95.0,0.0,0.0,Tottenham,MF,
Semi Ajayi,ng NGA,26,1.0,37.0,1.0,16.0,24.0,2.0,0.0,34.0,1.0,1.0,100.0,1.0,0.0,26.0,221.0,110.0,22.0,21.0,95.5,0.0,1.0,West Brom,DF,
Kyle Bartley,eng ENG,29,1.0,56.0,15.0,35.0,23.0,1.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,27.0,201.0,38.0,24.0,24.0,100.0,0.0,0.0,West Brom,DF,
Grady Diangana,eng ENG,22,1.0,49.0,0.0,9.0,26.0,17.0,2.0,49.0,1.0,2.0,50.0,1.0,0.0,32.0,118.0,72.0,49.0,37.0,75.5,4.0,5.0,West Brom,FW,
Kieran Gibbs,eng ENG,30,1.0,47.0,5.0,14.0,28.0,9.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,27.0,180.0,94.0,33.0,27.0,81.8,0.0,2.0,West Brom,DF,
Sam Johnstone,eng ENG,27,1.0,34.0,29.0,34.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,14.0,88.0,35.0,19.0,19.0,100.0,0.0,0.0,West Brom,GK,
Jake Livermore,eng ENG,30,1.0,33.0,2.0,9.0,20.0,6.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,18.0,92.0,33.0,17.0,14.0,82.4,0.0,0.0,West Brom,MF,
Dara O'Shea,ie IRL,21,1.0,54.0,5.0,27.0,28.0,4.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,28.0,156.0,73.0,30.0,29.0,96.7,0.0,0.0,West Brom,DF,
Matheus Pereira,br BRA,24,1.0,46.0,1.0,5.0,19.0,22.0,3.0,39.0,2.0,7.0,28.6,3.0,1.0,28.0,141.0,36.0,36.0,29.0,80.6,1.0,2.0,West Brom,FW,
Darnell Furlong,eng ENG,24,0.8,37.0,2.0,9.0,13.0,18.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,17.0,148.0,91.0,23.0,19.0,82.6,3.0,1.0,West Brom,DF,
Romaine Sawyers,kn SKN,28,0.7,25.0,0.0,2.0,19.0,6.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,17.0,88.0,39.0,20.0,18.0,90.0,0.0,2.0,West Brom,MF,
Callum Robinson,ie IRL,25,0.7,14.0,0.0,0.0,5.0,9.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,1.0,27.0,10.0,37.0,0.0,3.0,West Brom,FW,
Hal Robson-Kanu,wal WAL,31,0.3,7.0,1.0,1.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,7.0,3.0,42.9,0.0,0.0,West Brom,FW,
Kyle Edwards,eng ENG,22,0.3,10.0,0.0,3.0,5.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,38.0,9.0,7.0,77.8,0.0,1.0,West Brom,MF,
Rekeem Harper,eng ENG,20,0.2,18.0,0.0,2.0,14.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,10.0,11.0,10.0,90.9,1.0,0.0,West Brom,MF,DF
Michail Antonio,eng ENG,30,1.0,37.0,0.0,0.0,10.0,30.0,6.0,33.0,1.0,3.0,33.3,1.0,0.0,24.0,196.0,130.0,37.0,27.0,73.0,1.0,5.0,West Ham,FW,MF
Aaron Cresswell,eng ENG,30,1.0,67.0,2.0,11.0,43.0,17.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,47.0,237.0,120.0,45.0,44.0,97.8,0.0,0.0,West Ham,DF,
Issa Diop,fr FRA,23,1.0,84.0,9.0,35.0,52.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,60.0,342.0,203.0,60.0,60.0,100.0,0.0,0.0,West Ham,DF,
Łukasz Fabiański,pl POL,35,1.0,31.0,25.0,31.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,13.0,73.0,51.0,12.0,12.0,100.0,0.0,0.0,West Ham,GK,
Ryan Fredericks,eng ENG,27,1.0,54.0,5.0,6.0,28.0,23.0,1.0,48.0,0.0,1.0,0.0,0.0,0.0,34.0,158.0,110.0,39.0,36.0,92.3,0.0,0.0,West Ham,DF,
Angelo Ogbonna,it ITA,32,1.0,80.0,11.0,41.0,43.0,3.0,3.0,78.0,0.0,0.0,0.0,0.0,0.0,46.0,499.0,298.0,49.0,49.0,100.0,1.0,0.0,West Ham,DF,
Declan Rice,eng ENG,21,1.0,76.0,3.0,16.0,51.0,19.0,3.0,76.0,3.0,4.0,75.0,3.0,0.0,61.0,423.0,236.0,56.0,55.0,98.2,0.0,1.0,West Ham,MF,
Tomáš Souček,cz CZE,25,1.0,40.0,3.0,9.0,25.0,8.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,20.0,110.0,65.0,32.0,24.0,75.0,1.0,0.0,West Ham,MF,
Jarrod Bowen,eng ENG,23,1.0,40.0,0.0,5.0,21.0,17.0,4.0,38.0,2.0,3.0,66.7,2.0,0.0,29.0,260.0,102.0,30.0,27.0,90.0,0.0,1.0,West Ham,FW,
Pablo Fornals,es ESP,24,0.7,23.0,0.0,5.0,8.0,10.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,14.0,118.0,25.0,16.0,13.0,81.3,0.0,0.0,West Ham,FW,
Mark Noble,eng ENG,33,0.7,46.0,0.0,4.0,38.0,7.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,34.0,221.0,105.0,39.0,37.0,94.9,0.0,1.0,West Ham,MF,
Sébastien Haller,fr FRA,26,0.3,12.0,0.0,1.0,2.0,9.0,4.0,12.0,1.0,1.0,100.0,1.0,0.0,8.0,39.0,14.0,9.0,8.0,88.9,0.0,0.0,West Ham,FW,
Andriy Yarmolenko,ua UKR,30,0.3,25.0,0.0,3.0,13.0,13.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,18.0,181.0,119.0,18.0,18.0,100.0,0.0,1.0,West Ham,FW,MF
Felipe Anderson,br BRA,27,0.0,4.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,49.0,4.0,3.0,75.0,0.0,0.0,West Ham,FW,
Willy Boly,fr FRA,29,1.0,59.0,10.0,40.0,19.0,0.0,0.0,58.0,1.0,1.0,100.0,1.0,0.0,25.0,81.0,28.0,34.0,33.0,97.1,0.0,1.0,Wolves,DF,
Conor Coady,eng ENG,27,1.0,48.0,16.0,43.0,5.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,22.0,72.0,30.0,29.0,28.0,96.6,0.0,0.0,Wolves,DF,MF
Leander Dendoncker,be BEL,25,1.0,45.0,1.0,10.0,31.0,5.0,1.0,45.0,1.0,1.0,100.0,1.0,0.0,22.0,59.0,24.0,42.0,33.0,78.6,2.0,0.0,Wolves,DF,MF
Raúl Jiménez,mx MEX,29,1.0,63.0,4.0,8.0,39.0,22.0,5.0,63.0,3.0,4.0,75.0,3.0,0.0,42.0,333.0,210.0,62.0,47.0,75.8,2.0,4.0,Wolves,FW,
Fernando Marçal,br BRA,31,1.0,48.0,4.0,26.0,21.0,5.0,0.0,42.0,2.0,2.0,100.0,2.0,0.0,27.0,149.0,83.0,28.0,25.0,89.3,1.0,1.0,Wolves,DF,
Rui Patrício,pt POR,32,1.0,25.0,24.0,25.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,62.0,50.0,2.0,2.0,100.0,0.0,0.0,Wolves,GK,
Romain Saïss,ma MAR,30,1.0,63.0,10.0,40.0,22.0,3.0,3.0,62.0,0.0,0.0,0.0,0.0,0.0,25.0,89.0,40.0,37.0,36.0,97.3,0.0,0.0,Wolves,DF,MF
Adama Traoré,es ESP,24,1.0,54.0,3.0,17.0,28.0,15.0,0.0,41.0,8.0,10.0,80.0,9.0,0.0,32.0,338.0,224.0,33.0,28.0,84.8,2.0,2.0,Wolves,FW,MF
João Moutinho,pt POR,33,0.9,55.0,5.0,24.0,25.0,8.0,0.0,48.0,0.0,1.0,0.0,0.0,0.0,35.0,111.0,43.0,32.0,32.0,100.0,0.0,0.0,Wolves,MF,
Daniel Podence,pt POR,24,0.8,31.0,0.0,2.0,25.0,5.0,0.0,30.0,2.0,3.0,66.7,2.0,0.0,25.0,152.0,76.0,36.0,27.0,75.0,1.0,0.0,Wolves,FW,MF
Pedro Neto,pt POR,20,0.8,32.0,0.0,6.0,21.0,8.0,1.0,29.0,1.0,2.0,50.0,1.0,0.0,24.0,263.0,166.0,29.0,21.0,72.4,2.0,0.0,Wolves,FW,
Oskar Buur,dk DEN,22,0.2,17.0,0.0,5.0,12.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,21.0,14.0,13.0,92.9,0.0,1.0,Wolves,DF,MF
Rúben Neves,pt POR,23,0.2,11.0,1.0,6.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,5.0,83.3,0.0,0.0,Wolves,MF,
Vitinha,pt POR,20,0.1,5.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,4.0,4.0,100.0,0.0,0.0,Wolves,MF,
