player,nationality,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,team,Pos1,Pos2
Jack O'Connell,eng ENG,26,1.0,41.0,54.0,75.9,778.0,296.0,1.0,3.0,33.3,29.0,33.0,87.9,11.0,18.0,61.1,0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,Sheffield Utd,DF,
Aaron Ramsdale,eng ENG,22,1.0,13.0,24.0,54.2,615.0,522.0,0.0,0.0,0.0,4.0,4.0,100.0,9.0,20.0,45.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Sheffield Utd,GK,
Billy Sharp,eng ENG,34,1.0,11.0,16.0,68.8,153.0,14.0,1.0,2.0,50.0,9.0,13.0,69.2,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield Utd,FW,
Enda Stevens,ie IRL,30,1.0,55.0,61.0,90.2,1112.0,496.0,0.0,0.0,0.0,40.0,42.0,95.2,15.0,19.0,78.9,0,0.0,0.0,0.0,8.0,4.0,0.0,13.0,Sheffield Utd,DF,MF
Oliver Norwood,nir NIR,29,0.8,53.0,65.0,81.5,1475.0,298.0,0.0,0.0,0.0,26.0,29.0,89.7,27.0,36.0,75.0,0,0.0,0.0,1.0,10.0,1.0,0.0,8.0,Sheffield Utd,MF,
Chris Basham,eng ENG,32,0.8,25.0,32.0,78.1,387.0,93.0,0.0,1.0,0.0,23.0,27.0,85.2,2.0,4.0,50.0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Sheffield Utd,DF,MF
David McGoldrick,ie IRL,32,0.2,16.0,22.0,72.7,268.0,37.0,1.0,2.0,50.0,12.0,16.0,75.0,3.0,4.0,75.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Sheffield Utd,FW,
Sander Berge,no NOR,22,0.2,24.0,24.0,100.0,402.0,81.0,1.0,1.0,100.0,19.0,19.0,100.0,4.0,4.0,100.0,0,0.1,-0.1,1.0,2.0,1.0,1.0,3.0,Sheffield Utd,MF,
Ryan Bertrand,eng ENG,30,1.0,56.0,70.0,80.0,1080.0,258.0,1.0,4.0,25.0,42.0,47.0,89.4,13.0,19.0,68.4,0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,Southampton,DF,
Danny Ings,eng ENG,28,1.0,11.0,18.0,61.1,115.0,61.0,2.0,5.0,40.0,9.0,12.0,75.0,0.0,1.0,0.0,0,0.1,-0.1,1.0,1.0,2.0,1.0,3.0,Southampton,FW,
