Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Danny Drinkwater,eng ENG,MF,29,1,1,58,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Max Thompson,eng ENG,FW,17,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Josh Benson,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Anthony Driscoll-Glennon,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Jimmy Dunne,ie IRL,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Ben Gibson,eng ENG,DF,26,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Mace Goodridge,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Joe Hart,eng ENG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Lukas Jensen,dk DEN,GK,,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Ali Koiki,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Joel Mumbongo,se SWE,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Bailey Peacock-Farrell,nir NIR,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Bobby Thomas,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,Matches
César Azpilicueta,es ESP,DF,29,36,36,"3,229",2,6,0,0,1,0,0.06,0.17,0.22,0.06,0.22,2.8,2.8,6.0,0.08,0.17,0.25,0.08,0.25,Matches
Kepa Arrizabalaga,es ESP,GK,24,33,33,"2,970",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mason Mount,eng ENG,"MF,FW",20,37,32,"2,867",7,5,0,0,3,0,0.22,0.16,0.38,0.22,0.38,6.8,6.8,3.7,0.22,0.12,0.34,0.22,0.34,Matches
Willian,br BRA,FW,30,36,29,"2,600",9,7,4,4,4,0,0.31,0.24,0.55,0.17,0.42,7.1,4.1,7.2,0.25,0.25,0.50,0.14,0.39,Matches
Jorginho,it ITA,MF,27,31,27,"2,379",4,2,3,3,10,0,0.15,0.08,0.23,0.04,0.11,3.5,1.2,2.3,0.14,0.09,0.23,0.05,0.14,Matches
Kurt Zouma,fr FRA,DF,24,28,25,"2,344",0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,0.03,0.01,0.04,0.03,0.04,Matches
Tammy Abraham,eng ENG,FW,21,34,25,"2,215",15,3,0,0,2,0,0.61,0.12,0.73,0.61,0.73,15.1,15.1,2.5,0.62,0.10,0.72,0.62,0.72,Matches
Mateo Kovačić,hr CRO,MF,25,31,23,"2,073",1,3,0,0,8,0,0.04,0.13,0.17,0.04,0.17,1.2,1.2,2.0,0.06,0.09,0.15,0.06,0.15,Matches
Andreas Christensen,dk DEN,DF,23,21,21,"1,751",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,0.04,0.05,0.09,0.04,0.09,Matches
N'Golo Kanté,fr FRA,MF,28,22,20,"1,732",3,0,0,0,4,0,0.16,0.00,0.16,0.16,0.16,1.6,1.6,2.0,0.08,0.11,0.19,0.08,0.19,Matches
Christian Pulisic,us USA,FW,20,25,19,"1,722",9,4,0,0,0,0,0.47,0.21,0.68,0.47,0.68,8.3,8.3,3.7,0.45,0.20,0.66,0.45,0.66,Matches
Antonio Rüdiger,de GER,DF,26,20,19,"1,710",2,0,0,0,3,0,0.11,0.00,0.11,0.11,0.11,0.6,0.6,0.4,0.03,0.02,0.05,0.03,0.05,Matches
Reece James,eng ENG,DF,19,24,16,"1,515",0,2,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.7,0.7,3.3,0.04,0.21,0.25,0.04,0.25,Matches
Marcos Alonso,es ESP,DF,28,18,15,"1,430",4,2,0,0,4,0,0.25,0.13,0.38,0.25,0.38,2.0,2.0,2.1,0.13,0.14,0.28,0.13,0.28,Matches
Fikayo Tomori,eng ENG,DF,21,15,15,"1,291",1,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
Ross Barkley,eng ENG,MF,25,21,13,"1,103",1,4,0,0,0,0,0.08,0.33,0.41,0.08,0.41,2.3,2.3,2.6,0.19,0.22,0.40,0.19,0.40,Matches
Emerson Palmieri,it ITA,DF,24,15,13,"1,024",0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.4,0.08,0.12,0.20,0.08,0.20,Matches
Olivier Giroud,fr FRA,FW,32,18,12,993,8,0,0,0,1,0,0.73,0.00,0.73,0.73,0.73,6.2,6.2,1.1,0.61,0.10,0.71,0.61,0.71,Matches
Pedro,es ESP,FW,32,11,8,661,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,2.6,2.6,0.8,0.36,0.11,0.47,0.36,0.47,Matches
Callum Hudson-Odoi,eng ENG,FW,18,22,7,863,1,5,0,0,1,0,0.10,0.52,0.63,0.10,0.63,2.0,2.0,2.5,0.21,0.26,0.47,0.21,0.47,Matches
Willy Caballero,ar ARG,GK,37,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,7,2,208,0,1,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.5,0.5,0.3,0.22,0.12,0.33,0.22,0.33,Matches
Billy Gilmour,sco SCO,MF,18,6,2,194,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.03,0.08,0.11,0.03,0.11,Matches
Michy Batshuayi,be BEL,FW,25,16,1,239,1,1,0,0,0,0,0.38,0.38,0.75,0.38,0.75,2.2,2.2,0.2,0.82,0.06,0.88,0.82,0.88,Matches
Tariq Lamptey,eng ENG,DF,18,1,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.38,0.38,0.00,0.38,Matches
Faustino Anjorin,eng ENG,FW,17,1,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
Armando Broja,al ALB,FW,17,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lewis Bate,eng ENG,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Marc Guéhi,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Kenedy,br BRA,"FW,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Wilfried Zaha,ci CIV,"MF,FW",26,38,37,"3,280",4,3,0,0,5,0,0.11,0.08,0.19,0.11,0.19,5.2,5.2,3.3,0.15,0.09,0.24,0.15,0.24,Matches
Jordan Ayew,gh GHA,"FW,MF",27,37,37,"3,148",9,2,0,0,6,0,0.26,0.06,0.31,0.26,0.31,6.5,6.5,2.0,0.19,0.06,0.25,0.19,0.25,Matches
James McArthur,sco SCO,MF,31,37,37,"3,090",0,3,0,0,6,0,0.00,0.09,0.09,0.00,0.09,2.4,2.4,2.7,0.07,0.08,0.15,0.07,0.15,Matches
Vicente Guaita,es ESP,GK,32,35,35,"3,150",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Cheikhou Kouyaté,sn SEN,"MF,DF",29,35,29,"2,528",1,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,1.8,1.8,0.9,0.07,0.03,0.10,0.07,0.10,Matches
Patrick van Aanholt,nl NED,DF,28,29,29,"2,507",3,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.3,1.6,3.2,0.08,0.11,0.20,0.06,0.17,Matches
Luka Milivojević,rs SRB,MF,28,31,28,"2,513",3,1,2,2,12,0,0.11,0.04,0.14,0.04,0.07,2.5,1.0,2.0,0.09,0.07,0.16,0.03,0.11,Matches
Joel Ward,eng ENG,DF,29,29,27,"2,382",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.01,0.01,0.02,0.01,0.02,Matches
Gary Cahill,eng ENG,DF,33,25,25,"2,167",0,1,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.4,1.4,0.3,0.06,0.01,0.07,0.06,0.07,Matches
James Tomkins,eng ENG,DF,30,18,18,"1,582",1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,1.3,1.3,0.1,0.08,0.01,0.08,0.08,0.08,Matches
Martin Kelly,eng ENG,DF,29,19,17,"1,549",0,1,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,0.01,0.05,0.06,0.01,0.06,Matches
James McCarthy,ie IRL,MF,28,33,16,"1,680",0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,0.02,0.05,0.07,0.02,0.07,Matches
Andros Townsend,eng ENG,MF,28,24,14,"1,294",1,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,0.4,0.4,1.9,0.03,0.14,0.17,0.03,0.17,Matches
Scott Dann,eng ENG,DF,32,16,14,"1,266",0,1,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.4,0.03,0.03,0.06,0.03,0.06,Matches
Christian Benteke,be BEL,FW,28,24,13,"1,261",2,1,0,0,4,1,0.14,0.07,0.21,0.14,0.21,5.3,5.3,2.3,0.38,0.16,0.54,0.38,0.54,Matches
Jeffrey Schlupp,gh GHA,"MF,DF",26,17,11,"1,036",3,1,0,0,2,0,0.26,0.09,0.35,0.26,0.35,1.6,1.6,1.1,0.16,0.11,0.26,0.16,0.26,Matches
Mamadou Sakho,fr FRA,DF,29,14,11,931,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
Jaïro Riedewald,nl NED,"DF,MF",22,17,7,769,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.05,0.06,0.01,0.06,Matches
Max Meyer,de GER,"MF,FW",23,17,6,655,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,0.10,0.10,0.20,0.10,0.20,Matches
Wayne Hennessey,wal WAL,GK,32,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Tyrick Mitchell,eng ENG,DF,19,4,2,195,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.10,0.10,0.00,0.10,Matches
Cenk Tosun,tr TUR,FW,28,5,2,177,1,0,0,0,0,0,0.51,0.00,0.51,0.51,0.51,0.8,0.8,0.0,0.40,0.00,0.40,0.40,0.40,Matches
Connor Wickham,eng ENG,"FW,MF",26,6,0,96,1,1,0,0,0,0,0.94,0.94,1.87,0.94,1.87,1.4,1.4,0.6,1.32,0.53,1.85,1.32,1.85,Matches
Brandon Pierrick,eng ENG,"DF,FW",17,2,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.47,0.47,0.00,0.47,Matches
Víctor Camarasa,es ESP,MF,25,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
James Daly,eng ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
John-Kymani Gordon,eng ENG,FW,16,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Stephen Henderson,ie IRL,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Nya Kirby,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Giovanni McGregor,eng ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Nikola Tavares,hr CRO,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Sam Woods,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Jordan Pickford,eng ENG,GK,25,38,38,"3,420",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Richarlison,br BRA,FW,22,36,36,"3,070",13,3,0,0,8,0,0.38,0.09,0.47,0.38,0.47,8.7,8.7,5.2,0.26,0.16,0.42,0.26,0.42,Matches
Lucas Digne,fr FRA,DF,26,35,35,"3,030",0,7,0,0,6,0,0.00,0.21,0.21,0.00,0.21,1.5,1.5,5.4,0.05,0.16,0.21,0.05,0.21,Matches
Dominic Calvert-Lewin,eng ENG,FW,22,36,30,"2,626",13,1,0,0,9,0,0.45,0.03,0.48,0.45,0.48,14.4,14.4,1.0,0.50,0.04,0.53,0.50,0.53,Matches
Gylfi Sigurðsson,is ISL,MF,29,35,28,"2,560",2,3,1,1,3,0,0.07,0.11,0.18,0.04,0.14,4.1,3.4,3.9,0.15,0.14,0.29,0.12,0.27,Matches
Michael Keane,eng ENG,DF,26,31,28,"2,559",2,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,1.6,1.6,0.6,0.06,0.02,0.08,0.06,0.08,Matches
Yerry Mina,co COL,DF,24,29,25,"2,284",2,1,0,0,3,0,0.08,0.04,0.12,0.08,0.12,2.7,2.7,0.3,0.11,0.01,0.12,0.11,0.12,Matches
Mason Holgate,eng ENG,DF,22,27,24,"2,054",0,3,0,0,5,0,0.00,0.13,0.13,0.00,0.13,2.3,2.3,0.5,0.10,0.02,0.12,0.10,0.12,Matches
Tom Davies,eng ENG,MF,21,30,23,"2,027",1,0,0,0,8,0,0.04,0.00,0.04,0.04,0.04,2.0,2.0,0.4,0.09,0.02,0.11,0.09,0.11,Matches
Séamus Coleman,ie IRL,DF,30,27,21,"1,839",0,1,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.6,0.6,0.6,0.03,0.03,0.06,0.03,0.06,Matches
Alex Iwobi,ng NGA,"MF,FW",23,25,19,"1,596",1,0,0,0,0,0,0.06,0.00,0.06,0.06,0.06,2.2,2.2,2.4,0.13,0.13,0.26,0.13,0.26,Matches
Djibril Sidibé,fr FRA,DF,27,25,18,"1,824",0,4,0,0,3,0,0.00,0.20,0.20,0.00,0.20,0.4,0.4,2.0,0.02,0.10,0.12,0.02,0.12,Matches
André Gomes,pt POR,MF,26,19,17,"1,458",0,1,0,0,6,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.8,0.02,0.05,0.07,0.02,0.07,Matches
Theo Walcott,eng ENG,"MF,FW",30,25,17,"1,287",2,3,0,0,1,0,0.14,0.21,0.35,0.14,0.35,2.5,2.5,1.9,0.19,0.14,0.33,0.19,0.33,Matches
Bernard,br BRA,"MF,FW",26,27,15,"1,280",3,2,0,0,2,0,0.21,0.14,0.35,0.21,0.35,1.0,1.0,1.7,0.07,0.12,0.20,0.07,0.20,Matches
Fabian Delph,eng ENG,MF,29,16,13,"1,190",0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.00,0.03,0.03,0.00,0.03,Matches
Morgan Schneiderlin,fr FRA,MF,29,15,12,"1,001",0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.03,0.01,0.05,0.03,0.05,Matches
Moise Kean,it ITA,FW,19,29,6,852,2,2,0,0,1,0,0.21,0.21,0.42,0.21,0.42,3.1,3.1,0.6,0.36,0.06,0.42,0.36,0.42,Matches
Anthony Gordon,eng ENG,MF,18,11,4,440,0,1,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.3,0.3,0.5,0.06,0.11,0.17,0.06,0.17,Matches
Leighton Baines,eng ENG,DF,34,8,4,404,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.01,0.17,0.18,0.01,0.18,Matches
Jarrad Branthwaite,eng ENG,DF,17,4,2,300,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Cenk Tosun,tr TUR,FW,28,5,2,291,1,0,0,0,0,0,0.31,0.00,0.31,0.31,0.31,0.8,0.8,0.1,0.24,0.04,0.27,0.24,0.27,Matches
Jean-Philippe Gbamin,ci CIV,MF,23,2,1,136,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Oumar Niasse,sn SEN,FW,29,3,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Beni Baningime,cd COD,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Lewis Gibson,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Jonas Lössl,dk DEN,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Cuco Martina,cw CUW,"DF,MF",29,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Ellis Simms,eng ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Maarten Stekelenburg,nl NED,GK,36,0,0,,,,,,,,,,,,,,,,,,,,,Matches
João Virgínia,pt POR,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Kasper Schmeichel,dk DEN,GK,32,38,38,"3,420",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.00,0.01,0.02,0.00,0.02,Matches
Jonny Evans,nir NIR,DF,31,38,38,"3,383",1,1,0,0,8,1,0.03,0.03,0.05,0.03,0.05,2.6,2.6,0.6,0.07,0.02,0.09,0.07,0.09,Matches
Çağlar Söyüncü,tr TUR,DF,23,34,34,"3,036",1,1,0,0,4,1,0.03,0.03,0.06,0.03,0.06,2.4,2.4,0.3,0.07,0.01,0.08,0.07,0.08,Matches
Jamie Vardy,eng ENG,FW,32,35,34,"3,033",23,5,4,5,2,0,0.68,0.15,0.83,0.56,0.71,19.9,16.1,5.3,0.59,0.16,0.75,0.48,0.63,Matches
Youri Tielemans,be BEL,MF,22,37,32,"2,828",3,6,0,0,2,0,0.10,0.19,0.29,0.10,0.29,3.1,3.1,5.5,0.10,0.18,0.28,0.10,0.28,Matches
Wilfred Ndidi,ng NGA,MF,22,32,29,"2,674",2,1,0,0,6,0,0.07,0.03,0.10,0.07,0.10,1.9,1.9,0.4,0.06,0.01,0.08,0.06,0.08,Matches
James Maddison,eng ENG,MF,22,31,29,"2,624",6,3,0,0,4,0,0.21,0.10,0.31,0.21,0.31,5.0,5.0,6.9,0.17,0.24,0.41,0.17,0.41,Matches
Ricardo Pereira,pt POR,DF,25,28,28,"2,520",3,2,0,0,1,0,0.11,0.07,0.18,0.11,0.18,1.2,1.1,3.8,0.04,0.13,0.18,0.04,0.17,Matches
Ben Chilwell,eng ENG,DF,22,27,27,"2,373",3,3,0,0,3,0,0.11,0.11,0.23,0.11,0.23,0.9,0.9,3.6,0.03,0.14,0.17,0.03,0.17,Matches
Ayoze Pérez,es ESP,"MF,FW",26,33,26,"2,004",8,4,1,1,0,0,0.36,0.18,0.54,0.31,0.49,5.8,5.1,3.7,0.26,0.17,0.43,0.23,0.39,Matches
Harvey Barnes,eng ENG,"MF,FW",21,36,24,"2,083",6,8,0,0,0,0,0.26,0.35,0.60,0.26,0.60,8.2,8.2,3.7,0.36,0.16,0.51,0.36,0.51,Matches
Dennis Praet,be BEL,MF,25,27,12,"1,134",1,2,0,0,2,0,0.08,0.16,0.24,0.08,0.24,1.4,1.4,0.8,0.11,0.06,0.17,0.11,0.17,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",22,20,12,960,5,3,0,0,1,0,0.47,0.28,0.75,0.47,0.75,4.8,4.8,2.4,0.45,0.23,0.68,0.45,0.68,Matches
James Justin,eng ENG,DF,21,13,11,"1,012",0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.2,0.03,0.11,0.14,0.03,0.14,Matches
Hamza Choudhury,eng ENG,MF,21,20,10,893,1,1,0,0,4,1,0.10,0.10,0.20,0.10,0.20,0.5,0.5,0.1,0.05,0.01,0.06,0.05,0.06,Matches
Marc Albrighton,eng ENG,"MF,DF",29,20,9,867,0,3,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.6,0.6,1.8,0.06,0.19,0.24,0.06,0.24,Matches
Christian Fuchs,at AUT,DF,33,11,8,772,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.01,0.02,0.02,0.02,Matches
Wes Morgan,jm JAM,DF,35,11,4,436,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.03,0.00,0.03,0.03,0.03,Matches
Nampalys Mendy,fr FRA,MF,27,7,4,291,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.04,0.04,0.01,0.04,Matches
Demarai Gray,eng ENG,"MF,FW",23,21,3,622,2,3,0,1,1,0,0.29,0.43,0.72,0.29,0.72,2.5,1.7,1.6,0.36,0.23,0.59,0.25,0.48,Matches
Ryan Bennett,eng ENG,DF,29,5,3,331,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Luke Thomas,eng ENG,DF,,3,3,267,0,1,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.0,0.0,0.9,0.00,0.31,0.31,0.00,0.31,Matches
George Hirst,eng ENG,FW,20,2,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,1.09,0.00,1.09,1.09,1.09,Matches
Matty James,eng ENG,MF,28,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Benković,hr CRO,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Darnell Johnson,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Danny Ward,wal WAL,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Virgil van Dijk,nl NED,DF,28,38,38,"3,420",5,1,0,0,1,0,0.13,0.03,0.16,0.13,0.16,2.8,2.8,1.4,0.08,0.04,0.11,0.08,0.11,Matches
Trent Alexander-Arnold,eng ENG,DF,20,38,35,"3,175",4,13,0,0,5,0,0.11,0.37,0.48,0.11,0.48,2.8,2.8,9.8,0.08,0.28,0.36,0.08,0.36,Matches
Georginio Wijnaldum,nl NED,MF,28,37,35,"2,935",4,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,2.9,2.9,1.3,0.09,0.04,0.13,0.09,0.13,Matches
Andrew Robertson,sco SCO,DF,25,36,34,"3,111",2,12,0,0,2,0,0.06,0.35,0.41,0.06,0.41,1.6,1.6,7.2,0.05,0.22,0.26,0.05,0.26,Matches
Roberto Firmino,br BRA,FW,27,38,34,"2,988",9,8,0,0,0,0,0.27,0.24,0.51,0.27,0.51,13.6,13.6,6.1,0.41,0.18,0.60,0.41,0.60,Matches
Mohamed Salah,eg EGY,FW,27,34,33,"2,876",19,10,3,3,1,0,0.59,0.31,0.91,0.50,0.81,19.1,16.8,7.0,0.60,0.22,0.82,0.53,0.75,Matches
Sadio Mané,sn SEN,FW,27,35,31,"2,747",18,7,0,0,3,0,0.59,0.23,0.82,0.59,0.82,13.2,13.2,6.9,0.44,0.23,0.67,0.44,0.67,Matches
Alisson,br BRA,GK,26,29,29,"2,543",0,1,0,0,0,1,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.4,0.00,0.02,0.02,0.00,0.02,Matches
Jordan Henderson,eng ENG,MF,29,30,26,"2,238",4,5,0,0,2,0,0.16,0.20,0.36,0.16,0.36,1.4,1.4,2.9,0.06,0.11,0.17,0.06,0.17,Matches
Fabinho,br BRA,MF,25,28,22,"2,079",2,3,0,0,6,0,0.09,0.13,0.22,0.09,0.22,0.4,0.4,1.8,0.02,0.08,0.09,0.02,0.09,Matches
Joe Gomez,eng ENG,DF,22,28,22,"2,004",0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25,30,17,"1,485",4,1,0,0,1,0,0.24,0.06,0.30,0.24,0.30,2.8,2.8,1.3,0.18,0.08,0.26,0.18,0.26,Matches
James Milner,eng ENG,"MF,DF",33,22,9,937,2,2,2,2,4,0,0.19,0.19,0.38,0.00,0.19,2.0,0.5,0.6,0.22,0.06,0.28,0.06,0.12,Matches
Adrián,es ESP,GK,32,11,9,875,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Naby Keïta,gn GUI,MF,24,18,9,815,2,3,0,0,1,0,0.22,0.33,0.55,0.22,0.55,1.5,1.5,2.4,0.18,0.29,0.48,0.18,0.48,Matches
Dejan Lovren,hr CRO,DF,30,10,9,777,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,0.4,0.04,0.05,0.09,0.04,0.09,Matches
Joël Matip,cm CMR,DF,27,9,8,703,1,0,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.0,0.05,0.00,0.05,0.05,0.05,Matches
Divock Origi,be BEL,FW,24,28,7,717,4,1,0,0,1,0,0.50,0.13,0.63,0.50,0.63,2.1,2.1,0.2,0.29,0.03,0.33,0.29,0.33,Matches
Adam Lallana,eng ENG,"MF,FW",31,15,3,382,1,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,1.1,1.1,0.6,0.25,0.14,0.39,0.25,0.39,Matches
Neco Williams,wal WAL,DF,18,6,3,230,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.13,0.07,0.19,0.13,0.19,Matches
Takumi Minamino,jp JPN,"FW,MF",24,10,2,249,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.0,0.63,0.00,0.63,0.63,0.63,Matches
Xherdan Shaqiri,ch SUI,FW,27,7,2,185,1,0,0,0,0,0,0.49,0.00,0.49,0.49,0.49,0.5,0.5,0.2,0.23,0.08,0.30,0.23,0.30,Matches
Curtis Jones,eng ENG,MF,18,6,1,126,1,0,0,0,0,0,0.71,0.00,0.71,0.71,0.71,0.9,0.9,0.0,0.69,0.00,0.69,0.69,0.69,Matches
Harvey Elliot,eng ENG,DF,16,2,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Rhian Brewster,eng ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Ki-Jana Hoever,nl NED,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Caoimhin Kelleher,ie IRL,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Andy Lonergan,ie IRL,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Nathaniel Phillips,eng ENG,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches
