player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,matches,team
Christian Kabasele,be BEL,DF,28,25.0,947,197,574,387,27,18,936,7,8,87.5,8,0,458,2277,883,448,433,96.7,7,8,Matches,Watford
Kiko Femenía,es ESP,DF,28,24.9,1505,64,425,703,459,21,1230,25,36,69.4,25,1,832,4507,2325,810,753,93.0,16,12,Matches,Watford
Troy Deeney,eng ENG,FW,31,24.7,951,26,75,447,456,110,924,11,22,50.0,11,0,429,1700,712,1367,707,51.7,64,26,Matches,Watford
Gerard Deulofeu,es ESP,FW,25,23.3,1126,13,145,428,669,157,1036,63,108,58.3,69,2,895,8042,5493,1107,769,69.5,53,50,Matches,Watford
Ismaila Sarr,sn SEN,"FW,MF",21,22.5,931,14,115,359,560,114,922,52,101,51.5,55,1,777,6444,4111,1052,692,65.8,65,59,Matches,Watford
Adam Masina,it ITA,DF,25,20.2,1186,102,392,567,269,21,973,11,18,61.1,11,0,535,2661,1350,568,523,92.1,11,13,Matches,Watford
Roberto Pereyra,ar ARG,"FW,MF",28,18.3,898,16,139,441,396,57,855,25,61,41.0,28,0,670,4700,2712,876,621,70.9,48,36,Matches,Watford
Adrian Mariappa,jm JAM,DF,32,16.8,762,84,315,344,121,5,628,1,3,33.3,2,0,315,1046,433,346,330,95.4,5,3,Matches,Watford
José Holebas,gr GRE,DF,35,11.4,720,37,178,352,219,10,537,6,14,42.9,7,1,329,1596,907,387,347,89.7,4,5,Matches,Watford
Tom Cleverley,eng ENG,MF,29,10.8,583,21,106,288,214,25,555,4,6,66.7,4,0,374,1359,588,449,374,83.3,8,6,Matches,Watford
Nathaniel Chalobah,eng ENG,MF,24,10.3,488,27,111,279,118,9,465,6,14,42.9,6,3,266,1117,517,297,246,82.8,7,12,Matches,Watford
Danny Welbeck,eng ENG,"FW,MF",28,9.1,282,5,33,109,159,48,274,9,19,47.4,9,0,195,1402,672,354,198,55.9,22,19,Matches,Watford
Andre Gray,eng ENG,FW,28,8.4,239,4,10,84,156,44,231,6,13,46.2,7,1,160,736,310,391,181,46.3,29,19,Matches,Watford
Daryl Janmaat,nl NED,DF,30,6.7,409,31,111,179,146,8,355,9,12,75.0,9,0,267,1322,764,276,247,89.5,4,4,Matches,Watford
Dimitri Foulquier,fr FRA,"MF,DF",26,0.7,20,3,7,9,6,0,19,2,2,100.0,2,0,12,109,71,13,9,69.2,1,1,Matches,Watford
Sebastian Prödl,at AUT,DF,32,0.6,16,3,8,6,2,2,16,0,0,,0,0,5,6,0,7,7,100.0,0,0,Matches,Watford
Ignacio Pussetto,ar ARG,"FW,DF",23,0.8,58,3,22,25,13,1,54,1,5,20.0,2,0,27,169,70,29,22,75.9,2,5,Matches,Watford
Isaac Success,ng NGA,"FW,MF",23,0.8,33,0,2,11,24,3,33,1,4,25.0,2,0,28,168,95,55,27,49.1,3,2,Matches,Watford
João Pedro,br BRA,"FW,MF",17,0.3,18,0,3,7,10,3,18,3,3,100.0,3,0,14,192,106,20,14,70.0,0,1,Matches,Watford
Domingos Quina,pt POR,MF,19,0.2,19,0,6,10,4,0,19,1,2,50.0,1,0,14,96,52,18,11,61.1,1,2,Matches,Watford
Declan Rice,eng ENG,MF,20,38.0,2084,111,631,1306,305,29,2052,41,53,77.4,43,0,1366,9214,3924,1351,1267,93.8,19,28,Matches,West Ham
Mark Noble,eng ENG,MF,32,29.7,1735,37,309,1098,418,30,1626,29,41,70.7,32,0,1169,5691,2492,1324,1175,88.7,31,30,Matches,West Ham
Angelo Ogbonna,it ITA,DF,31,31.0,1278,244,706,582,51,29,1259,2,3,66.7,2,0,634,4169,1604,646,620,96.0,6,2,Matches,West Ham
Issa Diop,fr FRA,DF,22,30.7,1268,238,698,600,34,22,1226,4,5,80.0,4,0,602,3976,1928,625,603,96.5,3,5,Matches,West Ham
Aaron Cresswell,eng ENG,DF,29,30.3,1971,107,549,943,562,26,1581,16,38,42.1,19,2,1076,4665,2306,1139,1047,91.9,9,13,Matches,West Ham
Ryan Fredericks,eng ENG,DF,26,24.9,1382,91,440,605,418,32,1174,13,29,44.8,13,0,727,4334,2684,800,721,90.1,20,16,Matches,West Ham
Łukasz Fabiański,pl POL,GK,34,23.5,728,656,728,0,0,0,465,1,1,100.0,1,0,304,1956,992,229,226,98.7,1,0,Matches,West Ham
Sébastien Haller,fr FRA,FW,25,25.2,1062,31,96,605,408,123,1031,24,38,63.2,25,2,580,2473,1156,1520,809,53.2,70,40,Matches,West Ham
Pablo Fornals,es ESP,"MF,FW",23,24.1,1149,14,170,542,512,51,1113,20,39,51.3,22,3,798,4337,2307,1055,786,74.5,22,38,Matches,West Ham
Felipe Anderson,br BRA,"MF,FW",26,16.6,1163,26,166,616,517,68,1138,66,97,68.0,70,5,932,7366,4575,1042,889,85.3,33,35,Matches,West Ham
Michail Antonio,eng ENG,FW,29,19.6,851,12,47,305,557,126,811,71,107,66.4,74,3,601,4523,2699,1134,626,55.2,71,49,Matches,West Ham
Robert Snodgrass,sco SCO,"MF,FW",31,16.8,805,16,140,310,397,60,707,15,27,55.6,16,1,511,3373,1687,664,501,75.5,12,35,Matches,West Ham
Manuel Lanzini,ar ARG,"MF,FW",26,15.3,941,14,117,558,337,34,881,28,42,66.7,28,0,733,4633,2375,858,708,82.5,26,24,Matches,West Ham
Fabián Balbuena,py PAR,DF,27,13.1,653,96,350,311,27,16,635,0,0,,0,0,308,1777,977,344,329,95.6,2,0,Matches,West Ham
Tomáš Souček,cz CZE,MF,24,11.6,530,50,155,271,118,34,525,1,6,16.7,2,1,238,838,318,377,291,77.2,8,2,Matches,West Ham
Jarrod Bowen,eng ENG,FW,22,10.2,421,8,77,161,234,52,393,16,33,48.5,17,3,313,3056,1632,352,259,73.6,17,22,Matches,West Ham
Andriy Yarmolenko,ua UKR,"MF,FW",29,11.0,545,11,81,222,268,59,533,10,16,62.5,10,0,406,2363,1291,572,418,73.1,24,18,Matches,West Ham
Arthur Masuaku,cd COD,DF,25,10.4,745,52,239,385,177,14,659,31,39,79.5,31,1,489,3263,2052,463,424,91.6,9,23,Matches,West Ham
Roberto,es ESP,GK,33,7.6,265,235,262,4,0,0,188,0,0,,0,0,106,587,368,85,84,98.8,0,0,Matches,West Ham
Pablo Zabaleta,ar ARG,DF,34,6.6,398,37,118,205,93,8,332,0,2,0.0,0,0,197,1004,530,228,202,88.6,2,2,Matches,West Ham
Jeremy Ngakia,eng ENG,DF,18,4.9,220,20,103,90,44,1,177,8,12,66.7,8,0,113,802,540,101,88,87.1,4,4,Matches,West Ham
David Martin,eng ENG,GK,33,4.8,134,117,134,0,0,0,72,0,0,,0,0,44,254,162,31,31,100.0,0,0,Matches,West Ham
Ben Johnson,eng ENG,DF,19,3.0,196,15,71,87,43,0,167,1,1,100.0,1,0,95,465,199,109,104,95.4,1,2,Matches,West Ham
Jack Wilshere,eng ENG,MF,27,2.4,108,1,12,69,31,4,106,5,10,50.0,6,1,80,508,251,94,76,80.9,3,13,Matches,West Ham
Darren Randolph,ie IRL,GK,32,2.0,47,42,47,0,0,0,29,0,0,,0,0,16,128,100,11,11,100.0,0,0,Matches,West Ham
Carlos Sánchez,co COL,"MF,DF",33,1.3,66,3,11,49,8,0,66,1,1,100.0,1,0,30,100,29,37,33,89.2,0,1,Matches,West Ham
Javier Hernández,mx MEX,FW,31,1.2,29,0,1,19,10,4,24,0,1,0.0,1,1,14,35,8,39,18,46.2,0,2,Matches,West Ham
Albian Ajeti,ch SUI,"MF,FW",22,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3,Matches,West Ham
Nathan Holland,eng ENG,MF,21,0.4,21,0,3,6,14,1,20,3,4,75.0,3,0,21,136,90,21,18,85.7,1,1,Matches,West Ham
Conor Coady,eng ENG,DF,26,38.0,2046,354,1366,787,1,0,2012,6,6,100.0,6,0,1324,6936,3166,1357,1352,99.6,3,2,Matches,Wolves
Rui Patrício,pt POR,GK,31,38.0,903,840,901,3,0,0,547,0,0,,0,0,339,1685,967,238,235,98.7,0,0,Matches,Wolves
Raúl Jiménez,mx MEX,FW,28,36.0,1489,37,125,785,668,199,1448,75,110,68.2,76,4,1050,6590,3674,1839,1150,62.5,97,88,Matches,Wolves
Rúben Neves,pt POR,MF,22,34.0,2285,79,532,1449,395,4,2221,25,32,78.1,27,0,1495,5793,2766,1569,1500,95.6,11,11,Matches,Wolves
João Moutinho,pt POR,MF,32,34.5,2294,48,421,1270,698,11,1973,21,29,72.4,23,0,1366,6150,3317,1512,1374,90.9,15,20,Matches,Wolves
Jonny Castro,es ESP,DF,25,32.1,1866,76,470,821,681,71,1562,30,76,39.5,40,2,1085,6777,4341,1199,1042,86.9,41,50,Matches,Wolves
Matt Doherty,ie IRL,DF,27,31.5,2157,82,508,1098,661,95,1822,29,52,55.8,30,5,1185,6275,4064,1542,1319,85.5,46,23,Matches,Wolves
Leander Dendoncker,be BEL,"MF,DF",24,31.1,1599,113,576,901,198,39,1583,17,21,81.0,17,1,957,4352,2169,1186,1011,85.2,23,16,Matches,Wolves
Romain Saïss,ma MAR,DF,29,30.1,1932,175,925,1009,89,26,1892,7,9,77.8,8,1,1058,4696,2514,1201,1165,97.0,6,8,Matches,Wolves
Adama Traoré,es ESP,"FW,MF",23,28.9,1400,28,151,666,767,118,1346,156,211,73.9,161,3,1252,13212,8670,1394,1045,75.0,82,90,Matches,Wolves
Diogo Jota,pt POR,"FW,MF",22,25.4,1248,10,129,626,629,155,1209,76,132,57.6,85,12,1028,8170,5851,1293,943,72.9,66,72,Matches,Wolves
Willy Boly,fr FRA,DF,28,22.0,1235,148,653,603,47,19,1218,10,12,83.3,10,0,677,3164,1434,747,717,96.0,4,7,Matches,Wolves
Pedro Neto,pt POR,"FW,MF",19,10.4,538,6,56,264,280,44,511,32,58,55.2,38,2,421,3857,2356,558,385,69.0,22,25,Matches,Wolves
Ryan Bennett,eng ENG,DF,29,6.7,315,50,166,134,27,7,300,0,0,,0,0,144,477,235,162,157,96.9,0,3,Matches,Wolves
Rúben Vinagre,pt POR,DF,20,7.2,470,16,138,216,147,16,399,18,41,43.9,21,2,316,2330,1596,306,260,85.0,10,20,Matches,Wolves
Patrick Cutrone,it ITA,FW,21,3.3,105,1,10,51,49,17,98,5,9,55.6,6,0,70,478,231,173,60,34.7,10,9,Matches,Wolves
Daniel Podence,pt POR,"FW,MF",23,3.2,153,2,15,69,84,16,150,9,13,69.2,10,0,113,910,570,159,117,73.6,3,8,Matches,Wolves
Max Kilman,eng ENG,DF,22,2.1,118,16,65,58,1,0,118,1,1,100.0,1,0,66,302,173,77,74,96.1,0,0,Matches,Wolves
Jesús Vallejo,es ESP,DF,22,1.8,124,20,61,64,6,1,124,1,1,100.0,1,0,85,322,170,90,83,92.2,1,1,Matches,Wolves
Morgan Gibbs-White,eng ENG,"MF,FW",19,1.4,99,1,15,49,43,5,97,1,5,20.0,1,0,77,462,265,99,80,80.8,7,1,Matches,Wolves
Bruno Jordão,pt POR,FW,20,0.1,6,0,0,4,2,0,6,0,0,,0,0,5,39,27,3,3,100.0,0,0,Matches,Wolves
