player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,matches,team
Akin Famewo,eng ENG,MF,20,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,Matches,Norwich City
Jordan Thomas,eng ENG,FW,,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0.0,0,0,Matches,Norwich City
George Baldock,eng ENG,DF,26,38.0,1937,105,417,691,932,64,1641,43,67,64.2,46,0,1156,7492,3888,1250,1055,84.4,33,31,Matches,Sheffield Utd
Enda Stevens,ie IRL,DF,29,37.2,2300,93,522,983,927,82,1980,61,86,70.9,63,6,1445,8133,4616,1477,1351,91.5,39,56,Matches,Sheffield Utd
Chris Basham,eng ENG,DF,31,36.0,1951,249,801,879,368,42,1788,27,32,84.4,27,0,962,5324,2915,989,905,91.5,20,15,Matches,Sheffield Utd
Oliver Norwood,nir NIR,MF,28,34.3,2410,90,529,1388,567,3,2194,15,17,88.2,15,0,1368,4256,1838,1530,1479,96.7,10,14,Matches,Sheffield Utd
Dean Henderson,eng ENG,GK,22,36.0,1125,1007,1117,8,1,1,751,0,0,,0,0,486,3635,2083,372,371,99.7,1,0,Matches,Sheffield Utd
John Egan,ie IRL,DF,26,35.4,1670,248,896,792,65,47,1638,3,3,100.0,3,1,803,4700,2585,861,831,96.5,8,1,Matches,Sheffield Utd
Jack O'Connell,eng ENG,DF,25,32.4,1964,185,833,918,298,51,1880,8,13,61.5,8,0,1130,4536,2120,1182,1121,94.8,13,11,Matches,Sheffield Utd
John Fleck,sco SCO,MF,27,28.0,1406,36,211,621,659,54,1277,43,62,69.4,48,3,892,4839,2790,1004,870,86.7,30,22,Matches,Sheffield Utd
John Lundstram,eng ENG,MF,25,27.3,1488,57,257,704,617,64,1466,17,34,50.0,20,4,972,5340,1931,1274,1059,83.1,36,21,Matches,Sheffield Utd
Oliver McBurnie,sco SCO,FW,23,23.5,933,50,114,403,462,114,917,25,44,56.8,26,1,436,2469,1228,1211,636,52.5,52,41,Matches,Sheffield Utd
David McGoldrick,ie IRL,FW,31,20.2,895,25,95,417,425,66,881,31,47,66.0,34,2,566,3071,1269,1088,657,60.4,57,31,Matches,Sheffield Utd
Sander Berge,no NOR,MF,21,10.5,497,24,89,225,210,21,488,14,17,82.4,15,0,309,1907,926,359,310,86.4,10,16,Matches,Sheffield Utd
Lys Mousset,fr FRA,FW,23,13.8,431,2,22,192,249,80,423,35,54,64.8,38,4,338,2218,1206,739,310,41.9,46,40,Matches,Sheffield Utd
Billy Sharp,eng ENG,FW,33,11.7,334,1,29,122,210,70,328,13,20,65.0,13,1,255,1572,721,523,254,48.6,24,30,Matches,Sheffield Utd
Callum Robinson,ie IRL,FW,24,7.5,230,0,23,97,124,31,221,7,15,46.7,9,0,176,1048,519,366,165,45.1,14,17,Matches,Sheffield Utd
Ben Osborn,eng ENG,"MF,DF",24,6.6,323,18,69,131,145,16,309,3,6,50.0,3,0,178,1018,449,239,199,83.3,8,4,Matches,Sheffield Utd
Jack Robinson,eng ENG,DF,25,5.6,332,32,140,175,35,0,307,2,2,100.0,2,0,186,941,500,184,179,97.3,5,2,Matches,Sheffield Utd
Luke Freeman,eng ENG,MF,27,4.1,204,7,29,77,117,9,197,7,8,87.5,7,0,146,1043,585,157,124,79.0,4,13,Matches,Sheffield Utd
Muhamed Bešić,ba BIH,MF,26,2.8,137,9,36,59,49,3,136,9,10,90.0,9,0,96,489,174,96,84,87.5,2,2,Matches,Sheffield Utd
Phil Jagielka,eng ENG,DF,36,2.7,117,26,76,42,3,1,114,0,0,,0,0,41,200,46,45,43,95.6,1,0,Matches,Sheffield Utd
Simon Moore,eng ENG,GK,29,2.0,51,44,50,1,0,0,28,0,0,,0,0,15,108,59,11,11,100.0,0,0,Matches,Sheffield Utd
Richairo Živković,nl NED,FW,22,1.2,31,0,1,15,18,2,28,1,3,33.3,1,0,23,142,74,56,23,41.1,4,3,Matches,Sheffield Utd
