player,nationality,position,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches,team
Trézéguet,eg EGY,"FW,MF",24,34,"1,950",57,57.0,21.7,20,78,14,27,3,0.91,22,28,-6,-0.28,+0.95,19.2,36.1,-17.0,-0.78,-0.25,Matches,Aston Villa
Tom Heaton,eng ENG,GK,33,20,"1,794",90,52.5,19.9,20,90,0,,0,1.05,26,35,-9,-0.45,+0.49,22.9,39.2,-16.3,-0.82,-0.30,Matches,Aston Villa
Marvelous Nakamba,zw ZIM,MF,25,29,"1,836",63,53.7,20.4,19,83,10,27,5,0.93,24,37,-13,-0.64,+0.10,20.7,39.2,-18.5,-0.91,-0.50,Matches,Aston Villa
Conor Hourihane,ie IRL,MF,28,27,"1,534",57,44.9,17.0,18,75,9,20,10,1.04,20,29,-9,-0.53,+0.28,20.1,26.1,-6.0,-0.35,+0.58,Matches,Aston Villa
Kortney Hause,eng ENG,DF,24,18,"1,545",86,45.2,17.2,17,90,1,15,2,0.72,14,34,-20,-1.17,-0.88,15.8,29.9,-14.0,-0.82,-0.26,Matches,Aston Villa
Björn Engels,be BEL,DF,24,17,"1,447",85,42.3,16.1,15,89,2,57,4,0.65,20,32,-12,-0.75,-0.11,19.9,31.6,-11.7,-0.73,-0.09,Matches,Aston Villa
Pepe Reina,es ESP,GK,36,12,"1,080",90,31.6,12.0,12,90,0,,4,1.00,11,20,-9,-0.75,-0.10,11.5,19.5,-7.9,-0.66,+0.02,Matches,Aston Villa
Neil Taylor,wal WAL,DF,30,14,"1,091",78,31.9,12.1,11,85,3,52,13,0.79,11,25,-14,-1.15,-0.69,10.0,18.5,-8.5,-0.70,-0.04,Matches,Aston Villa
Ahmed Elmohamady,eg EGY,DF,31,18,"1,031",57,30.1,11.5,11,81,7,19,14,0.89,11,28,-17,-1.48,-1.14,11.2,23.8,-12.5,-1.09,-0.60,Matches,Aston Villa
Mbwana Samatta,tz TAN,FW,26,14,943,67,27.6,10.5,11,79,3,24,0,0.71,7,18,-11,-1.05,-0.50,9.9,16.3,-6.4,-0.61,+0.09,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,7,539,77,15.8,6.0,5,90,2,45,20,0.71,4,12,-8,-1.34,-0.77,5.7,7.0,-1.3,-0.22,+0.54,Matches,Aston Villa
Keinan Davis,eng ENG,FW,21,18,548,30,16.0,6.1,4,70,14,19,3,0.83,6,7,-1,-0.16,+0.62,7.2,5.9,+1.3,+0.22,+1.06,Matches,Aston Villa
Jota,es ESP,"FW,MF",28,10,335,34,9.8,3.7,4,61,6,15,11,0.70,1,5,-4,-1.07,-0.43,2.9,5.2,-2.3,-0.63,+0.05,Matches,Aston Villa
Danny Drinkwater,eng ENG,MF,29,4,259,65,7.6,2.9,4,65,0,,3,1.00,2,9,-7,-2.43,-1.89,2.5,6.0,-3.5,-1.23,-0.60,Matches,Aston Villa
Henri Lansbury,eng ENG,MF,28,10,195,20,5.7,2.2,2,69,8,7,19,1.00,2,6,-4,-1.85,-1.23,2.4,4.3,-1.9,-0.88,-0.22,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,1,7,7,0.2,0.1,1,7,0,,12,0.00,0,0,0,0.00,+0.69,0.0,0.1,-0.1,-1.05,-0.38,Matches,Aston Villa
Jonathan Kodjia,ci CIV,"FW,MF",29,6,117,20,3.4,1.3,0,,6,20,6,0.50,1,6,-5,-3.85,-3.27,1.7,3.3,-1.6,-1.24,-0.59,Matches,Aston Villa
Indiana Vassilev,us USA,"FW,MF",18,4,51,13,1.5,0.6,0,,4,13,8,1.00,2,1,+1,+1.76,+2.49,0.5,1.3,-0.8,-1.40,-0.74,Matches,Aston Villa
Borja Bastón,es ESP,"MF,FW",26,2,18,9,0.5,0.2,0,,2,9,3,0.00,0,2,-2,-10.00,-9.37,0.0,1.6,-1.6,-7.79,-7.15,Matches,Aston Villa
James Chester,wal WAL,DF,30,0,,,,,0,,0,,6,,,,,,,,,,,,Matches,Aston Villa
Kaine Hayden,,MF,,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Aston Villa
Lovre Kalinić,hr CRO,GK,29,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37,"3,330",90,97.4,37.0,37,90,0,,0,0.92,40,62,-22,-0.59,+2.41,42.2,54.7,-12.5,-0.34,+1.38,Matches,Bournemouth
Callum Wilson,eng ENG,FW,27,35,"2,908",83,85.0,32.3,32,88,3,32,0,0.89,36,53,-17,-0.53,+0.88,36.7,50.3,-13.6,-0.42,-0.30,Matches,Bournemouth
Jefferson Lerma,co COL,MF,24,33,"2,703",82,79.0,30.0,31,85,2,30,1,1.00,34,48,-14,-0.47,+0.91,32.1,41.9,-9.8,-0.33,+0.24,Matches,Bournemouth
Philip Billing,dk DEN,MF,23,34,"2,530",74,74.0,28.1,29,82,5,30,1,0.97,31,41,-10,-0.36,+1.16,33.0,40.2,-7.1,-0.25,+0.47,Matches,Bournemouth
Nathan Aké,nl NED,DF,24,29,"2,503",86,73.2,27.8,29,86,0,,1,0.93,30,47,-17,-0.61,+0.17,31.8,40.7,-8.9,-0.32,+0.21,Matches,Bournemouth
Steve Cook,eng ENG,DF,28,29,"2,428",84,71.0,27.0,28,85,1,51,3,0.83,30,47,-17,-0.63,+0.10,32.5,42.4,-9.9,-0.37,+0.03,Matches,Bournemouth
Diego Rico,es ESP,DF,26,27,"2,332",86,68.2,25.9,27,86,0,,10,1.07,31,38,-7,-0.27,+1.22,29.4,36.4,-7.0,-0.27,+0.33,Matches,Bournemouth
Adam Smith,eng ENG,DF,28,24,"2,055",86,60.1,22.8,24,86,0,,0,0.83,23,40,-17,-0.74,-0.22,26.5,33.8,-7.3,-0.32,+0.14,Matches,Bournemouth
Joshua King,no NOR,"FW,MF",27,26,"2,011",77,58.8,22.3,24,82,2,24,0,0.96,23,37,-14,-0.63,+0.08,25.4,31.7,-6.3,-0.28,+0.23,Matches,Bournemouth
Ryan Fraser,sco SCO,"MF,FW",25,28,"2,067",74,60.4,23.0,21,88,7,30,0,0.93,22,35,-13,-0.57,+0.23,25.6,36.2,-10.6,-0.46,-0.22,Matches,Bournemouth
Harry Wilson,wal WAL,"MF,FW",22,31,"1,646",53,48.1,18.3,20,67,11,28,3,0.84,21,32,-11,-0.60,+0.11,22.1,27.8,-5.7,-0.31,+0.13,Matches,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",21,32,"1,651",52,48.3,18.3,17,81,15,18,6,0.78,22,39,-17,-0.93,-0.52,20.7,28.0,-7.4,-0.40,-0.05,Matches,Bournemouth
Jack Stacey,eng ENG,DF,23,19,"1,549",82,45.3,17.2,17,89,2,21,9,0.84,20,27,-7,-0.41,+0.46,19.6,24.5,-4.9,-0.28,+0.17,Matches,Bournemouth
Lewis Cook,eng ENG,MF,22,27,"1,352",50,39.5,15.0,14,81,13,17,7,0.81,18,30,-12,-0.80,-0.23,17.1,23.1,-6.0,-0.40,-0.04,Matches,Bournemouth
Dan Gosling,eng ENG,MF,29,24,"1,264",53,37.0,14.0,14,78,10,17,3,0.75,10,23,-13,-0.93,-0.42,13.3,21.8,-8.5,-0.61,-0.37,Matches,Bournemouth
Simon Francis,eng ENG,DF,34,15,969,65,28.3,10.8,10,85,5,25,4,0.67,7,21,-14,-1.30,-0.90,11.0,18.3,-7.3,-0.68,-0.42,Matches,Bournemouth
Chris Mepham,wal WAL,DF,21,12,912,76,26.7,10.1,10,90,2,6,11,0.67,6,19,-13,-1.28,-0.85,7.3,14.0,-6.6,-0.65,-0.38,Matches,Bournemouth
David Brooks,wal WAL,MF,22,9,506,56,14.8,5.6,8,61,1,22,0,0.78,6,12,-6,-1.07,-0.48,5.3,6.7,-1.4,-0.25,+0.14,Matches,Bournemouth
Junior Stanislas,eng ENG,"MF,DF",29,15,712,47,20.8,7.9,7,69,8,28,4,0.53,9,16,-7,-0.88,-0.29,9.5,10.0,-0.5,-0.06,+0.40,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,20,8,639,80,18.7,7.1,7,90,1,9,6,0.88,11,15,-4,-0.56,+0.12,9.9,11.1,-1.2,-0.17,+0.25,Matches,Bournemouth
Arnaut Groeneveld,nl NED,MF,22,14,630,45,18.4,7.0,6,68,8,28,5,0.43,4,12,-8,-1.14,-0.59,6.4,10.7,-4.3,-0.61,-0.29,Matches,Bournemouth
Andrew Surman,eng ENG,MF,32,5,235,47,6.9,2.6,2,89,3,19,24,1.20,2,6,-4,-1.53,-0.94,4.0,5.9,-1.9,-0.71,-0.36,Matches,Bournemouth
Charlie Daniels,eng ENG,DF,32,2,126,63,3.7,1.4,2,63,0,,1,1.50,2,2,0,0.00,+0.68,1.4,2.7,-1.3,-0.93,-0.57,Matches,Bournemouth
Jack Simpson,eng ENG,DF,22,4,241,60,7.0,2.7,1,90,3,50,17,0.25,1,5,-4,-1.49,-0.90,1.6,5.2,-3.6,-1.35,-1.05,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1,90,90,2.6,1.0,1,90,0,,1,0.00,0,3,-3,-3.00,-2.41,0.3,2.0,-1.7,-1.72,-1.38,Matches,Bournemouth
Jordon Ibe,eng ENG,DF,23,2,50,25,1.5,0.6,0,,2,25,6,0.00,0,1,-1,-1.80,-1.16,0.5,0.9,-0.4,-0.73,-0.36,Matches,Bournemouth
Sam Surridge,eng ENG,FW,21,4,27,7,0.8,0.3,0,,4,7,8,0.75,0,2,-2,-6.67,-6.06,1.0,1.4,-0.4,-1.29,-0.92,Matches,Bournemouth
Artur Boruc,pl POL,GK,39,0,,,,,0,,0,,38,,,,,,,,,,,,Matches,Bournemouth
Mihai Dobre,ro ROU,MF,20,0,,,,,0,,0,,2,,,,,,,,,,,,Matches,Bournemouth
Gavin Kilkenny,ie IRL,MF,19,0,,,,,0,,0,,4,,,,,,,,,,,,Matches,Bournemouth
Christian Saydee,lr LBR,MF,17,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38,"3,420",90,100.0,38.0,38,90,0,,0,1.08,39,54,-15,-0.39,,40.8,55.1,-14.3,-0.38,,Matches,Brighton
Lewis Dunk,eng ENG,DF,27,36,"3,230",90,94.4,35.9,36,90,0,,0,1.14,38,50,-12,-0.33,+1.09,39.4,50.1,-10.6,-0.30,+1.44,Matches,Brighton
Dan Burn,eng ENG,DF,27,34,"2,880",85,84.2,32.0,33,87,1,13,0,1.15,32,42,-10,-0.31,+0.52,34.0,44.4,-10.3,-0.32,+0.34,Matches,Brighton
Davy Pröpper,nl NED,MF,27,35,"2,829",81,82.7,31.4,32,86,3,23,1,1.09,33,46,-13,-0.41,-0.11,34.1,45.1,-11.0,-0.35,+0.16,Matches,Brighton
Adam Webster,eng ENG,DF,24,31,"2,668",86,78.0,29.6,31,86,0,,5,1.06,29,44,-15,-0.51,-0.51,32.4,47.1,-14.7,-0.50,-0.55,Matches,Brighton
Neal Maupay,fr FRA,FW,22,37,"2,766",75,80.9,30.7,30,86,7,29,1,1.08,33,36,-3,-0.10,+1.55,35.2,42.9,-7.8,-0.25,+0.65,Matches,Brighton
Dale Stephens,eng ENG,MF,30,33,"2,530",77,74.0,28.1,28,88,5,11,2,1.12,31,42,-11,-0.39,+0.01,30.3,39.3,-9.0,-0.32,+0.22,Matches,Brighton
Aaron Mooy,au AUS,"MF,FW",28,31,"2,085",67,61.0,23.2,25,80,6,16,5,1.03,19,31,-12,-0.52,-0.32,23.1,37.3,-14.2,-0.61,-0.61,Matches,Brighton
Martín Montoya,es ESP,DF,28,27,"1,896",70,55.4,21.1,23,79,4,20,7,1.07,19,32,-13,-0.62,-0.50,22.9,32.4,-9.5,-0.45,-0.16,Matches,Brighton
Leandro Trossard,be BEL,"FW,MF",24,31,"2,011",65,58.8,22.3,22,81,9,26,3,0.97,22,34,-12,-0.54,-0.35,25.2,32.3,-7.1,-0.32,+0.14,Matches,Brighton
Pascal Groß,de GER,"FW,MF",28,29,"1,796",62,52.5,20.0,22,76,7,19,9,1.07,22,32,-10,-0.50,-0.22,22.4,31.2,-8.8,-0.44,-0.14,Matches,Brighton
Yves Bissouma,ml MLI,MF,22,22,"1,259",57,36.8,14.0,15,76,7,17,7,1.05,8,18,-10,-0.71,-0.51,12.9,22.3,-9.4,-0.67,-0.47,Matches,Brighton
Aaron Connolly,ie IRL,FW,19,24,"1,258",52,36.8,14.0,14,72,10,26,4,1.13,18,22,-4,-0.29,+0.17,15.2,20.3,-5.1,-0.37,+0.02,Matches,Brighton
Shane Duffy,ie IRL,DF,27,19,"1,238",65,36.2,13.8,12,90,7,23,13,1.16,13,18,-5,-0.36,+0.05,13.5,18.3,-4.8,-0.35,+0.04,Matches,Brighton
Steven Alzate,co COL,"MF,DF",20,19,"1,188",63,34.7,13.2,12,90,7,16,3,1.11,19,18,+1,+0.08,+0.72,15.9,18.8,-2.8,-0.21,+0.25,Matches,Brighton
Solly March,eng ENG,"DF,FW",25,19,"1,143",60,33.4,12.7,11,81,8,32,6,0.89,15,15,0,0.00,+0.59,13.1,18.1,-5.0,-0.40,-0.03,Matches,Brighton
Glenn Murray,eng ENG,FW,35,23,797,35,23.3,8.9,7,75,16,17,14,1.09,11,10,+1,+0.11,+0.66,10.6,10.8,-0.2,-0.02,+0.46,Matches,Brighton
Bernardo,br BRA,DF,24,14,679,49,19.9,7.5,7,80,7,17,9,1.00,6,17,-11,-1.46,-1.33,6.8,13.2,-6.4,-0.85,-0.59,Matches,Brighton
Tariq Lamptey,eng ENG,DF,18,8,588,74,17.2,6.5,7,79,1,32,1,1.13,5,8,-3,-0.46,-0.08,6.3,7.4,-1.1,-0.17,+0.25,Matches,Brighton
Ezequiel Schelotto,it ITA,DF,30,8,361,45,10.6,4.0,4,75,4,16,8,1.33,6,8,-2,-0.50,-0.12,4.6,4.3,+0.3,+0.07,+0.50,Matches,Brighton
Alexis Mac Allister,ar ARG,"MF,FW",20,9,352,39,10.3,3.9,4,70,5,14,1,1.44,4,6,-2,-0.51,-0.13,4.7,5.0,-0.3,-0.07,+0.34,Matches,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,10,311,31,9.1,3.5,3,68,7,15,9,1.00,4,4,0,0.00,+0.43,3.3,4.1,-0.8,-0.23,+0.16,Matches,Brighton
Jürgen Locadia,nl NED,"MF,FW",25,2,86,43,2.5,1.0,1,63,1,23,1,1.50,1,1,0,0.00,+0.40,0.3,1.6,-1.3,-1.34,-0.99,Matches,Brighton
Florin Andone,ro ROU,"MF,FW",26,3,73,24,2.1,0.8,1,29,2,22,0,1.33,2,0,+2,+2.47,+2.92,1.5,2.2,-0.7,-0.88,-0.51,Matches,Brighton
Gaëtan Bong,cm CMR,"MF,DF",31,4,59,15,1.7,0.7,0,,4,15,0,1.25,0,3,-3,-4.58,-4.25,0.5,2.0,-1.4,-2.16,-1.82,Matches,Brighton
Leon Balogun,ng NGA,DF,31,0,,,,,0,,0,,4,,,,,,,,,,,,Matches,Brighton
Tudor Băluță,ro ROU,"DF,MF",20,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,Brighton
David Button,eng ENG,GK,30,0,,,,,0,,0,,38,,,,,,,,,,,,Matches,Brighton
Alexander Cochrane,eng ENG,DF,,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Brighton
Nick Pope,eng ENG,GK,27,38,"3,420",90,100.0,38.0,38,90,0,,0,1.42,43,50,-7,-0.18,,43.8,47.8,-4.0,-0.10,,Matches,Burnley
James Tarkowski,eng ENG,DF,26,38,"3,420",90,100.0,38.0,38,90,0,,0,1.42,43,50,-7,-0.18,,43.8,47.8,-4.0,-0.10,,Matches,Burnley
Dwight McNeil,eng ENG,MF,19,38,"3,338",88,97.6,37.1,38,88,0,,0,1.42,41,48,-7,-0.19,-0.19,43.0,45.5,-2.5,-0.07,+1.54,Matches,Burnley
Ashley Westwood,eng ENG,MF,29,35,"3,150",90,92.1,35.0,35,90,0,,0,1.54,42,39,+3,+0.09,+3.42,41.3,43.0,-1.7,-0.05,+0.70,Matches,Burnley
Ben Mee,eng ENG,DF,29,32,"2,880",90,84.2,32.0,32,90,0,,0,1.41,36,45,-9,-0.28,-0.61,35.2,40.2,-4.9,-0.15,-0.32,Matches,Burnley
Jack Cork,eng ENG,MF,30,30,"2,613",87,76.4,29.0,30,87,0,,0,1.40,31,41,-10,-0.34,-0.68,31.9,35.6,-3.7,-0.13,-0.09,Matches,Burnley
Chris Wood,nz NZL,FW,27,32,"2,437",76,71.3,27.1,29,81,3,29,0,1.41,27,33,-6,-0.22,-0.13,30.8,33.9,-3.1,-0.11,-0.03,Matches,Burnley
Charlie Taylor,eng ENG,DF,25,24,"1,945",81,56.9,21.6,22,85,2,41,6,1.63,24,18,+6,+0.28,+1.07,23.7,29.7,-5.9,-0.27,-0.39,Matches,Burnley
Jeff Hendrick,ie IRL,MF,27,24,"1,931",80,56.5,21.5,22,86,2,19,4,1.50,25,30,-5,-0.23,-0.11,26.5,27.4,-0.8,-0.04,+0.15,Matches,Burnley
Phil Bardsley,sco SCO,DF,34,21,"1,890",90,55.3,21.0,21,90,0,,10,1.67,26,19,+7,+0.33,+1.16,26.8,24.7,+2.1,+0.10,+0.46,Matches,Burnley
Erik Pieters,nl NED,"DF,MF",30,24,"1,878",78,54.9,20.9,21,85,3,32,12,1.25,22,35,-13,-0.62,-0.97,23.6,25.6,-2.0,-0.10,+0.02,Matches,Burnley
Jay Rodriguez,eng ENG,FW,30,36,"2,016",56,58.9,22.4,20,83,16,22,0,1.42,28,34,-6,-0.27,-0.20,29.2,31.4,-2.1,-0.10,+0.02,Matches,Burnley
Matthew Lowton,eng ENG,DF,30,17,"1,530",90,44.7,17.0,17,90,0,,9,1.12,17,31,-14,-0.82,-1.16,17.0,23.1,-6.1,-0.36,-0.46,Matches,Burnley
Ashley Barnes,at AUT,FW,29,19,"1,352",71,39.5,15.0,17,77,2,25,0,1.26,19,21,-2,-0.13,+0.08,16.3,13.2,+3.1,+0.21,+0.52,Matches,Burnley
Josh Brownhill,eng ENG,MF,23,10,805,81,23.5,8.9,9,89,1,1,3,1.80,8,10,-2,-0.22,-0.05,8.8,12.8,-4.0,-0.44,-0.44,Matches,Burnley
Matěj Vydra,cz CZE,FW,27,19,819,43,23.9,9.1,7,76,12,24,9,1.26,13,7,+6,+0.66,+1.11,10.7,11.3,-0.6,-0.07,+0.05,Matches,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,28,12,621,52,18.2,6.9,6,74,6,30,3,1.08,11,7,+4,+0.58,+0.93,10.5,6.4,+4.2,+0.60,+0.87,Matches,Burnley
Kevin Long,ie IRL,DF,28,8,564,71,16.5,6.3,6,90,2,12,21,1.50,7,5,+2,+0.32,+0.60,8.6,8.2,+0.5,+0.07,+0.21,Matches,Burnley
Robbie Brady,ie IRL,MF,27,17,454,27,13.3,5.0,5,64,12,11,13,1.00,7,10,-3,-0.59,-0.47,6.7,7.9,-1.2,-0.24,-0.16,Matches,Burnley
Aaron Lennon,eng ENG,MF,32,16,496,31,14.5,5.5,4,82,12,14,10,1.31,3,15,-12,-2.18,-2.33,3.4,9.0,-5.6,-1.02,-1.07,Matches,Burnley
Danny Drinkwater,eng ENG,MF,29,1,58,58,1.7,0.6,1,58,0,,8,0.00,0,2,-2,-3.10,-2.97,0.1,1.5,-1.4,-2.18,-2.11,Matches,Burnley
Max Thompson,eng ENG,FW,17,1,3,3,0.1,0.0,0,,1,3,8,0.00,0,0,0,0.00,+0.18,0.0,0.0,0.0,0.00,+0.10,Matches,Burnley
Josh Benson,eng ENG,MF,19,0,,,,,0,,0,,6,,,,,,,,,,,,Matches,Burnley
Anthony Driscoll-Glennon,eng ENG,DF,19,0,,,,,0,,0,,6,,,,,,,,,,,,Matches,Burnley
Jimmy Dunne,ie IRL,DF,21,0,,,,,0,,0,,9,,,,,,,,,,,,Matches,Burnley
Ben Gibson,eng ENG,DF,26,0,,,,,0,,0,,11,,,,,,,,,,,,Matches,Burnley
Mace Goodridge,eng ENG,MF,19,0,,,,,0,,0,,10,,,,,,,,,,,,Matches,Burnley
Joe Hart,eng ENG,GK,32,0,,,,,0,,0,,29,,,,,,,,,,,,Matches,Burnley
Lukas Jensen,dk DEN,GK,,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,Burnley
Ali Koiki,eng ENG,DF,18,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Burnley
Joel Mumbongo,se SWE,FW,20,0,,,,,0,,0,,2,,,,,,,,,,,,Matches,Burnley
Bailey Peacock-Farrell,nir NIR,GK,22,0,,,,,0,,0,,9,,,,,,,,,,,,Matches,Burnley
Bobby Thomas,,DF,,0,,,,,0,,0,,4,,,,,,,,,,,,Matches,Burnley
César Azpilicueta,es ESP,DF,29,36,"3,229",90,94.4,35.9,36,90,0,,2,1.75,67,53,+14,+0.39,-0.08,61.9,36.0,+25.9,+0.72,-0.95,Matches,Chelsea
Kepa Arrizabalaga,es ESP,GK,24,33,"2,970",90,86.8,33.0,33,90,0,,5,1.76,61,47,+14,+0.42,+0.22,60.2,32.6,+27.6,+0.84,+0.48,Matches,Chelsea
Mason Mount,eng ENG,"MF,FW",20,37,"2,867",77,83.8,31.9,32,83,5,40,1,1.70,60,44,+16,+0.50,+0.67,54.5,30.8,+23.6,+0.74,-0.19,Matches,Chelsea
Willian,br BRA,FW,30,36,"2,600",72,76.0,28.9,29,85,7,21,0,1.75,52,35,+17,+0.59,+0.81,52.8,26.7,+26.1,+0.90,+0.54,Matches,Chelsea
Jorginho,it ITA,MF,27,31,"2,379",77,69.6,26.4,27,85,4,23,4,1.65,45,40,+5,+0.19,-0.68,46.0,25.7,+20.3,+0.77,-0.02,Matches,Chelsea
Kurt Zouma,fr FRA,DF,24,28,"2,344",84,68.5,26.0,25,88,3,46,7,1.71,47,37,+10,+0.38,-0.03,44.3,25.8,+18.6,+0.71,-0.19,Matches,Chelsea
Tammy Abraham,eng ENG,FW,21,34,"2,215",65,64.8,24.6,25,81,9,20,0,1.82,45,34,+11,+0.45,+0.15,44.1,26.3,+17.8,+0.72,-0.14,Matches,Chelsea
Mateo Kovačić,hr CRO,MF,25,31,"2,073",67,60.6,23.0,23,82,8,23,3,1.74,40,37,+3,+0.13,-0.67,38.8,25.6,+13.2,+0.57,-0.51,Matches,Chelsea
Andreas Christensen,dk DEN,DF,23,21,"1,751",83,51.2,19.5,21,83,0,,14,1.62,37,33,+4,+0.21,-0.39,35.1,21.4,+13.6,+0.70,-0.15,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,28,22,"1,732",79,50.6,19.2,20,84,2,23,0,1.27,28,25,+3,+0.16,-0.48,30.5,17.2,+13.3,+0.69,-0.16,Matches,Chelsea
Christian Pulisic,us USA,FW,20,25,"1,722",69,50.4,19.1,19,82,6,27,4,1.68,38,28,+10,+0.52,+0.26,34.4,19.3,+15.1,+0.79,+0.03,Matches,Chelsea
Antonio Rüdiger,de GER,DF,26,20,"1,710",86,50.0,19.0,19,88,1,45,3,1.65,33,24,+9,+0.47,+0.16,32.3,15.6,+16.7,+0.88,+0.22,Matches,Chelsea
Reece James,eng ENG,DF,19,24,"1,515",63,44.3,16.8,16,87,8,15,5,1.88,26,23,+3,+0.18,-0.39,28.1,14.8,+13.3,+0.79,+0.03,Matches,Chelsea
Marcos Alonso,es ESP,DF,28,18,"1,430",79,41.8,15.9,15,87,3,41,9,2.22,39,18,+21,+1.32,+1.59,30.3,16.0,+14.3,+0.90,+0.22,Matches,Chelsea
Fikayo Tomori,eng ENG,DF,21,15,"1,291",86,37.7,14.3,15,86,0,,12,1.93,27,18,+9,+0.63,+0.37,24.1,14.5,+9.6,+0.67,-0.17,Matches,Chelsea
Ross Barkley,eng ENG,MF,25,21,"1,103",53,32.3,12.3,13,72,8,21,7,2.05,27,14,+13,+1.06,+0.98,25.9,10.2,+15.7,+1.28,+0.75,Matches,Chelsea
Emerson Palmieri,it ITA,DF,24,15,"1,024",68,29.9,11.4,13,77,2,10,7,1.00,13,21,-8,-0.70,-1.57,19.4,11.6,+7.8,+0.69,-0.12,Matches,Chelsea
Olivier Giroud,fr FRA,FW,32,18,993,55,29.0,11.0,12,71,6,23,7,1.78,20,16,+4,+0.36,-0.05,18.5,10.2,+8.3,+0.75,-0.03,Matches,Chelsea
Pedro,es ESP,FW,32,11,661,60,19.3,7.3,8,81,3,5,13,1.36,10,12,-2,-0.27,-0.83,12.6,8.2,+4.4,+0.60,-0.22,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,FW,18,22,863,39,25.2,9.6,7,85,15,18,3,1.77,17,14,+3,+0.31,-0.11,18.0,8.6,+9.5,+0.99,+0.29,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5,450,90,13.2,5.0,5,90,0,,33,1.60,8,7,+1,+0.20,-0.22,6.5,4.7,+1.8,+0.36,-0.48,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,7,208,30,6.1,2.3,2,60,5,18,4,2.14,4,3,+1,+0.43,+0.04,4.1,3.6,+0.5,+0.22,-0.59,Matches,Chelsea
Billy Gilmour,sco SCO,MF,18,6,194,32,5.7,2.2,2,85,4,6,5,2.67,8,3,+5,+2.32,+2.04,4.3,1.9,+2.4,+1.11,+0.36,Matches,Chelsea
Michy Batshuayi,be BEL,FW,25,16,239,15,7.0,2.7,1,67,15,11,12,1.50,5,8,-3,-1.13,-1.64,5.2,2.7,+2.5,+0.95,+0.19,Matches,Chelsea
Tariq Lamptey,eng ENG,DF,18,1,32,32,0.9,0.4,0,,1,32,1,3.00,2,0,+2,+5.63,+5.28,1.4,0.2,+1.2,+3.40,+2.65,Matches,Chelsea
Faustino Anjorin,eng ENG,FW,17,1,20,20,0.6,0.2,0,,1,20,0,3.00,0,0,0,0.00,-0.40,0.1,0.1,0.0,+0.14,-0.63,Matches,Chelsea
Armando Broja,al ALB,FW,17,1,5,5,0.1,0.1,0,,1,5,0,3.00,0,0,0,0.00,-0.40,0.0,0.0,0.0,+0.47,-0.30,Matches,Chelsea
Lewis Bate,eng ENG,MF,16,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Chelsea
Marc Guéhi,eng ENG,DF,19,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,Chelsea
Kenedy,br BRA,"FW,MF",23,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,Chelsea
