player,nationality,position,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches,team
Ben Johnson,eng ENG,DF,19,3,270,90,7.9,3.0,3,90,0,,6,1.67,5,3,+2,+0.67,+1.10,3.1,3.3,-0.2,-0.07,+0.38,Matches,West Ham
Jack Wilshere,eng ENG,MF,27,8,215,27,6.3,2.4,2,50,6,19,8,1.38,2,5,-3,-1.26,-0.98,1.7,4.1,-2.4,-1.01,-0.63,Matches,West Ham
Darren Randolph,ie IRL,GK,32,2,180,90,5.3,2.0,2,90,0,,15,0.50,2,5,-3,-1.50,-1.22,2.8,4.0,-1.2,-0.58,-0.18,Matches,West Ham
Carlos Sánchez,co COL,"MF,DF",33,6,117,20,3.4,1.3,1,61,5,11,12,1.67,3,2,+1,+0.77,+1.15,1.6,2.6,-1.0,-0.79,-0.39,Matches,West Ham
Javier Hernández,mx MEX,FW,31,2,107,54,3.1,1.2,1,82,1,25,0,0.50,1,4,-3,-2.52,-2.25,0.9,3.2,-2.3,-1.93,-1.56,Matches,West Ham
Albian Ajeti,ch SUI,"MF,FW",22,9,139,15,4.1,1.5,0,,9,15,19,0.22,2,3,-1,-0.65,-0.32,2.8,1.5,+1.2,+0.80,+1.27,Matches,West Ham
Nathan Holland,eng ENG,MF,21,2,33,17,1.0,0.4,0,,2,17,0,0.00,0,1,-1,-2.73,-2.41,0.2,0.8,-0.6,-1.53,-1.12,Matches,West Ham
Joseph Anang,gh GHA,GK,19,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,West Ham
Gonçalo Cardoso,pt POR,DF,18,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,West Ham
Conor Coventry,ie IRL,MF,19,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,West Ham
Bernardo Costa Da Rosa,br BRA,MF,18,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,West Ham
Alfie Lewis,eng ENG,MF,19,0,,,,,0,,0,,1,,,,,,,,,,,,Matches,West Ham
Winston Reid,nz NZL,DF,31,0,,,,,0,,0,,3,,,,,,,,,,,,Matches,West Ham
Xande Silva,pt POR,FW,22,0,,,,,0,,0,,5,,,,,,,,,,,,Matches,West Ham
Conor Coady,eng ENG,DF,26,38,"3,420",90,100.0,38.0,38,90,0,,0,1.55,51,40,+11,+0.29,,47.0,34.4,+12.5,+0.33,,Matches,Wolves
Rui Patrício,pt POR,GK,31,38,"3,420",90,100.0,38.0,38,90,0,,0,1.55,51,40,+11,+0.29,,47.0,34.4,+12.5,+0.33,,Matches,Wolves
Raúl Jiménez,mx MEX,FW,28,38,"3,236",85,94.6,36.0,37,87,1,19,0,1.55,48,36,+12,+0.33,+0.82,43.8,29.6,+14.2,+0.39,+1.22,Matches,Wolves
Rúben Neves,pt POR,MF,22,38,"3,056",80,89.4,34.0,35,85,3,25,0,1.55,48,35,+13,+0.38,+0.88,42.2,30.4,+11.9,+0.35,+0.19,Matches,Wolves
