player,nationality,position,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches,team
Billy Gilmour,sco SCO,MF,18,2.2,169,168,1,1,0,37,7,1,0,0,0,0,119,30,20,10,144,12,0,0,151,0,1,2,1,Matches,Chelsea
Michy Batshuayi,be BEL,FW,25,2.7,76,70,6,0,0,16,2,0,0,0,0,0,53,14,9,23,48,0,0,1,61,0,0,3,3,Matches,Chelsea
Tariq Lamptey,eng ENG,DF,18,0.4,14,9,5,0,1,0,0,2,0,0,0,0,5,4,5,4,5,0,5,0,12,0,0,0,2,Matches,Chelsea
Faustino Anjorin,eng ENG,FW,17,0.2,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,0,Matches,Chelsea
Armando Broja,al ALB,FW,17,0.1,2,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,Matches,Chelsea
Wilfried Zaha,ci CIV,"MF,FW",26,36.4,1188,1158,30,1,2,313,30,67,0,0,0,0,939,152,97,152,985,12,25,3,935,2,12,34,72,Matches,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",27,35.0,838,801,37,2,2,247,10,25,1,0,0,0,588,154,96,50,684,31,12,16,686,3,9,18,32,Matches,Crystal Palace
James McArthur,sco SCO,MF,31,34.3,1474,1404,70,5,4,371,22,42,1,0,0,0,994,219,261,351,992,61,30,11,1153,3,34,23,60,Matches,Crystal Palace
Vicente Guaita,es ESP,GK,32,35.0,1053,698,355,81,0,114,28,0,0,0,0,0,306,68,679,78,732,1,1,164,591,6,49,0,0,Matches,Crystal Palace
Cheikhou Kouyaté,sn SEN,"MF,DF",29,28.1,860,844,16,10,0,204,6,15,0,0,0,0,553,151,156,72,639,73,5,14,653,1,19,15,31,Matches,Crystal Palace
Patrick van Aanholt,nl NED,DF,28,27.9,1558,1175,383,62,0,222,35,88,45,23,15,3,930,322,306,997,256,21,275,3,1227,8,14,36,47,Matches,Crystal Palace
Luka Milivojević,rs SRB,MF,28,27.9,1506,1257,249,137,1,241,107,146,99,61,25,6,895,208,403,204,1201,62,6,12,1161,2,41,21,21,Matches,Crystal Palace
Joel Ward,eng ENG,DF,29,26.5,1260,979,281,14,0,217,19,37,0,0,0,0,608,328,324,92,793,72,267,10,932,5,37,29,53,Matches,Crystal Palace
Gary Cahill,eng ENG,DF,33,24.1,953,914,39,36,0,157,26,0,0,0,0,0,659,115,179,93,747,63,3,7,826,0,20,3,9,Matches,Crystal Palace
James Tomkins,eng ENG,DF,30,17.6,626,597,29,26,0,106,24,1,0,0,0,0,377,96,153,81,474,34,3,0,505,2,14,6,5,Matches,Crystal Palace
Martin Kelly,eng ENG,DF,29,17.2,669,541,128,13,0,124,9,20,0,0,0,0,337,143,189,65,448,27,115,1,493,3,16,20,19,Matches,Crystal Palace
James McCarthy,ie IRL,MF,28,18.7,818,746,72,41,0,138,50,35,22,14,6,2,466,133,219,218,528,45,6,10,630,3,27,11,22,Matches,Crystal Palace
Andros Townsend,eng ENG,MF,28,14.4,460,431,29,8,2,119,21,66,9,7,0,0,286,63,111,333,113,1,9,1,325,2,12,7,23,Matches,Crystal Palace
Scott Dann,eng ENG,DF,32,14.1,555,526,29,28,0,70,14,2,0,0,0,0,352,87,116,65,416,51,1,3,461,0,5,7,9,Matches,Crystal Palace
Christian Benteke,be BEL,FW,28,14.0,326,313,13,0,2,145,5,5,0,0,0,0,143,85,98,21,165,37,0,9,190,0,5,11,14,Matches,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,DF",26,11.5,342,320,22,3,1,80,8,9,0,0,0,0,218,58,66,229,58,15,19,3,256,3,5,11,10,Matches,Crystal Palace
Mamadou Sakho,fr FRA,DF,29,10.3,516,498,18,17,0,70,10,0,0,0,0,0,390,49,77,384,94,21,1,4,451,1,3,3,5,Matches,Crystal Palace
Jaïro Riedewald,nl NED,"DF,MF",22,8.5,400,324,76,11,0,58,6,6,0,0,0,0,226,72,102,281,27,23,65,0,301,1,7,11,3,Matches,Crystal Palace
Max Meyer,de GER,"MF,FW",23,7.3,213,211,2,1,1,52,0,9,0,0,0,0,160,31,22,68,132,11,1,0,160,1,1,7,14,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,32,3.0,103,51,52,13,0,4,2,0,0,0,0,0,13,1,89,9,83,0,0,6,44,1,4,0,0,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,DF,19,2.2,119,91,28,0,0,14,1,4,0,0,0,0,69,22,28,84,5,2,28,0,96,0,1,2,6,Matches,Crystal Palace
Cenk Tosun,tr TUR,FW,28,2.0,47,47,0,0,1,19,0,2,0,0,0,0,23,11,13,13,27,2,0,1,29,2,2,3,2,Matches,Crystal Palace
Connor Wickham,eng ENG,"FW,MF",26,1.1,44,42,2,0,0,17,2,0,0,0,0,0,13,15,16,5,16,12,1,1,29,0,0,1,3,Matches,Crystal Palace
Brandon Pierrick,eng ENG,MF,17,0.2,,,,,,,,2,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Víctor Camarasa,es ESP,MF,25,0.1,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,25,38.0,1373,956,417,144,1,137,67,0,0,0,0,0,539,77,757,866,236,0,0,179,895,5,59,5,1,Matches,Everton
Richarlison,br BRA,FW,22,34.1,823,800,23,2,4,257,11,56,2,0,1,0,498,200,125,185,542,43,7,7,543,2,28,24,75,Matches,Everton
Lucas Digne,fr FRA,DF,26,33.7,1946,1407,539,64,3,294,72,270,108,53,39,8,809,438,699,1281,104,112,367,7,1353,6,33,35,90,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,22,29.2,594,568,26,3,3,215,7,19,0,0,0,0,271,179,144,60,323,60,1,23,393,3,9,7,25,Matches,Everton
Gylfi Sigurðsson,is ISL,MF,29,28.4,1110,975,135,42,3,160,50,131,71,29,35,5,710,186,214,175,871,38,3,6,868,3,20,14,34,Matches,Everton
Michael Keane,eng ENG,DF,26,28.4,1379,1336,43,39,2,194,37,0,0,0,0,0,980,161,238,215,1003,86,4,5,1167,5,35,10,14,Matches,Everton
Yerry Mina,co COL,DF,24,25.4,1251,1216,35,34,0,212,50,4,0,0,0,0,890,140,221,162,967,79,1,1,1070,3,17,13,10,Matches,Everton
Mason Holgate,eng ENG,DF,22,22.8,991,954,37,25,1,127,44,2,0,0,0,0,712,99,180,149,758,53,11,0,855,1,23,8,11,Matches,Everton
Tom Davies,eng ENG,MF,21,22.5,870,840,30,17,6,161,26,8,0,0,0,0,557,152,161,103,673,59,5,5,681,3,17,12,26,Matches,Everton
Séamus Coleman,ie IRL,DF,30,20.4,1058,835,223,13,1,170,15,42,0,0,0,0,539,238,281,118,671,44,210,1,813,3,18,21,46,Matches,Everton
Alex Iwobi,ng NGA,"MF,FW",23,17.7,614,603,11,3,5,112,26,48,1,0,0,0,414,104,96,66,528,9,3,3,462,3,12,14,34,Matches,Everton
Djibril Sidibé,fr FRA,DF,27,20.3,1165,965,200,18,0,184,35,70,1,0,0,0,667,269,229,140,774,47,181,2,909,4,20,26,45,Matches,Everton
André Gomes,pt POR,MF,26,16.2,859,833,26,16,1,121,65,12,1,0,1,0,561,135,163,226,589,28,2,3,719,2,24,11,18,Matches,Everton
Theo Walcott,eng ENG,"MF,FW",30,14.3,405,394,11,1,3,65,8,41,2,1,1,0,243,92,70,28,341,21,8,2,266,0,11,22,30,Matches,Everton
Bernard,br BRA,"MF,FW",26,14.2,573,559,14,2,4,116,12,36,6,5,0,0,419,77,77,147,409,11,1,4,426,0,14,15,31,Matches,Everton
Fabian Delph,eng ENG,MF,29,13.2,778,763,15,11,2,122,28,8,0,0,0,0,550,113,115,483,250,28,2,3,676,2,13,6,7,Matches,Everton
Morgan Schneiderlin,fr FRA,MF,29,11.1,567,550,17,10,0,97,30,8,0,0,0,0,338,117,112,77,452,22,0,3,494,0,4,6,9,Matches,Everton
Moise Kean,it ITA,FW,19,9.5,142,137,5,1,2,36,2,12,0,0,0,0,82,39,21,22,102,7,1,7,104,0,2,5,11,Matches,Everton
Anthony Gordon,eng ENG,"MF,FW",18,4.9,124,114,10,6,1,16,2,8,0,0,0,0,99,12,13,8,112,3,0,1,96,1,2,1,4,Matches,Everton
Leighton Baines,eng ENG,DF,34,4.5,209,158,51,5,0,18,8,27,11,4,2,5,115,40,54,141,20,9,35,0,168,2,0,2,9,Matches,Everton
Jarrad Branthwaite,eng ENG,DF,17,3.3,212,206,6,4,0,9,5,0,0,0,0,0,173,12,27,148,55,7,0,0,187,0,8,0,0,Matches,Everton
Cenk Tosun,tr TUR,FW,28,3.2,62,61,1,0,0,19,3,2,0,0,0,0,28,21,13,17,34,6,0,3,42,0,2,2,5,Matches,Everton
Jean-Philippe Gbamin,ci CIV,MF,23,1.5,67,64,3,3,0,9,3,0,0,0,0,0,46,7,14,7,55,4,0,0,50,0,6,0,5,Matches,Everton
Oumar Niasse,sn SEN,FW,29,0.2,5,5,0,0,0,2,0,1,0,0,0,0,3,2,0,1,3,0,0,1,3,0,0,1,0,Matches,Everton
Kasper Schmeichel,dk DEN,GK,32,38.0,1178,820,358,116,1,110,65,0,0,0,0,0,614,100,464,55,917,3,0,152,904,6,42,4,3,Matches,Leicester City
Jonny Evans,nir NIR,DF,31,37.6,2372,2285,87,72,2,305,60,8,0,0,0,0,1764,219,389,590,1585,117,15,5,2088,2,44,12,12,Matches,Leicester City
Çağlar Söyüncü,tr TUR,DF,23,33.7,2239,2187,52,44,0,259,53,4,0,0,0,0,1801,194,244,437,1653,84,8,9,2035,8,24,11,19,Matches,Leicester City
Jamie Vardy,eng ENG,FW,32,33.7,462,403,59,0,2,97,9,33,0,0,0,0,275,100,87,82,301,37,5,7,314,0,10,12,28,Matches,Leicester City
Youri Tielemans,be BEL,MF,22,31.4,1804,1703,101,46,9,363,65,82,41,7,20,5,1246,256,302,318,1393,45,12,14,1455,10,21,21,38,Matches,Leicester City
Wilfred Ndidi,ng NGA,MF,22,29.7,1649,1626,23,23,1,306,50,3,0,0,0,0,1175,262,212,180,1341,75,0,4,1416,2,34,26,29,Matches,Leicester City
James Maddison,eng ENG,MF,22,29.2,1674,1422,252,82,16,264,93,220,157,43,76,15,1051,247,376,158,1462,31,7,11,1282,8,30,36,39,Matches,Leicester City
Ricardo Pereira,pt POR,DF,25,28.0,1875,1553,322,17,3,335,20,57,0,0,0,0,1095,399,381,195,1312,41,305,4,1513,3,18,46,67,Matches,Leicester City
Ben Chilwell,eng ENG,DF,22,26.4,1956,1653,303,32,3,324,40,104,7,0,3,0,1165,381,410,1414,183,53,264,4,1528,3,42,32,63,Matches,Leicester City
Ayoze Pérez,es ESP,"MF,FW",26,22.3,773,753,20,5,8,198,9,29,0,0,0,0,537,157,79,70,650,18,6,13,616,2,13,13,41,Matches,Leicester City
Harvey Barnes,eng ENG,"MF,FW",21,23.1,729,725,4,2,3,181,8,42,0,0,0,0,504,123,102,108,569,22,2,9,559,4,10,21,34,Matches,Leicester City
Dennis Praet,be BEL,MF,25,12.6,539,532,7,3,2,106,10,21,0,0,0,0,359,95,85,39,451,39,3,3,446,1,7,6,18,Matches,Leicester City
Kelechi Iheanacho,ng NGA,FW,22,10.7,268,262,6,0,7,84,4,2,0,0,0,0,209,40,19,231,23,9,0,3,217,0,3,6,16,Matches,Leicester City
James Justin,eng ENG,DF,21,11.2,802,688,114,12,1,106,10,38,0,0,0,0,499,169,134,121,530,38,102,2,651,0,16,8,32,Matches,Leicester City
Hamza Choudhury,eng ENG,MF,21,9.9,494,481,13,12,0,65,5,4,0,0,0,0,389,45,60,35,418,34,0,1,428,0,4,8,9,Matches,Leicester City
Marc Albrighton,eng ENG,"MF,DF",29,9.6,508,473,35,0,1,81,25,68,10,2,6,0,292,82,134,51,411,17,25,3,344,0,14,10,30,Matches,Leicester City
Christian Fuchs,at AUT,DF,33,8.6,630,544,86,12,1,87,17,16,0,0,0,0,389,122,119,457,60,25,74,1,510,1,12,11,12,Matches,Leicester City
Wes Morgan,jm JAM,DF,35,4.8,238,234,4,4,0,22,0,0,0,0,0,0,203,16,19,29,192,11,0,2,220,2,2,0,2,Matches,Leicester City
Nampalys Mendy,fr FRA,MF,27,3.2,212,211,1,1,0,29,4,2,0,0,0,0,172,21,19,20,187,4,0,0,194,1,3,2,1,Matches,Leicester City
Demarai Gray,eng ENG,"MF,FW",23,6.9,326,312,14,4,3,70,11,31,6,3,1,1,244,48,34,27,286,2,4,5,271,2,4,3,14,Matches,Leicester City
Ryan Bennett,eng ENG,DF,29,3.7,221,200,21,1,0,31,5,2,0,0,0,0,128,26,67,21,162,11,20,1,174,0,6,2,4,Matches,Leicester City
Luke Thomas,eng ENG,DF,,3.0,190,162,28,2,0,13,3,16,0,0,0,0,119,40,31,138,17,9,26,0,156,0,4,1,5,Matches,Leicester City
George Hirst,eng ENG,FW,20,0.1,8,8,0,0,0,4,0,0,0,0,0,0,4,1,3,0,5,0,0,1,5,0,0,0,0,Matches,Leicester City
Matty James,eng ENG,MF,28,0.1,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,6,0,0,0,0,Matches,Leicester City
Virgil van Dijk,nl NED,DF,28,38.0,3085,3000,85,74,8,322,131,0,0,0,0,0,2330,265,490,345,2476,152,11,6,2791,1,43,13,10,Matches,Liverpool
Trent Alexander-Arnold,eng ENG,DF,20,35.3,3147,2495,652,86,8,413,226,377,162,43,74,8,1472,567,1108,313,2330,83,404,7,2254,11,84,35,111,Matches,Liverpool
Georginio Wijnaldum,nl NED,MF,28,32.6,1628,1600,28,15,4,276,31,5,0,0,0,0,1298,196,134,171,1359,53,13,7,1477,1,9,17,27,Matches,Liverpool
Andrew Robertson,sco SCO,DF,25,34.6,2928,2536,392,49,5,319,85,204,43,7,26,1,1834,521,573,2332,186,93,300,2,2370,4,44,36,82,Matches,Liverpool
Roberto Firmino,br BRA,FW,27,33.2,1171,1141,30,3,8,306,8,8,0,0,0,0,874,205,92,152,927,55,11,13,931,3,7,51,55,Matches,Liverpool
Mohamed Salah,eg EGY,FW,27,32.0,1004,952,52,4,13,240,19,45,28,3,15,3,712,159,133,792,166,18,8,11,746,3,15,27,47,Matches,Liverpool
Sadio Mané,sn SEN,FW,27,30.5,1162,1141,21,8,10,244,26,49,0,0,0,0,766,243,153,235,839,39,10,15,933,3,17,29,50,Matches,Liverpool
Alisson,br BRA,GK,26,28.3,925,701,224,54,1,131,28,0,0,0,0,0,590,85,250,65,688,2,0,132,794,2,19,3,0,Matches,Liverpool
Jordan Henderson,eng ENG,MF,29,24.9,1879,1834,45,16,14,275,73,58,1,0,0,0,1224,270,385,209,1565,68,13,4,1582,4,20,15,40,Matches,Liverpool
Fabinho,br BRA,MF,25,23.1,1528,1505,23,16,5,242,38,9,0,0,0,0,1051,211,266,105,1318,68,4,2,1334,2,18,9,15,Matches,Liverpool
Joe Gomez,eng ENG,DF,22,22.3,1960,1910,50,35,1,211,63,9,0,0,0,0,1469,187,304,128,1669,89,15,1,1743,2,22,5,11,Matches,Liverpool
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25,16.5,748,733,15,1,4,136,32,45,0,0,0,0,464,124,160,87,609,27,6,7,592,3,22,17,23,Matches,Liverpool
James Milner,eng ENG,"MF,DF",33,10.4,773,707,66,12,4,114,35,20,8,3,2,1,522,135,116,78,633,15,34,3,664,3,13,10,15,Matches,Liverpool
Adrián,es ESP,GK,32,9.7,314,219,95,27,0,40,12,0,0,0,0,0,150,24,140,31,217,1,0,49,227,0,9,0,1,Matches,Liverpool
Naby Keïta,gn GUI,MF,24,9.1,684,676,8,2,5,114,9,7,2,0,0,0,514,112,58,86,567,18,3,2,608,1,8,10,15,Matches,Liverpool
Dejan Lovren,hr CRO,DF,30,8.6,603,587,16,15,1,64,16,1,0,0,0,0,411,80,112,114,433,41,1,1,530,0,12,3,5,Matches,Liverpool
Joël Matip,cm CMR,DF,27,7.8,514,498,16,12,0,74,13,1,0,0,0,0,384,62,68,56,417,23,4,1,448,0,14,7,3,Matches,Liverpool
Divock Origi,be BEL,FW,24,8.0,219,217,2,0,0,66,13,18,0,0,0,0,139,37,43,29,165,10,1,3,158,1,6,4,8,Matches,Liverpool
Adam Lallana,eng ENG,"MF,FW",31,4.2,270,268,2,1,0,48,4,3,0,0,0,0,204,38,28,77,170,13,1,3,229,2,0,4,9,Matches,Liverpool
Neco Williams,wal WAL,DF,18,2.6,205,166,39,4,1,18,10,14,3,1,2,0,115,32,58,8,155,9,32,0,165,0,6,2,9,Matches,Liverpool
Takumi Minamino,jp JPN,"FW,MF",24,2.8,111,110,1,1,0,26,2,3,0,0,0,0,89,9,13,20,84,1,0,1,98,0,1,0,1,Matches,Liverpool
Xherdan Shaqiri,ch SUI,FW,27,2.1,109,96,13,2,0,21,3,6,6,3,1,0,62,26,21,82,17,2,5,0,90,2,0,4,2,Matches,Liverpool
Curtis Jones,eng ENG,MF,18,1.4,128,128,0,0,0,23,3,0,0,0,0,0,103,13,12,16,105,5,0,0,111,0,1,2,2,Matches,Liverpool
Harvey Elliot,eng ENG,DF,16,0.1,15,11,4,0,0,0,1,3,3,0,2,0,8,3,4,13,1,0,1,0,12,0,0,0,0,Matches,Liverpool
Ederson,br BRA,GK,25,34.1,1063,878,185,45,1,117,38,0,0,0,0,0,790,59,214,737,143,3,1,161,927,3,17,4,1,Matches,Manchester City
Kevin De Bruyne,be BEL,MF,28,31.0,2244,1975,269,52,32,365,135,304,177,62,51,17,1475,310,459,262,1888,41,36,3,1674,13,38,61,96,Matches,Manchester City
Raheem Sterling,eng ENG,FW,24,29.5,1217,1197,20,1,4,290,4,50,1,0,0,0,965,150,102,133,1027,19,13,14,983,1,13,33,55,Matches,Manchester City
Rodri,es ESP,MF,23,27.6,2537,2505,32,30,0,478,100,8,0,0,0,0,1978,272,287,339,2056,87,2,12,2363,1,21,17,19,Matches,Manchester City
Kyle Walker,eng ENG,DF,29,26.6,2144,1922,222,27,2,252,83,55,1,0,0,0,1514,353,277,57,1801,52,194,19,1884,4,25,28,45,Matches,Manchester City
Fernandinho,br BRA,DF,34,26.6,2190,2134,56,44,2,249,76,5,0,0,0,0,1709,193,288,243,1800,83,12,10,1985,6,23,12,22,Matches,Manchester City
Bernardo Silva,pt POR,"FW,MF",24,22.6,1450,1394,56,10,3,251,24,71,19,1,1,0,1102,210,138,1280,95,40,24,2,1262,2,6,15,39,Matches,Manchester City
David Silva,es ESP,MF,33,20.3,1513,1455,58,18,11,269,12,35,10,1,2,0,1231,183,99,1292,189,16,5,5,1319,6,14,34,39,Matches,Manchester City
Gabriel Jesus,br BRA,FW,22,22.6,608,589,19,0,2,145,8,6,1,0,0,0,467,92,49,71,485,17,4,11,532,1,6,13,18,Matches,Manchester City
İlkay Gündoğan,de GER,MF,28,22.4,1956,1895,61,28,11,348,44,30,23,10,4,2,1515,251,190,540,1353,42,5,3,1779,3,13,24,24,Matches,Manchester City
Riyad Mahrez,dz ALG,FW,28,21.6,1188,1113,75,11,23,202,50,88,55,25,3,6,890,138,160,1039,114,15,9,3,1009,5,16,19,27,Matches,Manchester City
Nicolás Otamendi,ar ARG,DF,31,19.1,1488,1474,14,10,0,142,35,0,0,0,0,0,1254,100,134,112,1299,38,4,4,1380,2,12,11,13,Matches,Manchester City
Benjamin Mendy,fr FRA,DF,25,16.6,1285,1158,127,13,0,160,33,86,0,0,0,0,900,225,160,1036,103,21,114,1,1108,5,14,18,32,Matches,Manchester City
Sergio Agüero,ar ARG,FW,31,16.1,367,349,18,1,5,90,1,10,0,0,0,0,273,71,23,41,303,11,1,9,284,0,4,11,15,Matches,Manchester City
Aymeric Laporte,fr FRA,DF,25,12.2,1114,1093,21,14,0,125,35,0,0,0,0,0,913,102,99,838,202,42,7,6,1041,0,5,4,10,Matches,Manchester City
Oleksandr Zinchenko,ua UKR,DF,22,14.2,1348,1232,116,9,2,157,20,53,3,0,0,1,986,208,154,1090,91,44,104,4,1198,4,7,14,22,Matches,Manchester City
João Cancelo,pt POR,DF,25,13.4,1147,1044,103,6,4,141,27,47,1,0,1,0,825,189,133,141,869,28,96,3,1008,4,14,16,21,Matches,Manchester City
John Stones,eng ENG,DF,25,12.5,1016,1001,15,11,0,136,36,0,0,0,0,0,847,72,97,103,839,43,4,3,966,1,4,2,4,Matches,Manchester City
Phil Foden,eng ENG,"FW,MF",19,10.0,508,494,14,4,4,74,17,28,6,2,1,0,398,51,59,450,37,11,4,2,431,0,6,2,15,Matches,Manchester City
Eric García,es ESP,DF,18,8.8,705,698,7,6,0,51,17,1,0,0,0,0,641,29,35,63,625,11,1,1,672,1,3,2,4,Matches,Manchester City
Angeliño,es ESP,DF,22,4.7,426,377,49,3,0,70,7,42,0,0,0,0,267,78,81,342,15,18,46,1,335,1,9,5,14,Matches,Manchester City
Claudio Bravo,cl CHI,GK,36,3.9,132,96,36,8,0,20,5,0,0,0,0,0,69,15,48,11,105,0,0,13,101,0,4,2,0,Matches,Manchester City
Thomas Doyle,eng ENG,"MF,FW",17,0.2,19,18,1,1,0,1,0,0,0,0,0,0,19,0,0,4,15,0,0,0,19,0,0,0,0,Matches,Manchester City
Leroy Sané,de GER,FW,23,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,6,1,0,0,0,6,0,0,0,0,Matches,Manchester City
David de Gea,es ESP,GK,28,38.0,934,590,344,78,0,108,23,0,0,0,0,0,545,80,309,55,695,0,1,148,726,1,18,3,5,Matches,Manchester Utd
Harry Maguire,eng ENG,DF,26,38.0,2403,2327,76,66,1,362,91,2,0,0,0,0,1787,268,348,320,1862,119,10,11,2127,5,45,21,11,Matches,Manchester Utd
Victor Lindelöf,se SWE,DF,25,34.4,2013,1955,58,46,2,276,30,2,0,0,0,0,1572,199,242,253,1606,76,12,14,1764,2,33,25,20,Matches,Manchester Utd
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,2064,1680,384,16,0,299,16,102,0,0,0,0,1334,407,323,79,1558,43,368,2,1676,5,23,35,94,Matches,Manchester Utd
Marcus Rashford,eng ENG,FW,21,29.4,988,961,27,2,8,162,25,32,9,5,1,2,742,120,126,89,833,28,8,14,758,3,18,26,43,Matches,Manchester Utd
Anthony Martial,fr FRA,FW,23,29.2,721,692,29,4,5,203,3,11,0,0,0,0,587,94,40,123,560,12,4,6,575,2,7,14,43,Matches,Manchester Utd
Daniel James,wal WAL,FW,21,25.4,803,789,14,4,3,183,21,96,3,1,1,0,588,118,97,99,681,14,5,1,586,3,18,15,63,Matches,Manchester Utd
Fred,br BRA,MF,26,24.0,1714,1608,106,53,3,344,83,63,42,15,16,0,1231,232,251,1200,466,29,8,6,1463,2,18,20,37,Matches,Manchester Utd
Scott McTominay,sco SCO,MF,22,19.7,995,966,29,28,2,158,47,14,0,0,0,0,745,111,139,44,878,45,1,5,816,2,18,21,25,Matches,Manchester Utd
Luke Shaw,eng ENG,DF,24,19.3,1296,1137,159,19,1,242,14,37,5,4,0,0,910,203,183,972,111,55,135,3,1121,1,12,19,37,Matches,Manchester Utd
Nemanja Matić,rs SRB,MF,30,17.6,1240,1210,30,26,1,220,30,3,0,0,0,0,979,125,136,1029,147,40,4,5,1095,1,11,17,22,Matches,Manchester Utd
Andreas Pereira,br BRA,"MF,FW",23,16.5,770,692,78,23,1,157,30,62,37,14,12,3,518,125,127,89,634,23,9,3,566,4,11,22,27,Matches,Manchester Utd
Bruno Fernandes,pt POR,MF,24,13.2,853,751,102,27,4,140,53,75,55,15,24,7,528,138,187,64,768,13,5,2,608,3,12,23,39,Matches,Manchester Utd
Paul Pogba,fr FRA,MF,26,13.4,1026,998,28,27,6,214,63,6,0,0,0,0,735,136,155,112,864,24,1,7,880,5,10,16,23,Matches,Manchester Utd
Mason Greenwood,eng ENG,FW,17,14.7,488,485,3,0,0,101,12,10,2,0,1,0,391,51,46,382,93,9,0,0,416,1,6,7,11,Matches,Manchester Utd
Brandon Williams,eng ENG,DF,18,11.2,636,553,83,7,1,91,6,13,1,0,0,0,452,98,86,157,380,15,75,1,531,3,8,15,12,Matches,Manchester Utd
Ashley Young,eng ENG,DF,34,10.6,735,553,182,28,1,114,39,62,35,13,14,6,406,130,199,86,502,17,119,5,565,4,21,17,19,Matches,Manchester Utd
Jesse Lingard,eng ENG,"MF,FW",26,10.4,409,389,20,3,1,81,4,7,2,0,0,0,327,54,28,19,366,9,6,8,351,3,5,8,11,Matches,Manchester Utd
Juan Mata,es ESP,"MF,FW",31,8.4,523,494,29,8,2,116,11,23,10,5,1,2,377,67,79,444,64,4,6,2,442,2,3,6,15,Matches,Manchester Utd
Axel Tuanzebe,eng ENG,DF,21,2.1,141,129,12,1,0,16,3,1,0,0,0,0,104,24,13,18,104,5,11,1,127,0,0,1,2,Matches,Manchester Utd
Timothy Fosu-Mensah,nl NED,DF,21,1.5,73,66,7,0,0,4,1,2,0,0,0,0,51,13,9,15,47,4,7,0,62,0,2,1,1,Matches,Manchester Utd
Phil Jones,eng ENG,DF,27,1.5,89,86,3,2,0,22,3,1,0,0,0,0,67,14,8,7,73,3,1,2,79,0,2,1,1,Matches,Manchester Utd
Eric Bailly,ci CIV,DF,25,1.7,72,72,0,0,0,7,1,0,0,0,0,0,47,14,11,10,52,5,0,1,64,0,0,0,1,Matches,Manchester Utd
Marcos Rojo,ar ARG,DF,29,1.4,55,45,10,2,0,6,2,3,0,0,0,0,25,12,18,39,5,1,8,0,37,0,3,0,0,Matches,Manchester Utd
Diogo Dalot,pt POR,DF,20,0.7,64,50,14,0,0,8,0,3,1,0,0,0,34,20,10,7,40,2,13,1,51,0,1,2,1,Matches,Manchester Utd
Odion Ighalo,ng NGA,FW,30,1.1,23,23,0,0,0,4,0,0,0,0,0,0,18,3,2,3,19,1,0,0,21,0,0,0,0,Matches,Manchester Utd
Tahith Chong,nl NED,"FW,MF",19,0.4,14,14,0,0,0,2,0,0,0,0,0,0,13,1,0,14,0,0,0,0,9,0,1,2,1,Matches,Manchester Utd
Angel Gomes,eng ENG,MF,18,0.2,13,13,0,0,1,0,1,0,0,0,0,0,10,0,3,0,13,0,0,0,11,0,2,0,0,Matches,Manchester Utd
James Garner,eng ENG,MF,18,0.1,15,15,0,0,0,6,1,0,0,0,0,0,15,0,0,2,12,0,0,1,15,0,0,0,0,Matches,Manchester Utd
Martin Dúbravka,sk SVK,GK,30,38.0,1093,607,486,148,0,122,34,0,0,0,0,0,267,38,788,48,849,1,1,122,595,7,34,6,2,Matches,Newcastle Utd
Miguel Almirón,py PAR,"MF,FW",25,33.6,894,881,13,2,2,207,22,42,1,0,1,0,635,145,114,777,67,29,8,8,682,3,16,31,40,Matches,Newcastle Utd
Joelinton,br BRA,FW,22,29.8,801,761,40,1,4,316,11,5,0,0,0,0,488,174,139,126,486,62,5,16,640,4,15,11,21,Matches,Newcastle Utd
Federico Fernández,ar ARG,DF,30,29.1,1184,1052,132,41,1,167,51,27,0,0,0,0,717,146,321,69,937,56,90,1,907,4,39,19,24,Matches,Newcastle Utd
Isaac Hayden,eng ENG,MF,24,24.7,833,784,49,15,3,199,12,38,0,0,0,0,548,116,169,104,622,53,12,5,630,2,15,14,36,Matches,Newcastle Utd
Jonjo Shelvey,eng ENG,MF,27,23.5,1091,964,127,50,6,230,108,87,61,26,24,4,574,158,359,117,925,32,2,4,791,12,23,19,21,Matches,Newcastle Utd
