player,nationality,position,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches,team
Ezri Konsa,eng ENG,DF,21,22.7,853,748,105,18,0,118,18,13,0,0,0,0,498,138,217,83,600,44,87,5,674,0,20,10,15,Matches,Aston Villa
Frederic Guilbert,fr FRA,DF,24,22.7,1026,807,219,13,1,139,26,91,1,0,0,0,439,225,362,94,629,68,205,7,687,8,35,18,51,Matches,Aston Villa
Wesley Moraes,br BRA,FW,22,19.8,377,361,16,0,0,115,12,7,0,0,0,0,221,94,62,16,282,33,2,10,277,3,6,6,11,Matches,Aston Villa
Trézéguet,eg EGY,"FW,MF",24,21.7,445,425,20,2,1,90,22,65,10,5,2,0,254,86,105,22,361,28,8,9,295,2,17,11,23,Matches,Aston Villa
Tom Heaton,eng ENG,GK,33,19.9,614,342,272,76,0,62,17,0,0,0,0,0,210,22,382,28,461,1,0,95,350,2,22,1,0,Matches,Aston Villa
Marvelous Nakamba,zw ZIM,MF,25,20.4,792,768,24,20,0,172,17,3,0,0,0,0,600,102,90,636,103,34,3,2,669,2,15,13,11,Matches,Aston Villa
Conor Hourihane,ie IRL,MF,28,17.0,721,564,157,72,2,91,35,112,55,22,19,0,455,101,165,626,55,18,11,2,542,2,15,12,23,Matches,Aston Villa
Kortney Hause,eng ENG,DF,24,17.2,789,743,46,25,0,141,26,0,0,0,0,0,418,125,246,569,77,61,21,1,591,4,20,12,15,Matches,Aston Villa
Björn Engels,be BEL,DF,24,16.1,605,586,19,17,0,91,29,2,0,0,0,0,399,68,138,53,491,31,2,1,503,2,9,5,4,Matches,Aston Villa
Pepe Reina,es ESP,GK,36,12.0,395,254,141,48,0,47,16,0,0,0,0,0,139,28,228,33,290,0,0,47,272,3,13,1,0,Matches,Aston Villa
Neil Taylor,wal WAL,DF,30,12.1,513,414,99,6,0,94,4,9,0,0,0,0,286,128,99,276,123,16,93,0,410,2,9,5,14,Matches,Aston Villa
Ahmed Elmohamady,eg EGY,DF,31,11.5,633,533,100,6,0,102,12,58,0,0,0,0,304,136,193,7,482,30,94,1,484,3,9,18,14,Matches,Aston Villa
Mbwana Samatta,tz TAN,FW,26,10.5,179,171,8,0,1,51,1,3,0,0,0,0,94,36,49,22,103,21,1,6,127,0,4,3,6,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,6.0,182,111,71,18,0,10,3,0,0,0,0,0,62,13,107,15,133,0,0,28,105,1,8,1,1,Matches,Aston Villa
Keinan Davis,eng ENG,FW,21,6.1,141,135,6,0,0,56,0,1,0,0,0,0,101,22,18,98,20,6,1,2,107,0,3,1,5,Matches,Aston Villa
Jota,es ESP,"FW,MF",28,3.7,98,93,5,2,3,24,1,2,1,1,0,0,63,14,21,83,10,3,2,0,73,1,1,2,2,Matches,Aston Villa
Danny Drinkwater,eng ENG,MF,29,2.9,167,163,4,4,0,32,7,1,0,0,0,0,96,44,27,35,126,3,0,0,136,0,5,2,6,Matches,Aston Villa
Henri Lansbury,eng ENG,MF,28,2.2,81,80,1,0,0,15,6,1,0,0,0,0,46,15,20,7,62,10,0,1,60,0,3,1,3,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,Matches,Aston Villa
Jonathan Kodjia,ci CIV,"FW,MF",29,1.3,30,24,6,0,0,7,0,0,0,0,0,0,21,4,5,2,24,1,0,0,19,0,1,1,1,Matches,Aston Villa
Indiana Vassilev,us USA,"FW,MF",18,0.6,11,10,1,0,0,5,0,0,0,0,0,0,9,0,2,6,3,1,1,0,8,0,0,1,1,Matches,Aston Villa
Borja Bastón,es ESP,"MF,FW",26,0.2,5,5,0,0,0,2,0,0,0,0,0,0,2,1,2,0,4,0,0,0,4,0,0,0,0,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37.0,1124,702,422,133,1,107,33,1,0,0,0,0,423,50,651,57,813,1,0,184,648,4,46,3,5,Matches,Bournemouth
Callum Wilson,eng ENG,FW,27,32.3,535,508,27,0,5,164,9,21,0,0,0,0,277,164,94,58,385,33,1,17,345,2,8,9,47,Matches,Bournemouth
Jefferson Lerma,co COL,MF,24,30.0,1377,1348,29,24,0,281,39,6,0,0,0,0,816,246,315,143,1080,110,5,2,1092,4,34,21,24,Matches,Bournemouth
Philip Billing,dk DEN,MF,23,28.1,1179,1120,59,20,4,283,20,15,0,0,0,0,700,218,261,828,130,100,39,5,878,5,41,19,29,Matches,Bournemouth
Nathan Aké,nl NED,DF,24,27.8,1183,1130,53,33,1,150,15,4,0,0,0,0,852,134,197,840,209,92,20,1,1042,2,11,5,13,Matches,Bournemouth
Steve Cook,eng ENG,DF,28,27.0,1222,1163,59,41,2,177,20,2,0,0,0,0,755,155,312,43,1017,95,18,0,993,4,22,7,12,Matches,Bournemouth
Diego Rico,es ESP,DF,26,25.9,1482,1102,380,61,4,205,38,174,72,36,23,6,643,367,472,1060,70,84,247,2,1011,5,40,35,63,Matches,Bournemouth
Adam Smith,eng ENG,DF,28,22.8,1061,856,205,21,1,178,13,28,1,1,0,0,597,201,263,67,734,50,183,2,845,3,22,13,38,Matches,Bournemouth
Joshua King,no NOR,"FW,MF",27,22.3,498,485,13,1,4,145,5,23,1,0,0,0,324,103,71,47,396,17,2,6,362,2,9,14,31,Matches,Bournemouth
Ryan Fraser,sco SCO,"MF,FW",25,23.0,950,818,132,35,9,205,29,173,64,25,20,8,516,180,254,195,697,27,19,5,648,4,18,16,38,Matches,Bournemouth
Harry Wilson,wal WAL,"MF,FW",22,18.3,609,552,57,10,7,134,30,35,20,12,0,1,368,119,122,511,61,20,9,3,454,0,11,17,34,Matches,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",21,18.3,429,404,25,1,0,136,3,6,0,0,0,0,268,94,67,40,307,37,1,9,317,1,6,9,19,Matches,Bournemouth
Jack Stacey,eng ENG,DF,23,17.2,780,625,155,6,0,156,8,34,1,1,0,0,373,191,216,65,497,54,148,1,560,3,13,19,37,Matches,Bournemouth
Lewis Cook,eng ENG,MF,22,15.0,719,698,21,12,5,131,18,9,1,0,0,0,434,161,124,41,633,24,7,1,560,5,11,14,24,Matches,Bournemouth
Dan Gosling,eng ENG,MF,29,14.0,510,500,10,4,0,124,6,3,0,0,0,0,325,111,74,50,415,26,1,2,405,1,12,10,21,Matches,Bournemouth
Simon Francis,eng ENG,DF,34,10.8,544,504,40,11,1,123,18,16,0,0,0,0,272,126,146,48,403,34,29,2,425,0,10,9,6,Matches,Bournemouth
Chris Mepham,wal WAL,DF,21,10.1,483,475,8,8,0,86,13,3,0,0,0,0,363,37,83,55,377,29,0,4,414,1,12,4,4,Matches,Bournemouth
David Brooks,wal WAL,MF,22,5.6,179,157,22,3,1,22,7,24,12,6,4,0,93,49,37,132,44,2,1,0,121,1,5,2,8,Matches,Bournemouth
Junior Stanislas,eng ENG,"MF,DF",29,7.9,310,275,35,12,1,62,11,37,16,8,5,1,190,61,59,26,263,4,6,2,222,1,7,4,15,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,20,7.1,231,194,37,6,0,29,0,6,0,0,0,0,129,37,65,161,14,19,31,0,168,1,6,2,7,Matches,Bournemouth
Arnaut Groeneveld,nl NED,MF,22,7.0,227,221,6,1,0,63,5,9,3,2,1,0,160,41,26,30,184,10,2,0,181,1,4,5,14,Matches,Bournemouth
Andrew Surman,eng ENG,MF,32,2.6,127,118,9,7,0,20,7,3,2,1,1,0,69,29,29,95,13,15,0,0,102,0,2,1,1,Matches,Bournemouth
Charlie Daniels,eng ENG,DF,32,1.4,49,39,10,4,0,7,4,5,0,0,0,0,25,9,15,42,1,0,6,0,35,2,4,0,0,Matches,Bournemouth
Jack Simpson,eng ENG,DF,22,2.7,100,86,14,0,0,17,3,0,0,0,0,0,53,27,20,68,15,1,14,0,70,1,8,3,3,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1.0,32,23,9,1,0,4,0,0,0,0,0,0,16,3,13,3,24,0,0,5,23,0,1,0,0,Matches,Bournemouth
Jordon Ibe,eng ENG,DF,23,0.6,22,18,4,1,0,4,1,3,1,0,1,0,13,3,6,5,13,2,2,0,17,0,0,0,2,Matches,Bournemouth
Sam Surridge,eng ENG,FW,21,0.3,10,10,0,0,1,4,0,1,0,0,0,0,4,2,4,1,4,2,0,0,4,1,0,0,0,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38.0,1462,1129,333,59,0,219,47,0,0,0,0,0,797,100,565,175,990,3,0,233,1173,7,47,5,5,Matches,Brighton
Lewis Dunk,eng ENG,DF,27,35.9,2192,2094,98,66,1,262,116,1,0,0,0,0,1529,264,399,137,1858,106,32,19,1913,7,51,22,9,Matches,Brighton
Dan Burn,eng ENG,DF,27,32.0,1841,1565,276,12,1,344,21,52,1,0,0,1,999,367,475,1211,162,111,263,2,1389,4,43,22,62,Matches,Brighton
Davy Pröpper,nl NED,MF,27,31.4,1785,1760,25,18,6,323,34,37,0,0,0,0,1295,272,218,147,1548,64,4,7,1483,6,37,40,47,Matches,Brighton
Adam Webster,eng ENG,DF,24,29.6,1824,1740,84,52,1,298,47,6,0,0,0,0,1269,241,314,333,1298,105,31,5,1547,5,26,19,17,Matches,Brighton
Neal Maupay,fr FRA,FW,22,30.7,688,624,64,4,3,181,13,12,0,0,0,0,491,145,52,122,507,24,10,14,540,6,8,20,33,Matches,Brighton
Dale Stephens,eng ENG,MF,30,28.1,1641,1624,17,12,4,297,58,4,0,0,0,0,1100,284,257,175,1376,63,4,6,1421,4,24,26,25,Matches,Brighton
Aaron Mooy,au AUS,"MF,FW",28,23.2,1075,992,83,23,4,229,47,107,53,23,21,7,674,180,221,184,850,24,6,3,825,7,14,19,43,Matches,Brighton
Martín Montoya,es ESP,DF,28,21.1,1255,1014,241,13,0,214,36,45,1,0,1,0,642,326,287,142,824,47,227,1,1006,2,7,30,44,Matches,Brighton
Leandro Trossard,be BEL,"FW,MF",24,22.3,795,752,43,17,3,173,44,76,10,5,4,1,447,173,175,174,583,15,13,8,567,3,15,22,45,Matches,Brighton
Pascal Groß,de GER,"FW,MF",28,20.0,1028,888,140,48,3,195,66,146,80,22,31,19,605,152,271,179,802,26,3,4,762,9,16,16,37,Matches,Brighton
Yves Bissouma,ml MLI,MF,22,14.0,622,610,12,10,0,105,24,6,0,0,0,0,433,103,86,49,537,17,2,6,525,2,10,10,10,Matches,Brighton
Aaron Connolly,ie IRL,FW,19,14.0,163,148,15,0,1,50,0,9,0,0,0,0,90,52,21,27,107,13,1,6,126,0,1,4,10,Matches,Brighton
Shane Duffy,ie IRL,DF,27,13.8,613,577,36,32,0,98,35,1,0,0,0,0,391,86,136,39,482,48,4,8,515,1,16,3,7,Matches,Brighton
Steven Alzate,co COL,"MF,DF",20,13.2,664,609,55,5,1,135,9,9,0,0,0,0,471,133,60,30,540,33,50,1,564,1,5,15,16,Matches,Brighton
Solly March,eng ENG,"DF,FW",25,12.7,601,516,85,8,0,129,33,64,14,7,3,2,325,115,161,459,45,24,60,3,435,1,15,11,29,Matches,Brighton
Glenn Murray,eng ENG,FW,35,8.9,177,170,7,1,1,52,3,4,0,0,0,0,85,51,41,17,118,15,2,7,116,0,5,1,11,Matches,Brighton
Bernardo,br BRA,DF,24,7.5,383,332,51,1,0,81,1,17,0,0,0,0,199,92,92,254,32,25,50,2,286,0,12,9,14,Matches,Brighton
Tariq Lamptey,eng ENG,DF,18,6.5,235,188,47,4,0,26,1,22,0,0,0,0,125,51,59,52,127,9,43,2,173,0,8,3,15,Matches,Brighton
Ezequiel Schelotto,it ITA,DF,30,4.0,169,129,40,1,0,31,3,16,0,0,0,0,71,57,41,12,105,8,39,0,121,0,3,3,7,Matches,Brighton
Alexis Mac Allister,ar ARG,"MF,FW",20,3.9,130,99,31,10,0,27,3,23,17,8,6,1,72,26,32,15,107,4,0,0,84,0,3,2,4,Matches,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,3.5,140,136,4,0,0,21,2,24,1,0,0,0,87,31,22,16,116,4,3,1,84,0,5,4,10,Matches,Brighton
Jürgen Locadia,nl NED,"MF,FW",25,1.0,19,19,0,0,0,10,0,1,0,0,0,0,11,3,5,2,14,2,0,0,9,1,0,0,3,Matches,Brighton
Florin Andone,ro ROU,"MF,FW",26,0.8,12,11,1,0,0,5,0,0,1,0,0,0,8,2,2,2,6,2,0,1,8,0,0,1,1,Matches,Brighton
Gaëtan Bong,cm CMR,"MF,DF",31,0.7,35,32,3,1,0,3,1,5,0,0,0,0,23,2,10,32,1,0,2,0,24,0,1,1,3,Matches,Brighton
Nick Pope,eng ENG,GK,27,38.0,1180,718,462,155,1,105,31,0,1,1,0,0,217,69,894,59,838,3,1,168,536,8,63,5,4,Matches,Burnley
James Tarkowski,eng ENG,DF,26,38.0,1250,1222,28,25,0,245,32,4,0,0,0,0,617,210,423,153,839,130,3,6,913,6,49,12,19,Matches,Burnley
Dwight McNeil,eng ENG,MF,19,37.1,1277,1151,126,56,4,295,109,256,60,52,4,2,740,159,378,1145,52,45,9,4,874,9,26,24,73,Matches,Burnley
Ashley Westwood,eng ENG,MF,29,35.0,1854,1653,201,65,10,281,90,146,91,80,1,2,1004,324,526,102,1663,66,3,5,1381,11,39,19,36,Matches,Burnley
Ben Mee,eng ENG,DF,29,32.0,1172,1114,58,53,0,226,37,2,0,0,0,0,642,149,381,901,135,73,5,4,875,5,36,8,12,Matches,Burnley
Jack Cork,eng ENG,MF,30,29.0,933,926,7,3,3,244,26,6,0,0,0,0,589,148,196,101,723,59,4,3,743,6,13,9,16,Matches,Burnley
