player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches,team
Armando Broja,al ALB,FW,17,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,0,2,1,0,0,0,0,0,0,0,0,Matches,Chelsea
Wilfried Zaha,ci CIV,"MF,FW",26,36.4,45,31,16,15,14,10,45,22.2,35,813,237,29.2,230,343,240,33,2,0,31,16,61,4,0,Matches,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",27,35.0,54,29,16,21,17,15,45,33.3,30,1018,219,21.5,178,515,325,35,6,0,29,13,67,20,0,Matches,Crystal Palace
James McArthur,sco SCO,MF,31,34.3,110,70,50,46,14,36,106,34.0,70,932,263,28.2,368,438,126,97,24,1,73,61,171,57,0,Matches,Crystal Palace
Vicente Guaita,es ESP,GK,32,35.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,0,0,0,2,Matches,Crystal Palace
Cheikhou Kouyaté,sn SEN,"MF,DF",29,28.1,70,45,45,23,2,23,50,46.0,27,418,123,29.4,190,178,50,60,13,0,47,38,108,79,1,Matches,Crystal Palace
Patrick van Aanholt,nl NED,DF,28,27.9,51,32,33,16,2,22,54,40.7,32,267,74,27.7,159,71,37,57,13,1,44,46,97,67,3,Matches,Crystal Palace
Luka Milivojević,rs SRB,MF,28,27.9,60,37,34,24,2,28,76,36.8,48,519,135,26.0,249,229,41,47,8,0,39,39,99,66,1,Matches,Crystal Palace
Joel Ward,eng ENG,DF,29,26.5,67,31,44,18,5,28,54,51.9,26,318,84,26.4,198,87,33,46,4,1,42,52,119,106,1,Matches,Crystal Palace
Gary Cahill,eng ENG,DF,33,24.1,18,12,13,5,0,6,15,40.0,9,106,35,33.0,75,23,8,45,24,0,21,18,36,134,0,Matches,Crystal Palace
James Tomkins,eng ENG,DF,30,17.6,30,14,23,7,0,12,18,66.7,6,138,45,32.6,98,35,5,33,15,0,18,23,53,138,0,Matches,Crystal Palace
Martin Kelly,eng ENG,DF,29,17.2,24,18,18,6,0,12,29,41.4,17,181,63,34.8,129,42,10,50,15,0,35,15,39,102,3,Matches,Crystal Palace
James McCarthy,ie IRL,MF,28,18.7,77,42,33,37,7,30,69,43.5,39,419,125,29.8,163,208,48,35,5,0,30,27,104,19,1,Matches,Crystal Palace
Andros Townsend,eng ENG,MF,28,14.4,32,20,14,13,5,14,36,38.9,22,290,65,22.4,104,126,60,28,0,0,28,16,48,10,0,Matches,Crystal Palace
Scott Dann,eng ENG,DF,32,14.1,12,5,10,2,0,7,14,50.0,7,41,16,39.0,29,12,0,17,6,0,11,14,26,80,0,Matches,Crystal Palace
Christian Benteke,be BEL,FW,28,14.0,9,5,0,6,3,1,8,12.5,7,178,49,27.5,4,70,104,14,6,0,8,4,13,25,0,Matches,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,DF",26,11.5,20,6,12,8,0,3,13,23.1,10,149,36,24.2,55,71,23,25,3,0,22,13,33,15,0,Matches,Crystal Palace
Mamadou Sakho,fr FRA,DF,29,10.3,12,7,10,1,1,0,5,0.0,5,53,15,28.3,34,19,0,15,5,0,10,22,34,53,1,Matches,Crystal Palace
Jaïro Riedewald,nl NED,"DF,MF",22,8.5,15,12,5,8,2,8,13,61.5,5,118,40,33.9,50,52,16,13,2,0,11,15,30,17,0,Matches,Crystal Palace
Max Meyer,de GER,"MF,FW",23,7.3,17,8,9,8,0,4,17,23.5,13,144,39,27.1,64,63,17,13,1,0,12,9,26,3,0,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,32,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,DF,19,2.2,6,2,4,0,2,1,9,11.1,8,48,13,27.1,24,15,9,6,0,0,6,3,9,1,0,Matches,Crystal Palace
Cenk Tosun,tr TUR,FW,28,2.0,2,2,2,0,0,0,0,,0,70,11,15.7,16,41,13,3,0,0,3,0,2,1,0,Matches,Crystal Palace
Connor Wickham,eng ENG,"FW,MF",26,1.1,2,2,1,1,0,0,0,,0,28,10,35.7,3,13,12,3,1,0,2,0,2,1,0,Matches,Crystal Palace
Brandon Pierrick,eng ENG,MF,17,0.2,,0,,,,,,,,,,,,,,,,,,1,0,,,Matches,Crystal Palace
Víctor Camarasa,es ESP,MF,25,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,25,38.0,0,0,0,0,0,0,5,0.0,5,8,3,37.5,8,0,0,0,0,0,0,1,1,1,1,Matches,Everton
Richarlison,br BRA,FW,22,34.1,68,45,26,28,14,19,57,33.3,38,709,188,26.5,120,332,257,34,5,0,29,12,80,48,0,Matches,Everton
Lucas Digne,fr FRA,DF,26,33.7,87,39,58,22,7,30,67,44.8,37,496,133,26.8,249,156,91,69,10,0,59,46,133,145,1,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,22,29.2,15,11,1,9,5,3,18,16.7,15,471,130,27.6,11,191,269,22,5,0,17,6,21,34,0,Matches,Everton
Gylfi Sigurðsson,is ISL,MF,29,28.4,60,45,15,31,14,24,88,27.3,64,652,165,25.3,158,348,146,49,5,0,44,36,96,16,1,Matches,Everton
Michael Keane,eng ENG,DF,26,28.4,41,26,26,14,1,15,27,55.6,12,189,65,34.4,124,60,5,52,27,0,25,46,87,208,1,Matches,Everton
Yerry Mina,co COL,DF,24,25.4,43,20,30,11,2,15,27,55.6,12,229,66,28.8,155,60,14,37,18,0,19,29,72,178,1,Matches,Everton
Mason Holgate,eng ENG,DF,22,22.8,50,28,34,15,1,21,37,56.8,16,242,77,31.8,146,83,13,32,16,1,16,32,82,145,1,Matches,Everton
Tom Davies,eng ENG,MF,21,22.5,36,18,13,16,7,8,51,15.7,43,427,99,23.2,158,211,58,34,4,0,30,34,70,35,1,Matches,Everton
Séamus Coleman,ie IRL,DF,30,20.4,50,31,30,17,3,21,35,60.0,14,216,78,36.1,113,81,22,43,10,0,33,24,74,56,1,Matches,Everton
Alex Iwobi,ng NGA,"MF,FW",23,17.7,27,14,11,14,2,10,33,30.3,23,369,96,26.0,99,181,89,20,3,0,17,13,40,13,1,Matches,Everton
Djibril Sidibé,fr FRA,DF,27,20.3,84,40,48,21,15,34,72,47.2,38,392,114,29.1,200,130,62,37,3,0,34,41,125,50,0,Matches,Everton
André Gomes,pt POR,MF,26,16.2,32,24,13,14,5,7,63,11.1,56,367,93,25.3,126,195,46,28,3,0,25,7,39,10,0,Matches,Everton
Theo Walcott,eng ENG,"MF,FW",30,14.3,17,8,10,5,2,5,14,35.7,9,190,46,24.2,53,85,52,18,1,0,17,8,25,5,0,Matches,Everton
Bernard,br BRA,"MF,FW",26,14.2,25,14,9,10,6,6,39,15.4,33,271,69,25.5,64,143,64,30,2,0,28,16,41,8,0,Matches,Everton
Fabian Delph,eng ENG,MF,29,13.2,29,11,11,11,7,11,32,34.4,21,189,55,29.1,76,87,26,22,6,0,16,16,45,19,1,Matches,Everton
Morgan Schneiderlin,fr FRA,MF,29,11.1,32,19,14,16,2,9,34,26.5,25,230,58,25.2,89,122,19,22,3,0,19,21,53,24,0,Matches,Everton
Moise Kean,it ITA,FW,19,9.5,7,6,2,2,3,0,3,0.0,3,119,36,30.3,12,50,57,4,1,0,3,6,13,3,0,Matches,Everton
Anthony Gordon,eng ENG,"MF,FW",18,4.9,8,6,4,4,0,1,14,7.1,13,120,25,20.8,39,61,20,12,2,0,10,8,16,3,0,Matches,Everton
Leighton Baines,eng ENG,DF,34,4.5,10,6,7,2,1,2,7,28.6,5,51,14,27.5,28,10,13,11,2,0,9,5,15,12,0,Matches,Everton
Jarrad Branthwaite,eng ENG,DF,17,3.3,7,7,5,2,0,1,4,25.0,3,33,16,48.5,21,11,1,5,3,0,2,1,8,17,0,Matches,Everton
Cenk Tosun,tr TUR,FW,28,3.2,2,0,0,0,2,0,2,0.0,2,54,16,29.6,1,21,32,2,1,0,1,0,2,1,0,Matches,Everton
Jean-Philippe Gbamin,ci CIV,MF,23,1.5,5,4,2,1,2,1,4,25.0,3,29,13,44.8,13,11,5,2,0,0,2,1,6,6,0,Matches,Everton
Oumar Niasse,sn SEN,FW,29,0.2,4,1,0,2,2,2,2,100.0,0,9,1,11.1,1,5,3,2,0,0,2,1,5,0,0,Matches,Everton
Kasper Schmeichel,dk DEN,GK,32,38.0,0,0,0,0,0,0,1,0.0,1,5,2,40.0,5,0,0,0,0,0,0,0,0,0,1,Matches,Leicester City
Jonny Evans,nir NIR,DF,31,37.6,48,31,31,16,1,27,42,64.3,15,278,111,39.9,178,80,20,53,21,0,32,58,106,271,4,Matches,Leicester City
Çağlar Söyüncü,tr TUR,DF,23,33.7,73,47,49,23,1,29,55,52.7,26,298,119,39.9,188,102,8,49,19,2,30,43,116,222,1,Matches,Leicester City
Jamie Vardy,eng ENG,FW,32,33.7,17,11,1,10,6,1,6,16.7,5,497,146,29.4,5,183,309,29,5,0,24,2,19,23,0,Matches,Leicester City
Youri Tielemans,be BEL,MF,22,31.4,57,40,18,28,11,15,71,21.1,56,608,168,27.6,155,327,126,51,6,0,45,29,86,24,0,Matches,Leicester City
Wilfred Ndidi,ng NGA,MF,22,29.7,125,76,61,52,12,37,105,35.2,68,744,243,32.7,275,396,73,71,5,0,66,84,209,82,1,Matches,Leicester City
James Maddison,eng ENG,MF,22,29.2,56,39,19,23,14,22,69,31.9,47,627,199,31.7,160,338,129,21,1,0,20,10,66,8,1,Matches,Leicester City
Ricardo Pereira,pt POR,DF,25,28.0,122,68,71,35,16,56,121,46.3,65,563,176,31.3,272,189,102,59,8,0,51,43,165,97,2,Matches,Leicester City
Ben Chilwell,eng ENG,DF,22,26.4,51,26,33,14,4,19,59,32.2,40,414,116,28.0,193,159,62,58,9,0,49,28,79,88,0,Matches,Leicester City
Ayoze Pérez,es ESP,"MF,FW",26,22.3,51,34,15,26,10,14,58,24.1,44,575,174,30.3,106,293,176,32,2,0,30,13,64,12,0,Matches,Leicester City
Harvey Barnes,eng ENG,"MF,FW",21,23.1,22,12,10,9,3,7,26,26.9,19,328,86,26.2,69,153,106,23,4,0,19,5,27,7,1,Matches,Leicester City
Dennis Praet,be BEL,MF,25,12.6,30,18,7,19,4,10,31,32.3,21,304,76,25.0,93,162,49,26,2,0,24,15,45,13,1,Matches,Leicester City
Kelechi Iheanacho,ng NGA,FW,22,10.7,6,5,0,4,2,3,10,30.0,7,193,56,29.0,21,89,83,9,1,0,8,4,10,5,0,Matches,Leicester City
James Justin,eng ENG,DF,21,11.2,35,19,21,13,1,13,23,56.5,10,158,57,36.1,75,59,24,25,7,0,18,9,44,30,0,Matches,Leicester City
Hamza Choudhury,eng ENG,MF,21,9.9,20,13,8,10,2,5,28,17.9,23,192,62,32.3,80,88,24,20,7,0,13,27,47,18,0,Matches,Leicester City
Marc Albrighton,eng ENG,"MF,DF",29,9.6,23,11,11,11,1,7,29,24.1,22,192,66,34.4,46,95,51,18,1,0,17,8,31,6,0,Matches,Leicester City
Christian Fuchs,at AUT,DF,33,8.6,15,9,8,7,0,8,23,34.8,15,144,45,31.3,88,51,5,29,3,0,26,16,31,39,1,Matches,Leicester City
Wes Morgan,jm JAM,DF,35,4.8,5,4,3,2,0,1,3,33.3,2,30,16,53.3,16,13,1,6,4,0,2,7,12,30,0,Matches,Leicester City
Nampalys Mendy,fr FRA,MF,27,3.2,7,4,4,2,1,1,2,50.0,1,42,14,33.3,22,18,2,5,1,0,4,6,13,7,0,Matches,Leicester City
Demarai Gray,eng ENG,"MF,FW",23,6.9,8,5,6,1,1,3,14,21.4,11,129,39,30.2,32,63,34,10,0,0,10,5,13,2,0,Matches,Leicester City
Ryan Bennett,eng ENG,DF,29,3.7,5,2,2,3,0,4,6,66.7,2,35,7,20.0,14,19,2,3,1,0,2,7,12,15,0,Matches,Leicester City
Luke Thomas,eng ENG,DF,,3.0,4,3,2,2,0,1,4,25.0,3,36,8,22.2,13,17,6,3,0,0,3,4,8,10,0,Matches,Leicester City
George Hirst,eng ENG,FW,20,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,0,2,1,0,0,0,0,0,0,0,0,Matches,Leicester City
Matty James,eng ENG,MF,28,0.1,0,0,0,0,0,0,0,,0,2,2,100.0,0,1,1,0,0,0,0,0,0,0,0,Matches,Leicester City
Virgil van Dijk,nl NED,DF,28,38.0,30,20,20,9,1,6,15,40.0,9,133,46,34.6,84,37,12,32,16,1,16,35,65,259,2,Matches,Liverpool
Trent Alexander-Arnold,eng ENG,DF,20,35.3,58,25,37,15,6,34,85,40.0,51,409,131,32.0,193,123,93,53,9,0,44,46,104,98,2,Matches,Liverpool
Georginio Wijnaldum,nl NED,MF,28,32.6,37,29,13,17,7,5,34,14.7,29,489,160,32.7,126,255,108,35,4,0,31,18,55,34,1,Matches,Liverpool
Andrew Robertson,sco SCO,DF,25,34.6,60,32,19,25,16,31,69,44.9,38,390,134,34.4,136,144,110,59,7,0,52,38,98,82,0,Matches,Liverpool
Roberto Firmino,br BRA,FW,27,33.2,37,26,7,17,13,10,34,29.4,24,694,216,31.1,57,307,330,47,5,0,42,8,45,16,0,Matches,Liverpool
Mohamed Salah,eg EGY,FW,27,32.0,21,13,3,5,13,4,27,14.8,23,552,180,32.6,48,161,343,13,3,0,10,8,29,2,0,Matches,Liverpool
Sadio Mané,sn SEN,FW,27,30.5,50,35,13,23,14,15,46,32.6,31,504,153,30.4,106,167,231,30,1,0,29,14,64,5,0,Matches,Liverpool
Alisson,br BRA,GK,26,28.3,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,1,1,2,1,Matches,Liverpool
Jordan Henderson,eng ENG,MF,29,24.9,65,36,22,31,12,23,63,36.5,40,532,169,31.8,134,287,111,37,5,0,32,29,94,27,0,Matches,Liverpool
Fabinho,br BRA,MF,25,23.1,77,53,27,37,13,26,65,40.0,39,428,139,32.5,149,219,60,36,2,0,34,35,112,34,0,Matches,Liverpool
Joe Gomez,eng ENG,DF,22,22.3,26,15,17,9,0,10,22,45.5,12,151,60,39.7,92,55,4,25,8,0,17,41,67,90,1,Matches,Liverpool
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25,16.5,23,14,4,12,7,5,25,20.0,20,374,111,29.7,79,171,124,27,2,0,25,22,45,7,0,Matches,Liverpool
James Milner,eng ENG,"MF,DF",33,10.4,17,10,3,12,2,4,22,18.2,18,169,41,24.3,50,93,26,15,3,1,12,8,25,25,0,Matches,Liverpool
Adrián,es ESP,GK,32,9.7,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2,Matches,Liverpool
Naby Keïta,gn GUI,MF,24,9.1,27,20,8,13,6,9,25,36.0,16,213,78,36.6,41,99,73,19,0,0,19,11,38,4,0,Matches,Liverpool
Dejan Lovren,hr CRO,DF,30,8.6,16,9,12,4,0,7,13,53.8,6,80,22,27.5,56,22,2,13,6,0,7,11,27,81,1,Matches,Liverpool
Joël Matip,cm CMR,DF,27,7.8,13,9,5,6,2,5,12,41.7,7,64,27,42.2,35,27,2,7,3,0,4,13,26,76,0,Matches,Liverpool
Divock Origi,be BEL,FW,24,8.0,15,10,2,7,6,4,7,57.1,3,152,53,34.9,15,61,76,6,0,0,6,4,19,7,0,Matches,Liverpool
Adam Lallana,eng ENG,"MF,FW",31,4.2,20,12,9,9,2,9,27,33.3,18,132,41,31.1,45,54,33,13,0,0,13,4,24,3,0,Matches,Liverpool
Neco Williams,wal WAL,DF,18,2.6,6,2,1,3,2,3,4,75.0,1,36,12,33.3,11,15,10,7,1,0,6,8,14,8,0,Matches,Liverpool
Takumi Minamino,jp JPN,"FW,MF",24,2.8,4,3,1,3,0,1,7,14.3,6,63,20,31.7,11,27,25,3,0,0,3,0,4,2,0,Matches,Liverpool
Xherdan Shaqiri,ch SUI,FW,27,2.1,1,0,0,1,0,0,0,,0,39,12,30.8,11,13,15,1,0,0,1,0,1,0,0,Matches,Liverpool
Curtis Jones,eng ENG,MF,18,1.4,3,2,0,1,2,2,3,66.7,1,27,7,25.9,5,8,14,3,0,0,3,2,5,1,0,Matches,Liverpool
Harvey Elliot,eng ENG,DF,16,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Liverpool
Ederson,br BRA,GK,25,34.1,1,1,1,0,0,1,2,50.0,1,7,2,28.6,7,0,0,0,0,0,0,2,3,2,4,Matches,Manchester City
Kevin De Bruyne,be BEL,MF,28,31.0,44,28,11,18,15,11,58,19.0,47,554,177,31.9,83,230,241,31,2,0,29,19,63,19,1,Matches,Manchester City
Raheem Sterling,eng ENG,FW,24,29.5,41,29,8,19,14,10,33,30.3,23,412,132,32.0,67,177,168,25,3,0,22,14,55,8,0,Matches,Manchester City
Rodri,es ESP,MF,23,27.6,64,44,23,33,8,28,68,41.2,40,462,137,29.7,142,254,66,28,6,0,22,28,92,61,0,Matches,Manchester City
Kyle Walker,eng ENG,DF,29,26.6,33,23,14,17,2,19,33,57.6,14,256,101,39.5,93,119,44,31,6,1,25,29,62,64,0,Matches,Manchester City
Fernandinho,br BRA,DF,34,26.6,44,25,29,15,0,18,47,38.3,29,217,89,41.0,106,90,21,40,17,1,23,25,69,106,1,Matches,Manchester City
Bernardo Silva,pt POR,"FW,MF",24,22.6,39,26,15,14,10,15,49,30.6,34,408,124,30.4,63,179,166,36,1,0,35,26,65,11,0,Matches,Manchester City
David Silva,es ESP,MF,33,20.3,26,16,3,14,9,10,25,40.0,15,302,96,31.8,32,150,120,21,4,0,17,12,38,7,1,Matches,Manchester City
Gabriel Jesus,br BRA,FW,22,22.6,25,19,4,9,12,5,25,20.0,20,419,127,30.3,25,154,240,31,4,0,27,14,39,7,0,Matches,Manchester City
İlkay Gündoğan,de GER,MF,28,22.4,28,19,6,15,7,10,47,21.3,37,255,73,28.6,65,135,55,25,5,0,20,30,58,21,0,Matches,Manchester City
Riyad Mahrez,dz ALG,FW,28,21.6,32,21,9,13,10,13,48,27.1,35,394,111,28.2,72,154,168,38,1,0,37,19,51,7,0,Matches,Manchester City
Nicolás Otamendi,ar ARG,DF,31,19.1,22,12,19,2,1,13,31,41.9,18,109,36,33.0,65,38,6,28,11,1,17,19,41,89,2,Matches,Manchester City
Benjamin Mendy,fr FRA,DF,25,16.6,22,17,9,8,5,10,29,34.5,19,142,41,28.9,59,52,31,21,2,0,19,17,39,43,3,Matches,Manchester City
Sergio Agüero,ar ARG,FW,31,16.1,7,5,0,4,3,1,6,16.7,5,222,56,25.2,13,74,135,15,2,0,13,3,10,3,0,Matches,Manchester City
Aymeric Laporte,fr FRA,DF,25,12.2,12,8,8,4,0,7,13,53.8,6,62,26,41.9,32,27,3,6,5,0,1,19,31,39,2,Matches,Manchester City
Oleksandr Zinchenko,ua UKR,DF,22,14.2,28,16,15,11,2,17,39,43.6,22,139,45,32.4,45,57,37,20,0,0,20,15,43,36,1,Matches,Manchester City
João Cancelo,pt POR,DF,25,13.4,44,26,23,13,8,18,44,40.9,26,174,59,33.9,67,71,36,12,2,0,10,22,66,27,1,Matches,Manchester City
John Stones,eng ENG,DF,25,12.5,19,12,10,7,2,4,8,50.0,4,90,39,43.3,47,38,5,15,3,0,12,8,27,38,1,Matches,Manchester City
Phil Foden,eng ENG,"FW,MF",19,10.0,16,9,5,8,3,7,17,41.2,10,253,74,29.2,43,105,105,9,0,0,9,7,23,3,0,Matches,Manchester City
Eric García,es ESP,DF,18,8.8,12,4,8,3,1,6,11,54.5,5,74,20,27.0,44,25,5,8,0,0,8,18,30,46,1,Matches,Manchester City
Angeliño,es ESP,DF,22,4.7,8,5,4,3,1,5,6,83.3,1,47,18,38.3,14,25,8,4,0,0,4,9,17,18,0,Matches,Manchester City
Claudio Bravo,cl CHI,GK,36,3.9,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches,Manchester City
Thomas Doyle,eng ENG,"MF,FW",17,0.2,0,0,0,0,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,0,0,0,Matches,Manchester City
Leroy Sané,de GER,FW,23,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Manchester City
David de Gea,es ESP,GK,28,38.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,2,Matches,Manchester Utd
Harry Maguire,eng ENG,DF,26,38.0,44,27,25,18,1,14,36,38.9,22,240,90,37.5,155,77,8,45,25,0,20,75,119,246,1,Matches,Manchester Utd
Victor Lindelöf,se SWE,DF,25,34.4,30,16,21,8,1,12,17,70.6,5,221,64,29.0,117,98,6,50,21,0,29,26,56,170,0,Matches,Manchester Utd
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,138,65,82,48,8,45,73,61.6,28,611,176,28.8,304,228,79,101,14,0,87,65,203,108,0,Matches,Manchester Utd
Marcus Rashford,eng ENG,FW,21,29.4,12,6,1,7,4,7,28,25.0,21,378,102,27.0,32,175,171,26,0,0,26,9,21,20,0,Matches,Manchester Utd
Anthony Martial,fr FRA,FW,23,29.2,15,12,1,4,10,1,13,7.7,12,379,108,28.5,23,128,228,19,1,0,18,4,19,16,0,Matches,Manchester Utd
Daniel James,wal WAL,FW,21,25.4,25,15,6,12,7,6,45,13.3,39,569,143,25.1,124,263,182,37,4,0,33,8,33,10,0,Matches,Manchester Utd
Fred,br BRA,MF,26,24.0,79,51,41,33,5,29,98,29.6,69,707,194,27.4,289,328,90,64,8,0,56,38,117,26,0,Matches,Manchester Utd
Scott McTominay,sco SCO,MF,22,19.7,50,31,20,26,4,17,38,44.7,21,262,84,32.1,94,138,30,39,6,0,33,33,83,52,0,Matches,Manchester Utd
Luke Shaw,eng ENG,DF,24,19.3,34,24,18,10,6,15,35,42.9,20,274,78,28.5,120,118,36,53,7,0,46,22,56,58,0,Matches,Manchester Utd
Nemanja Matić,rs SRB,MF,30,17.6,41,21,18,22,1,9,33,27.3,24,276,79,28.6,103,151,22,33,9,0,24,23,64,35,1,Matches,Manchester Utd
Andreas Pereira,br BRA,"MF,FW",23,16.5,22,12,5,11,6,10,42,23.8,32,429,114,26.6,79,235,115,24,0,0,24,6,28,6,0,Matches,Manchester Utd
Bruno Fernandes,pt POR,MF,24,13.2,19,14,7,8,4,5,34,14.7,29,260,65,25.0,59,124,77,14,0,0,14,9,28,12,0,Matches,Manchester Utd
Paul Pogba,fr FRA,MF,26,13.4,25,16,11,10,4,8,19,42.1,11,165,58,35.2,61,71,33,20,7,0,13,5,30,13,1,Matches,Manchester Utd
Mason Greenwood,eng ENG,FW,17,14.7,19,13,6,6,7,7,21,33.3,14,190,61,32.1,50,75,65,15,0,0,15,8,27,4,0,Matches,Manchester Utd
Brandon Williams,eng ENG,DF,18,11.2,19,5,12,5,2,8,28,28.6,20,166,40,24.1,74,63,29,36,6,0,30,11,30,23,0,Matches,Manchester Utd
Ashley Young,eng ENG,DF,34,10.6,10,4,4,3,3,2,21,9.5,19,119,35,29.4,47,57,15,24,2,0,22,10,20,30,0,Matches,Manchester Utd
Jesse Lingard,eng ENG,"MF,FW",26,10.4,13,9,5,2,6,4,15,26.7,11,336,80,23.8,62,173,101,9,1,0,8,2,15,1,0,Matches,Manchester Utd
Juan Mata,es ESP,"MF,FW",31,8.4,8,7,2,4,2,2,13,15.4,11,118,35,29.7,18,54,46,7,1,0,6,0,8,1,0,Matches,Manchester Utd
Axel Tuanzebe,eng ENG,DF,21,2.1,3,3,0,3,0,0,1,0.0,1,30,8,26.7,12,14,4,7,0,0,7,5,8,6,1,Matches,Manchester Utd
Timothy Fosu-Mensah,nl NED,DF,21,1.5,1,1,1,0,0,1,4,25.0,3,19,5,26.3,9,9,1,0,0,0,0,5,6,2,0,Matches,Manchester Utd
Phil Jones,eng ENG,DF,27,1.5,4,2,2,2,0,2,2,100.0,0,18,9,50.0,12,5,1,1,0,0,1,4,8,19,1,Matches,Manchester Utd
Eric Bailly,ci CIV,DF,25,1.7,0,0,0,0,0,0,1,0.0,1,17,4,23.5,10,7,0,3,3,0,0,3,3,7,0,Matches,Manchester Utd
Marcos Rojo,ar ARG,DF,29,1.4,2,1,1,1,0,0,3,0.0,3,16,4,25.0,6,9,1,1,1,0,0,0,2,9,0,Matches,Manchester Utd
Diogo Dalot,pt POR,DF,20,0.7,3,2,3,0,0,2,4,50.0,2,8,4,50.0,3,2,3,1,0,0,1,2,5,4,0,Matches,Manchester Utd
Odion Ighalo,ng NGA,FW,30,1.1,2,2,0,2,0,1,2,50.0,1,23,5,21.7,4,6,13,2,1,0,1,0,2,0,0,Matches,Manchester Utd
Tahith Chong,nl NED,"FW,MF",19,0.4,0,0,0,0,0,0,0,,0,15,4,26.7,4,3,8,0,0,0,0,0,0,0,0,Matches,Manchester Utd
Angel Gomes,eng ENG,MF,18,0.2,0,0,0,0,0,0,0,,0,11,1,9.1,6,4,1,1,0,0,1,0,0,0,0,Matches,Manchester Utd
James Garner,eng ENG,MF,18,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,0,2,0,0,0,0,0,0,0,1,0,Matches,Manchester Utd
Martin Dúbravka,sk SVK,GK,30,38.0,0,0,0,0,0,0,1,0.0,1,9,0,0.0,9,0,0,2,0,0,2,1,1,1,3,Matches,Newcastle Utd
Miguel Almirón,py PAR,"MF,FW",25,33.6,62,36,34,17,11,13,46,28.3,33,732,175,23.9,236,278,218,44,1,0,43,30,92,16,0,Matches,Newcastle Utd
Joelinton,br BRA,FW,22,29.8,30,19,5,17,8,11,35,31.4,24,595,135,22.7,73,311,211,33,7,1,26,11,41,28,0,Matches,Newcastle Utd
Federico Fernández,ar ARG,DF,30,29.1,50,32,41,8,1,27,51,52.9,24,231,73,31.6,170,48,13,61,31,0,30,22,72,214,1,Matches,Newcastle Utd
Isaac Hayden,eng ENG,MF,24,24.7,63,37,35,20,8,12,45,26.7,33,476,126,26.5,213,203,60,38,8,0,30,36,99,34,1,Matches,Newcastle Utd
Jonjo Shelvey,eng ENG,MF,27,23.5,30,16,15,14,1,8,41,19.5,33,392,88,22.4,173,189,30,26,5,0,21,22,52,54,0,Matches,Newcastle Utd
Jamaal Lascelles,eng ENG,DF,25,23.1,18,10,14,4,0,5,14,35.7,9,163,60,36.8,110,47,6,37,23,0,14,29,47,165,1,Matches,Newcastle Utd
Allan Saint-Maximin,fr FRA,"MF,FW",22,20.7,17,11,11,2,4,5,25,20.0,20,251,62,24.7,75,113,63,21,3,0,18,9,26,6,0,Matches,Newcastle Utd
Fabian Schär,ch SUI,"DF,MF",27,18.6,49,27,35,12,2,22,48,45.8,26,225,60,26.7,149,68,8,44,21,1,23,51,100,104,2,Matches,Newcastle Utd
Javier Manquillo,es ESP,DF,25,17.8,47,32,32,11,4,24,39,61.5,15,220,71,32.3,120,77,23,35,5,0,30,20,67,60,0,Matches,Newcastle Utd
Jetro Willems,nl NED,DF,25,16.6,32,19,27,4,1,10,32,31.3,22,230,65,28.3,140,66,24,32,7,0,25,16,48,49,0,Matches,Newcastle Utd
Sean Longstaff,eng ENG,MF,21,15.3,43,21,19,20,4,20,54,37.0,34,513,112,21.8,208,247,58,31,3,0,28,21,64,30,2,Matches,Newcastle Utd
