player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,matches,team
Alexis Mac Allister,ar ARG,"MF,FW",20,3.9,11,2.81,4,3,2,2,0,0,0.00,0,0,0,0,0,0,Matches,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,3.5,8,2.32,5,0,1,0,1,1,0.29,0,0,0,0,0,1,Matches,Brighton
Jürgen Locadia,nl NED,"MF,FW",25,1.0,1,1.05,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Brighton
Florin Andone,ro ROU,"MF,FW",26,0.8,1,1.23,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Brighton
Gaëtan Bong,cm CMR,"MF,DF",31,0.7,3,4.58,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Brighton
Nick Pope,eng ENG,GK,27,38.0,8,0.21,5,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Burnley
James Tarkowski,eng ENG,DF,26,38.0,26,0.68,22,0,0,4,0,7,0.18,5,0,0,2,0,0,Matches,Burnley
Dwight McNeil,eng ENG,MF,19,37.1,102,2.75,61,22,6,6,7,14,0.38,9,2,1,1,1,0,Matches,Burnley
Ashley Westwood,eng ENG,MF,29,35.0,93,2.66,60,29,0,2,1,9,0.26,3,5,0,0,0,1,Matches,Burnley
Ben Mee,eng ENG,DF,29,32.0,21,0.66,13,1,1,6,0,2,0.06,1,0,0,1,0,0,Matches,Burnley
Jack Cork,eng ENG,MF,30,29.0,24,0.83,20,0,2,0,2,3,0.10,3,0,0,0,0,0,Matches,Burnley
Chris Wood,nz NZL,FW,27,27.1,49,1.81,32,0,5,4,8,3,0.11,3,0,0,0,0,0,Matches,Burnley
Charlie Taylor,eng ENG,DF,25,21.6,21,0.97,19,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches,Burnley
Jeff Hendrick,ie IRL,MF,27,21.5,27,1.26,21,3,1,2,0,1,0.05,1,0,0,0,0,0,Matches,Burnley
Phil Bardsley,sco SCO,DF,34,21.0,16,0.76,11,3,0,2,0,0,0.00,0,0,0,0,0,0,Matches,Burnley
Erik Pieters,nl NED,"DF,MF",30,20.9,23,1.10,22,0,0,1,0,4,0.19,4,0,0,0,0,0,Matches,Burnley
Jay Rodriguez,eng ENG,FW,30,22.4,31,1.38,21,0,3,4,3,5,0.22,4,0,0,1,0,0,Matches,Burnley
Matthew Lowton,eng ENG,DF,30,17.0,17,1.00,16,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches,Burnley
Ashley Barnes,at AUT,FW,29,15.0,19,1.26,12,0,1,1,5,1,0.07,0,0,0,0,1,0,Matches,Burnley
Josh Brownhill,eng ENG,MF,23,8.9,13,1.45,12,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches,Burnley
Matěj Vydra,cz CZE,FW,27,9.1,21,2.31,13,0,4,1,3,3,0.33,1,0,2,0,0,0,Matches,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,28,6.9,22,3.19,17,2,1,1,1,2,0.29,2,0,0,0,0,0,Matches,Burnley
Kevin Long,ie IRL,DF,28,6.3,3,0.48,1,1,0,1,0,1,0.16,0,1,0,0,0,0,Matches,Burnley
Robbie Brady,ie IRL,MF,27,5.0,13,2.58,9,2,0,1,1,3,0.59,3,0,0,0,0,0,Matches,Burnley
Aaron Lennon,eng ENG,MF,32,5.5,7,1.27,6,0,0,0,1,1,0.18,1,0,0,0,0,0,Matches,Burnley
Danny Drinkwater,eng ENG,MF,29,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Burnley
Max Thompson,eng ENG,FW,17,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Burnley
César Azpilicueta,es ESP,DF,29,35.9,79,2.20,71,2,1,2,3,7,0.20,6,1,0,0,0,0,Matches,Chelsea
Kepa Arrizabalaga,es ESP,GK,24,33.0,1,0.03,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Mason Mount,eng ENG,"MF,FW",20,31.9,115,3.61,69,29,3,5,9,16,0.50,9,4,1,0,2,0,Matches,Chelsea
Willian,br BRA,FW,30,28.9,145,5.02,98,31,6,4,6,13,0.45,10,1,0,1,1,0,Matches,Chelsea
Jorginho,it ITA,MF,27,26.4,65,2.46,61,0,0,1,3,6,0.23,5,0,0,0,1,0,Matches,Chelsea
Kurt Zouma,fr FRA,DF,24,26.0,14,0.54,12,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Tammy Abraham,eng ENG,FW,21,24.6,47,1.91,33,0,6,6,2,10,0.41,4,0,3,2,1,0,Matches,Chelsea
Mateo Kovačić,hr CRO,MF,25,23.0,64,2.78,60,0,2,1,1,7,0.30,7,0,0,0,0,0,Matches,Chelsea
Andreas Christensen,dk DEN,DF,23,19.5,11,0.57,10,0,0,1,0,1,0.05,1,0,0,0,0,0,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,28,19.2,51,2.65,47,0,0,1,3,1,0.05,1,0,0,0,0,0,Matches,Chelsea
Christian Pulisic,us USA,FW,20,19.1,79,4.13,51,0,16,4,8,13,0.68,7,0,2,1,3,0,Matches,Chelsea
Antonio Rüdiger,de GER,DF,26,19.0,9,0.47,8,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Reece James,eng ENG,DF,19,16.8,48,2.85,33,8,1,1,5,4,0.24,4,0,0,0,0,0,Matches,Chelsea
Marcos Alonso,es ESP,DF,28,15.9,47,2.96,36,5,1,2,3,6,0.38,4,0,0,0,2,0,Matches,Chelsea
Fikayo Tomori,eng ENG,DF,21,14.3,14,0.98,14,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Ross Barkley,eng ENG,MF,25,12.3,46,3.75,31,1,6,5,3,5,0.41,4,0,0,1,0,0,Matches,Chelsea
Emerson Palmieri,it ITA,DF,24,11.4,28,2.46,20,7,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Olivier Giroud,fr FRA,FW,32,11.0,20,1.81,14,0,1,3,2,4,0.36,2,0,1,1,0,0,Matches,Chelsea
Pedro,es ESP,FW,32,7.3,34,4.63,23,1,4,4,2,4,0.54,2,0,1,1,0,0,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,FW,18,9.6,45,4.69,35,1,4,3,2,6,0.63,6,0,0,0,0,0,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,2.3,2,0.87,2,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches,Chelsea
Billy Gilmour,sco SCO,MF,18,2.2,6,2.78,5,0,0,0,1,1,0.46,1,0,0,0,0,0,Matches,Chelsea
Michy Batshuayi,be BEL,FW,25,2.7,7,2.64,5,0,1,1,0,3,1.13,2,0,0,1,0,0,Matches,Chelsea
Tariq Lamptey,eng ENG,DF,18,0.4,1,2.81,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Faustino Anjorin,eng ENG,FW,17,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Armando Broja,al ALB,FW,17,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Chelsea
Wilfried Zaha,ci CIV,"MF,FW",26,36.4,105,2.88,62,0,22,5,15,8,0.22,4,0,0,1,2,1,Matches,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",27,35.0,66,1.89,43,0,11,1,11,7,0.20,3,0,3,0,1,0,Matches,Crystal Palace
James McArthur,sco SCO,MF,31,34.3,60,1.75,51,0,3,2,4,9,0.26,5,0,0,1,3,0,Matches,Crystal Palace
Vicente Guaita,es ESP,GK,32,35.0,3,0.09,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Crystal Palace
Cheikhou Kouyaté,sn SEN,"MF,DF",29,28.1,16,0.57,14,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches,Crystal Palace
Patrick van Aanholt,nl NED,DF,28,27.9,62,2.23,32,23,3,2,2,5,0.18,3,1,1,0,0,0,Matches,Crystal Palace
Luka Milivojević,rs SRB,MF,28,27.9,43,1.54,17,25,1,0,0,3,0.11,2,1,0,0,0,0,Matches,Crystal Palace
Joel Ward,eng ENG,DF,29,26.5,9,0.34,8,0,0,0,0,2,0.08,1,0,0,0,0,1,Matches,Crystal Palace
Gary Cahill,eng ENG,DF,33,24.1,8,0.33,5,1,0,2,0,1,0.04,1,0,0,0,0,0,Matches,Crystal Palace
James Tomkins,eng ENG,DF,30,17.6,5,0.28,4,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches,Crystal Palace
Martin Kelly,eng ENG,DF,29,17.2,9,0.52,9,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,Crystal Palace
James McCarthy,ie IRL,MF,28,18.7,28,1.50,14,13,0,1,0,3,0.16,1,2,0,0,0,0,Matches,Crystal Palace
Andros Townsend,eng ENG,MF,28,14.4,22,1.53,17,1,0,2,2,2,0.14,2,0,0,0,0,0,Matches,Crystal Palace
Scott Dann,eng ENG,DF,32,14.1,7,0.50,6,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,Crystal Palace
Christian Benteke,be BEL,FW,28,14.0,36,2.57,24,0,5,4,3,6,0.43,5,0,1,0,0,0,Matches,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,DF",26,11.5,13,1.13,9,0,1,1,2,2,0.17,2,0,0,0,0,0,Matches,Crystal Palace
Mamadou Sakho,fr FRA,DF,29,10.3,1,0.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Jaïro Riedewald,nl NED,"DF,MF",22,8.5,5,0.59,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Max Meyer,de GER,"MF,FW",23,7.3,11,1.51,10,0,0,0,1,1,0.14,1,0,0,0,0,0,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,32,3.0,1,0.33,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,DF,19,2.2,5,2.31,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Cenk Tosun,tr TUR,FW,28,2.0,2,1.02,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Connor Wickham,eng ENG,"FW,MF",26,1.1,2,1.87,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Brandon Pierrick,eng ENG,MF,17,0.2,,,,,,,,,,,,,,,,Matches,Crystal Palace
Víctor Camarasa,es ESP,MF,25,0.1,1,15.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,25,38.0,6,0.16,3,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Everton
Richarlison,br BRA,FW,22,34.1,78,2.29,45,0,10,8,14,10,0.29,5,0,2,1,1,1,Matches,Everton
Lucas Digne,fr FRA,DF,26,33.7,104,3.09,58,38,2,3,3,11,0.33,8,3,0,0,0,0,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,22,29.2,54,1.85,34,0,2,5,12,3,0.10,2,0,0,0,0,1,Matches,Everton
Gylfi Sigurðsson,is ISL,MF,29,28.4,80,2.81,32,31,4,11,2,8,0.28,4,2,1,1,0,0,Matches,Everton
Michael Keane,eng ENG,DF,26,28.4,10,0.35,10,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,Everton
Yerry Mina,co COL,DF,24,25.4,13,0.51,8,0,0,5,0,2,0.08,1,0,0,1,0,0,Matches,Everton
Mason Holgate,eng ENG,DF,22,22.8,17,0.74,9,0,1,6,1,5,0.22,3,0,0,2,0,0,Matches,Everton
Tom Davies,eng ENG,MF,21,22.5,24,1.07,17,0,2,3,2,0,0.00,0,0,0,0,0,0,Matches,Everton
Séamus Coleman,ie IRL,DF,30,20.4,23,1.13,16,2,3,2,0,3,0.15,2,0,0,1,0,0,Matches,Everton
Alex Iwobi,ng NGA,"MF,FW",23,17.7,44,2.48,41,0,2,1,0,2,0.11,2,0,0,0,0,0,Matches,Everton
Djibril Sidibé,fr FRA,DF,27,20.3,35,1.73,30,3,0,0,2,4,0.20,4,0,0,0,0,0,Matches,Everton
