player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches,team
Neil Taylor,wal WAL,DF,30,12.1,2,0,0,8,6,0,9,20,9,0,0,0,94,10,16,38.5,Matches,Aston Villa
Ahmed Elmohamady,eg EGY,DF,31,11.5,1,0,0,13,5,2,58,13,17,0,0,0,114,25,20,55.6,Matches,Aston Villa
Mbwana Samatta,tz TAN,FW,26,10.5,1,0,0,8,18,8,3,1,7,0,0,0,35,34,78,30.4,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,6.0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,,Matches,Aston Villa
Keinan Davis,eng ENG,FW,21,6.1,0,0,0,12,11,3,1,0,2,0,0,0,27,23,39,37.1,Matches,Aston Villa
Jota,es ESP,"FW,MF",28,3.7,0,0,0,6,2,0,2,3,2,0,0,0,24,1,5,16.7,Matches,Aston Villa
Danny Drinkwater,eng ENG,MF,29,2.9,1,0,0,7,1,0,1,5,5,0,0,0,46,2,2,50.0,Matches,Aston Villa
Henri Lansbury,eng ENG,MF,28,2.2,0,0,0,4,1,0,1,0,2,0,0,0,26,2,6,25.0,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Aston Villa
Jonathan Kodjia,ci CIV,"FW,MF",29,1.3,1,0,0,1,2,0,0,0,0,0,0,0,5,5,4,55.6,Matches,Aston Villa
Indiana Vassilev,us USA,"FW,MF",18,0.6,0,0,0,0,1,2,0,0,1,0,0,0,3,0,2,0.0,Matches,Aston Villa
Borja Bastón,es ESP,"MF,FW",26,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,25.0,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37.0,0,0,0,0,3,0,1,0,0,0,0,0,198,0,0,,Matches,Bournemouth
Callum Wilson,eng ENG,FW,27,32.3,10,0,0,55,40,34,21,3,12,2,0,0,125,54,152,26.2,Matches,Bournemouth
Jefferson Lerma,co COL,MF,24,30.0,13,1,1,42,37,1,6,54,49,0,0,0,452,53,36,59.6,Matches,Bournemouth
Philip Billing,dk DEN,MF,23,28.1,8,0,0,38,23,2,15,71,46,0,0,0,321,107,66,61.8,Matches,Bournemouth
Nathan Aké,nl NED,DF,24,27.8,2,0,0,9,13,3,4,33,11,0,0,0,247,64,58,52.5,Matches,Bournemouth
Steve Cook,eng ENG,DF,28,27.0,6,1,0,17,15,1,2,45,13,0,1,0,287,108,61,63.9,Matches,Bournemouth
Diego Rico,es ESP,DF,26,25.9,6,0,0,18,22,2,174,80,42,0,0,0,314,37,25,59.7,Matches,Bournemouth
Adam Smith,eng ENG,DF,28,22.8,7,0,0,25,40,2,28,25,30,0,2,0,194,36,30,54.5,Matches,Bournemouth
Joshua King,no NOR,"FW,MF",27,22.3,0,0,0,37,27,7,23,5,15,0,0,0,130,39,67,36.8,Matches,Bournemouth
Ryan Fraser,sco SCO,"MF,FW",25,23.0,2,0,0,10,36,1,173,16,8,0,0,0,139,10,26,27.8,Matches,Bournemouth
Harry Wilson,wal WAL,"MF,FW",22,18.3,2,0,0,12,41,1,35,12,11,0,2,0,146,10,19,34.5,Matches,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",21,18.3,1,0,0,15,23,4,6,8,10,0,0,0,120,51,102,33.3,Matches,Bournemouth
Jack Stacey,eng ENG,DF,23,17.2,2,0,0,10,10,1,34,21,13,0,0,0,185,22,18,55.0,Matches,Bournemouth
Lewis Cook,eng ENG,MF,22,15.0,5,0,0,23,11,0,9,21,16,0,0,0,168,14,16,46.7,Matches,Bournemouth
Dan Gosling,eng ENG,MF,29,14.0,3,0,0,21,17,2,3,20,20,0,0,0,130,22,30,42.3,Matches,Bournemouth
Simon Francis,eng ENG,DF,34,10.8,5,1,1,7,1,0,16,20,12,0,0,0,118,48,28,63.2,Matches,Bournemouth
Chris Mepham,wal WAL,DF,21,10.1,1,0,0,11,5,1,3,17,14,0,0,0,106,36,21,63.2,Matches,Bournemouth
David Brooks,wal WAL,MF,22,5.6,1,0,0,4,6,0,24,3,3,0,0,0,26,0,6,0.0,Matches,Bournemouth
Junior Stanislas,eng ENG,"MF,DF",29,7.9,1,0,0,5,4,1,37,5,6,0,0,0,60,9,6,60.0,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,20,7.1,2,0,0,7,2,0,6,6,6,0,0,0,70,9,16,36.0,Matches,Bournemouth
Arnaut Groeneveld,nl NED,MF,22,7.0,0,0,0,0,5,5,9,8,5,0,0,0,36,3,10,23.1,Matches,Bournemouth
Andrew Surman,eng ENG,MF,32,2.6,1,0,0,1,1,0,3,1,2,0,0,0,40,5,7,41.7,Matches,Bournemouth
Charlie Daniels,eng ENG,DF,32,1.4,0,0,0,0,0,0,5,1,0,0,0,0,9,2,1,66.7,Matches,Bournemouth
Jack Simpson,eng ENG,DF,22,2.7,0,0,0,1,1,0,0,2,2,0,0,0,22,4,2,66.7,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches,Bournemouth
Jordon Ibe,eng ENG,DF,23,0.6,0,0,0,0,2,0,3,0,3,0,0,0,7,0,0,,Matches,Bournemouth
Sam Surridge,eng ENG,FW,21,0.3,0,0,0,1,1,0,1,1,0,0,0,0,1,4,4,50.0,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38.0,0,0,0,0,4,0,0,2,0,0,0,0,184,0,0,,Matches,Brighton
