player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches,team
André Gomes,pt POR,MF,26,16.2,6,0,0,38,19,0,12,7,24,0,1,0,171,13,15,46.4,Matches,Everton
Theo Walcott,eng ENG,"MF,FW",30,14.3,1,0,0,9,17,10,41,8,8,0,0,0,101,7,18,28.0,Matches,Everton
Bernard,br BRA,"MF,FW",26,14.2,2,0,0,19,10,0,36,16,14,0,0,0,115,1,15,6.3,Matches,Everton
Fabian Delph,eng ENG,MF,29,13.2,5,1,1,18,7,0,8,16,11,0,0,0,175,12,10,54.5,Matches,Everton
Morgan Schneiderlin,fr FRA,MF,29,11.1,6,1,1,18,2,0,8,21,19,0,0,0,127,18,11,62.1,Matches,Everton
Moise Kean,it ITA,FW,19,9.5,1,0,0,27,11,4,12,6,6,0,0,0,40,7,31,18.4,Matches,Everton
Anthony Gordon,eng ENG,"MF,FW",18,4.9,0,0,0,9,12,1,8,8,6,0,0,0,23,0,7,0.0,Matches,Everton
Leighton Baines,eng ENG,DF,34,4.5,0,0,0,1,4,0,27,5,6,0,0,0,29,6,6,50.0,Matches,Everton
Jarrad Branthwaite,eng ENG,DF,17,3.3,0,0,0,3,3,0,0,1,7,0,0,0,24,8,11,42.1,Matches,Everton
Cenk Tosun,tr TUR,FW,28,3.2,0,0,0,4,4,1,2,0,0,0,0,0,12,7,15,31.8,Matches,Everton
Jean-Philippe Gbamin,ci CIV,MF,23,1.5,0,0,0,2,2,0,0,1,4,0,0,0,15,2,2,50.0,Matches,Everton
Oumar Niasse,sn SEN,FW,29,0.2,0,0,0,2,0,0,1,1,1,0,0,0,1,0,4,0.0,Matches,Everton
Kasper Schmeichel,dk DEN,GK,32,38.0,2,0,0,0,7,0,0,0,0,0,0,0,184,0,0,,Matches,Leicester City
Jonny Evans,nir NIR,DF,31,37.6,8,1,0,36,27,2,8,58,31,1,1,1,434,141,59,70.5,Matches,Leicester City
Çağlar Söyüncü,tr TUR,DF,23,33.7,4,1,0,29,20,1,4,43,47,0,2,0,363,122,56,68.5,Matches,Leicester City
Jamie Vardy,eng ENG,FW,32,33.7,2,0,0,19,12,28,33,2,11,1,0,0,91,53,99,34.9,Matches,Leicester City
Youri Tielemans,be BEL,MF,22,31.4,2,0,0,33,49,1,82,29,40,0,0,0,287,29,28,50.9,Matches,Leicester City
Wilfred Ndidi,ng NGA,MF,22,29.7,6,0,0,56,27,1,3,84,76,0,3,0,430,77,62,55.4,Matches,Leicester City
James Maddison,eng ENG,MF,22,29.2,4,0,0,36,88,4,220,10,39,0,0,0,218,6,29,17.1,Matches,Leicester City
Ricardo Pereira,pt POR,DF,25,28.0,1,0,0,44,37,0,57,43,68,0,1,0,227,38,41,48.1,Matches,Leicester City
Ben Chilwell,eng ENG,DF,22,26.4,3,0,0,28,30,1,104,28,26,0,0,0,241,62,22,73.8,Matches,Leicester City
Ayoze Pérez,es ESP,"MF,FW",26,22.3,0,0,0,30,30,7,29,13,34,0,0,0,138,23,44,34.3,Matches,Leicester City
Harvey Barnes,eng ENG,"MF,FW",21,23.1,0,0,0,21,29,4,42,5,12,1,0,0,118,25,39,39.1,Matches,Leicester City
Dennis Praet,be BEL,MF,25,12.6,2,0,0,17,13,1,21,15,18,0,1,0,144,5,9,35.7,Matches,Leicester City
Kelechi Iheanacho,ng NGA,FW,22,10.7,1,0,0,24,13,9,2,4,5,2,0,0,42,3,29,9.4,Matches,Leicester City
James Justin,eng ENG,DF,21,11.2,1,0,0,8,20,1,38,9,19,0,1,1,127,16,26,38.1,Matches,Leicester City
Hamza Choudhury,eng ENG,MF,21,9.9,4,1,1,12,7,0,4,27,13,0,0,0,104,11,8,57.9,Matches,Leicester City
Marc Albrighton,eng ENG,"MF,DF",29,9.6,2,0,0,8,11,1,68,8,11,0,1,0,90,2,5,28.6,Matches,Leicester City
Christian Fuchs,at AUT,DF,33,8.6,0,0,0,3,0,1,16,16,9,0,0,0,79,22,17,56.4,Matches,Leicester City
Wes Morgan,jm JAM,DF,35,4.8,0,0,0,4,1,0,0,7,4,0,0,0,43,15,14,51.7,Matches,Leicester City
Nampalys Mendy,fr FRA,MF,27,3.2,0,0,0,4,8,0,2,6,4,0,0,0,34,5,1,83.3,Matches,Leicester City
Demarai Gray,eng ENG,"MF,FW",23,6.9,1,0,0,2,10,3,31,5,5,1,0,0,63,3,7,30.0,Matches,Leicester City
Ryan Bennett,eng ENG,DF,29,3.7,0,0,0,3,0,0,2,7,2,0,0,0,43,10,11,47.6,Matches,Leicester City
Luke Thomas,eng ENG,DF,,3.0,0,0,0,1,3,0,16,4,3,0,0,0,27,3,10,23.1,Matches,Leicester City
George Hirst,eng ENG,FW,20,0.1,0,0,0,0,2,0,0,0,0,0,0,0,2,4,1,80.0,Matches,Leicester City
Matty James,eng ENG,MF,28,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Leicester City
Virgil van Dijk,nl NED,DF,28,38.0,1,0,0,16,25,1,0,35,20,0,0,0,505,183,43,81.0,Matches,Liverpool
Trent Alexander-Arnold,eng ENG,DF,20,35.3,5,0,0,22,9,3,377,46,25,0,0,0,352,14,32,30.4,Matches,Liverpool
Georginio Wijnaldum,nl NED,MF,28,32.6,0,0,0,15,32,1,5,18,29,0,0,0,296,37,53,41.1,Matches,Liverpool
Andrew Robertson,sco SCO,DF,25,34.6,2,0,0,18,13,2,204,38,32,0,0,0,340,25,32,43.9,Matches,Liverpool
Roberto Firmino,br BRA,FW,27,33.2,0,0,0,29,16,6,8,8,26,0,0,0,191,29,74,28.2,Matches,Liverpool
Mohamed Salah,eg EGY,FW,27,32.0,1,0,0,17,18,20,45,8,13,1,0,0,167,13,48,21.3,Matches,Liverpool
Sadio Mané,sn SEN,FW,27,30.5,3,0,0,46,51,14,49,14,35,2,0,0,169,35,79,30.7,Matches,Liverpool
Alisson,br BRA,GK,26,28.3,0,1,0,1,1,0,0,1,0,0,0,0,153,0,0,,Matches,Liverpool
Jordan Henderson,eng ENG,MF,29,24.9,2,0,0,31,12,0,58,29,36,0,0,0,322,25,10,71.4,Matches,Liverpool
Fabinho,br BRA,MF,25,23.1,6,0,0,32,20,0,9,35,53,0,0,0,326,41,30,57.7,Matches,Liverpool
Joe Gomez,eng ENG,DF,22,22.3,7,0,0,21,13,0,9,41,15,0,1,0,351,72,44,62.1,Matches,Liverpool
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25,16.5,1,0,0,17,14,2,45,22,14,0,0,1,133,13,26,33.3,Matches,Liverpool
James Milner,eng ENG,"MF,DF",33,10.4,4,0,0,11,12,1,20,8,10,0,0,0,102,16,8,66.7,Matches,Liverpool
Adrián,es ESP,GK,32,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,,Matches,Liverpool
Naby Keïta,gn GUI,MF,24,9.1,1,0,0,9,10,1,7,11,20,0,0,0,99,8,7,53.3,Matches,Liverpool
Dejan Lovren,hr CRO,DF,30,8.6,1,0,0,4,8,0,1,11,9,0,0,0,107,39,21,65.0,Matches,Liverpool
Joël Matip,cm CMR,DF,27,7.8,0,0,0,7,6,0,1,13,9,0,0,0,92,46,5,90.2,Matches,Liverpool
Divock Origi,be BEL,FW,24,8.0,1,0,0,12,16,0,18,4,10,1,0,0,43,14,24,36.8,Matches,Liverpool
Adam Lallana,eng ENG,"MF,FW",31,4.2,1,0,0,7,8,1,3,4,12,0,0,0,51,7,11,38.9,Matches,Liverpool
Neco Williams,wal WAL,DF,18,2.6,1,0,0,5,2,0,14,8,2,0,0,0,36,5,4,55.6,Matches,Liverpool
Takumi Minamino,jp JPN,"FW,MF",24,2.8,0,0,0,7,3,0,3,0,3,0,0,0,11,5,5,50.0,Matches,Liverpool
Xherdan Shaqiri,ch SUI,FW,27,2.1,0,0,0,1,3,1,6,0,0,0,0,0,17,3,4,42.9,Matches,Liverpool
Curtis Jones,eng ENG,MF,18,1.4,0,0,0,3,0,0,0,2,2,0,0,0,20,2,3,40.0,Matches,Liverpool
Harvey Elliot,eng ENG,DF,16,0.1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,,Matches,Liverpool
Ederson,br BRA,GK,25,34.1,3,1,0,2,2,0,0,2,1,0,0,0,155,0,0,,Matches,Manchester City
Kevin De Bruyne,be BEL,MF,28,31.0,3,0,0,26,28,3,304,19,28,0,0,0,232,18,22,45.0,Matches,Manchester City
Raheem Sterling,eng ENG,FW,24,29.5,5,0,0,30,40,12,50,14,29,3,0,0,160,20,35,36.4,Matches,Manchester City
Rodri,es ESP,MF,23,27.6,8,0,0,43,32,0,8,28,44,0,0,0,372,69,33,67.6,Matches,Manchester City
Kyle Walker,eng ENG,DF,29,26.6,5,0,0,27,15,3,55,29,23,0,0,0,268,33,38,46.5,Matches,Manchester City
Fernandinho,br BRA,DF,34,26.6,9,2,1,26,17,1,5,25,25,0,0,1,310,73,36,67.0,Matches,Manchester City
Bernardo Silva,pt POR,"FW,MF",24,22.6,5,0,0,23,20,2,71,26,26,0,1,0,183,11,28,28.2,Matches,Manchester City
David Silva,es ESP,MF,33,20.3,0,0,0,20,20,3,35,12,16,0,0,0,164,8,15,34.8,Matches,Manchester City
Gabriel Jesus,br BRA,FW,22,22.6,3,0,0,26,29,18,6,14,19,0,0,0,119,35,64,35.4,Matches,Manchester City
İlkay Gündoğan,de GER,MF,28,22.4,7,0,0,16,14,2,30,30,19,0,1,0,219,17,7,70.8,Matches,Manchester City
Riyad Mahrez,dz ALG,FW,28,21.6,0,0,0,13,29,13,88,19,21,5,0,0,140,10,23,30.3,Matches,Manchester City
Nicolás Otamendi,ar ARG,DF,31,19.1,3,0,0,21,1,0,0,19,12,0,0,0,164,59,27,68.6,Matches,Manchester City
Benjamin Mendy,fr FRA,DF,25,16.6,3,0,0,12,1,1,86,17,17,0,0,0,122,17,16,51.5,Matches,Manchester City
Sergio Agüero,ar ARG,FW,31,16.1,1,0,0,9,9,6,10,3,5,2,0,0,61,2,14,12.5,Matches,Manchester City
Aymeric Laporte,fr FRA,DF,25,12.2,1,0,0,9,9,0,0,19,8,0,0,0,136,28,14,66.7,Matches,Manchester City
Oleksandr Zinchenko,ua UKR,DF,22,14.2,2,1,1,13,2,1,53,15,16,0,0,0,155,28,19,59.6,Matches,Manchester City
João Cancelo,pt POR,DF,25,13.4,4,0,0,17,8,0,47,22,26,0,0,0,152,22,20,52.4,Matches,Manchester City
John Stones,eng ENG,DF,25,12.5,0,0,0,5,1,1,0,8,12,0,0,0,153,38,20,65.5,Matches,Manchester City
Phil Foden,eng ENG,"FW,MF",19,10.0,0,0,0,12,13,1,28,7,9,0,0,0,61,8,17,32.0,Matches,Manchester City
Eric García,es ESP,DF,18,8.8,1,0,0,9,2,0,1,18,4,0,0,0,65,10,12,45.5,Matches,Manchester City
Angeliño,es ESP,DF,22,4.7,1,0,0,2,2,0,42,9,5,0,0,0,49,8,8,50.0,Matches,Manchester City
Claudio Bravo,cl CHI,GK,36,3.9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches,Manchester City
Thomas Doyle,eng ENG,"MF,FW",17,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,Manchester City
Leroy Sané,de GER,FW,23,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Manchester City
David de Gea,es ESP,GK,28,38.0,2,0,0,0,6,0,0,0,0,0,0,0,145,0,0,,Matches,Manchester Utd
Harry Maguire,eng ENG,DF,26,38.0,6,0,0,33,22,6,2,75,27,0,0,0,434,193,68,73.9,Matches,Manchester Utd
Victor Lindelöf,se SWE,DF,25,34.4,6,0,0,22,6,0,2,26,16,0,0,1,406,95,49,66.0,Matches,Manchester Utd
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,8,0,0,22,19,1,102,65,65,0,1,0,302,28,24,53.8,Matches,Manchester Utd
Marcus Rashford,eng ENG,FW,21,29.4,3,0,0,21,45,13,32,9,6,4,0,0,140,20,46,30.3,Matches,Manchester Utd
Anthony Martial,fr FRA,FW,23,29.2,1,0,0,28,41,12,11,4,12,1,0,0,76,21,61,25.6,Matches,Manchester Utd
Daniel James,wal WAL,FW,21,25.4,4,0,0,14,55,2,96,8,15,1,0,0,153,8,26,23.5,Matches,Manchester Utd
Fred,br BRA,MF,26,24.0,8,0,0,42,36,1,63,38,51,0,0,0,326,8,16,33.3,Matches,Manchester Utd
Scott McTominay,sco SCO,MF,22,19.7,2,0,0,36,53,0,14,33,31,1,0,0,237,42,29,59.2,Matches,Manchester Utd
Luke Shaw,eng ENG,DF,24,19.3,7,0,0,23,10,4,37,22,24,0,0,0,205,32,23,58.2,Matches,Manchester Utd
Nemanja Matić,rs SRB,MF,30,17.6,3,0,0,27,18,0,3,23,21,0,0,0,242,27,18,60.0,Matches,Manchester Utd
Andreas Pereira,br BRA,"MF,FW",23,16.5,3,0,0,26,16,3,62,6,12,0,0,0,120,13,27,32.5,Matches,Manchester Utd
Bruno Fernandes,pt POR,MF,24,13.2,2,0,0,9,14,2,75,9,14,2,0,0,91,2,10,16.7,Matches,Manchester Utd
Paul Pogba,fr FRA,MF,26,13.4,1,0,0,26,19,2,6,5,16,2,1,0,166,27,10,73.0,Matches,Manchester Utd
Mason Greenwood,eng ENG,FW,17,14.7,0,0,0,12,8,3,10,8,13,0,0,0,70,6,14,30.0,Matches,Manchester Utd
Brandon Williams,eng ENG,DF,18,11.2,6,0,0,13,15,1,13,11,5,1,0,0,93,12,10,54.5,Matches,Manchester Utd
Ashley Young,eng ENG,DF,34,10.6,5,0,0,14,16,0,62,10,4,0,0,0,95,15,9,62.5,Matches,Manchester Utd
Jesse Lingard,eng ENG,"MF,FW",26,10.4,3,0,0,28,11,0,7,2,9,0,0,0,52,1,10,9.1,Matches,Manchester Utd
Juan Mata,es ESP,"MF,FW",31,8.4,1,0,0,7,10,4,23,0,7,0,0,0,48,3,7,30.0,Matches,Manchester Utd
Axel Tuanzebe,eng ENG,DF,21,2.1,0,0,0,3,3,0,1,5,3,0,0,0,26,3,10,23.1,Matches,Manchester Utd
Timothy Fosu-Mensah,nl NED,DF,21,1.5,1,0,0,5,0,1,2,5,1,0,0,0,9,1,2,33.3,Matches,Manchester Utd
Phil Jones,eng ENG,DF,27,1.5,0,0,0,3,1,0,1,4,2,0,0,0,19,12,5,70.6,Matches,Manchester Utd
Eric Bailly,ci CIV,DF,25,1.7,0,0,0,2,0,0,0,3,0,0,1,0,22,6,1,85.7,Matches,Manchester Utd
Marcos Rojo,ar ARG,DF,29,1.4,1,0,0,2,1,0,3,0,1,0,0,0,7,3,1,75.0,Matches,Manchester Utd
Diogo Dalot,pt POR,DF,20,0.7,0,0,0,1,0,0,3,2,2,0,0,0,8,4,0,100.0,Matches,Manchester Utd
Odion Ighalo,ng NGA,FW,30,1.1,0,0,0,1,1,1,0,0,2,0,0,0,5,0,1,0.0,Matches,Manchester Utd
Tahith Chong,nl NED,"FW,MF",19,0.4,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0.0,Matches,Manchester Utd
Angel Gomes,eng ENG,MF,18,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,Manchester Utd
James Garner,eng ENG,MF,18,0.1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches,Manchester Utd
Martin Dúbravka,sk SVK,GK,30,38.0,0,0,0,0,4,0,0,1,0,0,0,0,170,0,0,,Matches,Newcastle Utd
Miguel Almirón,py PAR,"MF,FW",25,33.6,5,0,0,30,58,24,42,30,36,0,0,0,228,9,37,19.6,Matches,Newcastle Utd
Joelinton,br BRA,FW,22,29.8,7,0,0,32,39,20,5,11,19,0,0,0,180,146,226,39.2,Matches,Newcastle Utd
Federico Fernández,ar ARG,DF,30,29.1,8,0,0,17,20,2,27,22,32,0,0,1,250,67,50,57.3,Matches,Newcastle Utd
Isaac Hayden,eng ENG,MF,24,24.7,4,1,0,26,21,2,38,36,37,0,0,0,257,47,35,57.3,Matches,Newcastle Utd
Jonjo Shelvey,eng ENG,MF,27,23.5,3,0,0,17,6,1,87,22,16,0,0,0,237,18,11,62.1,Matches,Newcastle Utd
Jamaal Lascelles,eng ENG,DF,25,23.1,5,0,0,22,18,2,0,29,10,0,0,0,260,83,38,68.6,Matches,Newcastle Utd
Allan Saint-Maximin,fr FRA,"MF,FW",22,20.7,0,0,0,18,48,3,44,9,11,0,0,0,135,7,20,25.9,Matches,Newcastle Utd
Fabian Schär,ch SUI,"DF,MF",27,18.6,5,0,0,29,25,2,12,51,27,0,0,0,173,35,27,56.5,Matches,Newcastle Utd
Javier Manquillo,es ESP,DF,25,17.8,5,0,0,19,11,1,45,20,32,0,1,0,119,18,22,45.0,Matches,Newcastle Utd
Jetro Willems,nl NED,DF,25,16.6,0,0,0,10,17,1,32,16,19,0,0,0,138,19,14,57.6,Matches,Newcastle Utd
Sean Longstaff,eng ENG,MF,21,15.3,2,1,0,17,26,0,30,21,21,0,0,0,170,12,20,37.5,Matches,Newcastle Utd
Matt Ritchie,sco SCO,"DF,MF",29,14.6,4,0,0,26,16,0,100,12,17,0,1,0,117,20,19,51.3,Matches,Newcastle Utd
Paul Dummett,wal WAL,DF,27,13.6,2,0,0,4,6,0,15,19,6,0,0,1,121,35,23,60.3,Matches,Newcastle Utd
Ciaran Clark,ie IRL,DF,29,13.2,3,0,0,9,7,0,0,13,12,0,0,0,100,31,31,50.0,Matches,Newcastle Utd
Emil Krafth,se SWE,DF,24,11.3,0,0,0,4,7,0,20,9,12,0,0,0,84,10,8,55.6,Matches,Newcastle Utd
DeAndre Yedlin,us USA,DF,26,10.4,3,0,0,8,9,2,26,9,14,0,0,0,63,7,15,31.8,Matches,Newcastle Utd
Danny Rose,eng ENG,DF,29,9.6,2,0,0,11,22,0,8,9,15,0,0,0,86,9,12,42.9,Matches,Newcastle Utd
Dwight Gayle,eng ENG,FW,28,9.4,2,0,0,6,13,2,3,2,10,0,0,0,25,23,46,33.3,Matches,Newcastle Utd
Nabil Bentaleb,dz ALG,MF,24,8.3,2,0,0,19,5,0,0,19,23,0,0,0,109,15,10,60.0,Matches,Newcastle Utd
Christian Atsu,gh GHA,"FW,MF",27,8.3,2,0,0,11,10,4,17,2,9,0,0,0,50,7,12,36.8,Matches,Newcastle Utd
Matthew Longstaff,eng ENG,MF,19,6.4,1,0,0,6,6,0,2,6,3,0,0,0,57,4,3,57.1,Matches,Newcastle Utd
Andy Carroll,eng ENG,FW,30,7.0,1,0,0,17,15,6,5,1,1,0,0,0,43,78,61,56.1,Matches,Newcastle Utd
Valentino Lazaro,at AUT,"DF,MF",23,5.3,0,1,0,3,2,0,13,3,2,0,0,0,39,4,9,30.8,Matches,Newcastle Utd
Florian Lejeune,fr FRA,DF,28,4.9,0,0,0,6,4,0,2,11,6,0,0,0,64,13,4,76.5,Matches,Newcastle Utd
Yoshinori Mutō,jp JPN,"FW,MF",27,2.4,0,0,0,2,3,3,1,0,2,0,0,0,9,1,6,14.3,Matches,Newcastle Utd
Ki Sung-yueng,kr KOR,MF,30,1.5,0,0,0,1,3,0,4,2,1,0,0,0,14,2,0,100.0,Matches,Newcastle Utd
Kelland Watts,eng ENG,DF,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,Newcastle Utd
Max Aarons,eng ENG,DF,19,36.0,7,0,0,29,49,3,72,35,36,1,0,0,281,23,42,35.4,Matches,Norwich City
Tim Krul,nl NED,GK,31,36.0,4,0,0,1,6,0,0,1,0,0,1,1,160,0,0,,Matches,Norwich City
Teemu Pukki,fi FIN,FW,29,32.1,3,0,0,23,15,17,9,6,12,0,0,0,113,6,50,10.7,Matches,Norwich City
Kenny McLean,sco SCO,MF,27,33.0,5,0,0,24,58,1,53,38,31,0,1,0,327,87,87,50.0,Matches,Norwich City
Ben Godfrey,eng ENG,DF,21,29.4,3,1,0,14,9,0,3,26,22,0,1,1,275,72,37,66.1,Matches,Norwich City
Todd Cantwell,eng ENG,"FW,MF",21,27.7,6,0,0,33,66,3,25,16,29,0,1,0,179,16,42,27.6,Matches,Norwich City
Emi Buendía,ar ARG,"FW,MF",22,27.4,6,1,0,36,54,2,166,22,58,0,0,0,232,23,54,29.9,Matches,Norwich City
Alexander Tettey,no NOR,"MF,DF",33,26.0,5,0,0,21,7,0,4,43,20,0,0,0,327,37,23,61.7,Matches,Norwich City
Jamal Lewis,nir NIR,DF,21,25.6,4,0,0,15,23,2,44,28,31,0,0,0,206,12,25,32.4,Matches,Norwich City
Christoph Zimmermann,de GER,DF,26,15.9,3,0,0,9,9,0,0,18,21,0,2,0,146,39,12,76.5,Matches,Norwich City
Sam Byram,eng ENG,DF,25,14.4,4,0,0,16,8,1,7,24,23,0,0,0,152,42,30,58.3,Matches,Norwich City
Onel Hernández,cu CUB,"FW,MF",26,15.4,0,0,0,14,18,8,24,19,27,0,0,0,90,3,23,11.5,Matches,Norwich City
Grant Hanley,sco SCO,DF,27,14.0,4,0,0,12,20,0,0,30,17,0,0,1,107,44,16,73.3,Matches,Norwich City
Marco Stiepermann,de GER,MF,28,13.1,6,0,0,22,15,0,6,5,7,0,0,0,67,14,59,19.2,Matches,Norwich City
Tom Trybull,de GER,MF,26,12.6,2,0,0,26,11,2,0,16,30,0,0,0,130,23,17,57.5,Matches,Norwich City
Ondrej Duda,sk SVK,MF,24,8.0,0,0,0,9,13,2,43,6,15,0,0,0,66,8,20,28.6,Matches,Norwich City
Ibrahim Amadou,fr FRA,"DF,MF",26,8.4,1,0,0,8,2,0,1,17,7,0,1,0,75,15,14,51.7,Matches,Norwich City
Lukas Rupp,de GER,"FW,MF",28,7.7,1,0,0,10,6,0,2,14,9,0,0,0,69,4,17,19.0,Matches,Norwich City
Moritz Leitner,de GER,MF,26,7.6,1,0,0,9,11,0,5,8,9,0,0,0,77,5,6,45.5,Matches,Norwich City
Timm Klose,ch SUI,DF,31,6.5,0,0,0,8,7,0,0,8,4,0,0,0,78,17,15,53.1,Matches,Norwich City
Mario Vrančić,ba BIH,MF,30,7.1,3,0,0,13,13,1,7,8,14,0,0,0,88,9,13,40.9,Matches,Norwich City
Josip Drmić,ch SUI,"FW,MF",26,7.2,0,1,0,6,4,7,3,1,3,0,0,0,49,12,40,23.1,Matches,Norwich City
Adam Idah,ie IRL,"FW,MF",18,2.5,0,0,0,2,4,1,0,0,4,0,0,0,12,4,9,30.8,Matches,Norwich City
Michael McGovern,nir NIR,GK,35,1.8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches,Norwich City
Ralf Fährmann,de GER,GK,30,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,Norwich City
Dennis Srbeny,de GER,"MF,FW",25,0.5,0,0,0,1,0,0,0,0,4,0,0,0,5,1,5,16.7,Matches,Norwich City
Josh Martin,eng ENG,FW,17,0.4,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,,Matches,Norwich City
Patrick Roberts,eng ENG,"MF,FW",22,0.3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,,Matches,Norwich City
Akin Famewo,eng ENG,MF,20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,Norwich City
Jordan Thomas,eng ENG,FW,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,Norwich City
George Baldock,eng ENG,DF,26,38.0,7,0,0,47,44,11,128,37,45,1,0,0,303,37,55,40.2,Matches,Sheffield Utd
Enda Stevens,ie IRL,DF,29,37.2,7,0,0,39,19,2,121,36,43,0,0,0,341,35,26,57.4,Matches,Sheffield Utd
Chris Basham,eng ENG,DF,31,36.0,4,0,0,26,31,5,50,73,50,0,1,0,412,105,65,61.8,Matches,Sheffield Utd
Oliver Norwood,nir NIR,MF,28,34.3,8,0,0,32,16,1,198,51,44,0,1,0,463,43,30,58.9,Matches,Sheffield Utd
Dean Henderson,eng ENG,GK,22,36.0,2,0,0,0,2,0,0,0,0,0,0,0,199,1,0,100.0,Matches,Sheffield Utd
John Egan,ie IRL,DF,26,35.4,5,1,1,33,20,1,2,56,27,0,1,0,370,140,57,71.1,Matches,Sheffield Utd
Jack O'Connell,eng ENG,DF,25,32.4,4,0,0,21,17,2,51,41,20,0,0,0,376,126,47,72.8,Matches,Sheffield Utd
John Fleck,sco SCO,MF,27,28.0,8,0,0,25,22,1,147,24,24,0,0,0,250,12,25,32.4,Matches,Sheffield Utd
John Lundstram,eng ENG,MF,25,27.3,5,0,0,28,12,7,55,33,33,0,0,0,235,26,35,42.6,Matches,Sheffield Utd
Oliver McBurnie,sco SCO,FW,23,23.5,4,0,0,28,28,4,10,18,21,0,0,0,141,188,193,49.3,Matches,Sheffield Utd
David McGoldrick,ie IRL,FW,31,20.2,2,0,0,29,18,12,8,3,26,0,0,0,112,73,120,37.8,Matches,Sheffield Utd
Sander Berge,no NOR,MF,21,10.5,0,0,0,18,5,1,23,10,17,0,0,0,94,30,16,65.2,Matches,Sheffield Utd
Lys Mousset,fr FRA,FW,23,13.8,1,0,0,24,14,16,4,4,4,0,0,0,66,13,84,13.4,Matches,Sheffield Utd
Billy Sharp,eng ENG,FW,33,11.7,1,1,0,20,32,12,12,1,5,0,0,0,55,13,44,22.8,Matches,Sheffield Utd
Callum Robinson,ie IRL,FW,24,7.5,1,0,0,11,4,1,15,5,4,0,0,0,32,3,21,12.5,Matches,Sheffield Utd
Ben Osborn,eng ENG,"MF,DF",24,6.6,0,0,0,9,6,1,16,6,10,0,0,0,58,9,7,56.3,Matches,Sheffield Utd
Jack Robinson,eng ENG,DF,25,5.6,0,0,0,4,4,1,6,7,3,0,0,0,60,13,7,65.0,Matches,Sheffield Utd
Luke Freeman,eng ENG,MF,27,4.1,2,0,0,6,5,0,15,9,4,0,0,0,36,5,4,55.6,Matches,Sheffield Utd
Muhamed Bešić,ba BIH,MF,26,2.8,2,0,0,6,2,0,1,2,6,0,0,0,28,5,5,50.0,Matches,Sheffield Utd
Phil Jagielka,eng ENG,DF,36,2.7,0,0,0,1,4,0,1,4,4,0,0,0,28,11,4,73.3,Matches,Sheffield Utd
Simon Moore,eng ENG,GK,29,2.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches,Sheffield Utd
Richairo Živković,nl NED,FW,22,1.2,0,0,0,1,1,0,1,0,2,0,0,0,2,1,9,10.0,Matches,Sheffield Utd
Leon Clarke,eng ENG,"FW,MF",34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7,Matches,Sheffield Utd
Jack Rodwell,eng ENG,MF,28,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,Sheffield Utd
Ravel Morrison,eng ENG,MF,26,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches,Sheffield Utd
Kieron Freeman,wal WAL,FW,27,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches,Sheffield Utd
James Ward-Prowse,eng ENG,"MF,DF",24,38.0,9,0,0,56,43,0,265,54,56,1,0,0,481,73,52,58.4,Matches,Southampton
Jan Bednarek,pl POL,DF,23,34.0,4,0,0,33,12,0,1,74,38,0,1,1,401,132,54,71.0,Matches,Southampton
Danny Ings,eng ENG,FW,27,31.2,3,0,0,37,25,12,29,12,32,2,0,0,188,40,117,25.5,Matches,Southampton
Nathan Redmond,eng ENG,"MF,FW",25,30.7,2,0,0,23,31,5,42,15,46,0,0,0,250,20,57,26.0,Matches,Southampton
Ryan Bertrand,eng ENG,DF,29,30.5,3,1,0,27,32,1,117,31,28,0,0,0,274,65,54,54.6,Matches,Southampton
