player,nationality,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,team
Andreas Christensen,dk DEN,DF,24,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
Reece James,eng ENG,"DF,MF",20,1,1,90,1,1,0,0,0,0,1.00,1.00,2.00,1.00,2.00,,,,,,,,,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,29,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
Mason Mount,eng ENG,MF,21,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
Timo Werner,de GER,"FW,MF",24,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
Kurt Zouma,fr FRA,DF,25,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,,,,,,,,,Matches,Chelsea
Jorginho,it ITA,MF,28,1,1,84,1,1,1,1,0,0,1.07,1.07,2.14,0.00,1.07,,,,,,,,,Matches,Chelsea
Kai Havertz,de GER,"FW,MF",21,1,1,79,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,MF,24,1,1,60,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
Ross Barkley,eng ENG,MF,26,1,0,30,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,"FW,MF",19,1,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
César Azpilicueta,es ESP,DF,30,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches,Chelsea
Tammy Abraham,eng ENG,FW,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Willy Caballero,ar ARG,GK,38,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Olivier Giroud,fr FRA,FW,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Antonio Rüdiger,de GER,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
Jordan Ayew,gh GHA,FW,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.09,0.00,0.09,0.09,0.09,Matches,Crystal Palace
Scott Dann,eng ENG,DF,33,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,Crystal Palace
Vicente Guaita,es ESP,GK,33,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Cheikhou Kouyaté,sn SEN,DF,30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.23,0.00,0.23,0.23,0.23,Matches,Crystal Palace
James McArthur,sco SCO,MF,32,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.05,0.19,0.24,0.05,0.24,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,DF,20,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Andros Townsend,eng ENG,MF,29,1,1,90,0,1,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.0,0.0,0.4,0.00,0.41,0.41,0.00,0.41,Matches,Crystal Palace
Joel Ward,eng ENG,DF,30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Wilfried Zaha,ci CIV,FW,27,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.4,0.4,0.0,0.37,0.00,0.37,0.37,0.37,Matches,Crystal Palace
Jeffrey Schlupp,gh GHA,MF,27,1,1,80,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
James McCarthy,ie IRL,MF,29,1,1,73,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,Crystal Palace
Luka Milivojević,rs SRB,MF,29,1,0,17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.72,0.72,0.00,0.72,Matches,Crystal Palace
Eberechi Eze,eng ENG,MF,22,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Michy Batshuayi,be BEL,FW,26,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Martin Kelly,eng ENG,"DF,MF",30,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Max Meyer,de GER,"FW,MF",24,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Sam Woods,eng ENG,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
