player,nationality,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,team
Sadio Mané,sn SEN,FW,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.25,0.84,1.09,0.25,1.09,Matches,Liverpool
Andrew Robertson,sco SCO,DF,26,1,1,90,0,1,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.0,0.0,0.2,0.00,0.16,0.16,0.00,0.16,Matches,Liverpool
Mohamed Salah,eg EGY,FW,28,1,1,90,3,0,2,2,0,0,3.00,0.00,3.00,1.00,1.00,1.9,0.4,0.2,1.87,0.25,2.12,0.39,0.64,Matches,Liverpool
Georginio Wijnaldum,nl NED,MF,29,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.41,0.11,0.51,0.41,0.51,Matches,Liverpool
Trent Alexander-Arnold,eng ENG,DF,21,1,1,88,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.15,0.15,0.00,0.15,Matches,Liverpool
Jordan Henderson,eng ENG,MF,30,1,1,65,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,Liverpool
Naby Keïta,gn GUI,MF,25,1,1,57,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.10,0.00,0.10,0.10,0.10,Matches,Liverpool
Fabinho,br BRA,MF,26,1,0,33,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Liverpool
Curtis Jones,eng ENG,MF,19,1,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches,Liverpool
Joël Matip,cm CMR,DF,28,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Liverpool
Adrián,es ESP,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
James Milner,eng ENG,"DF,MF",34,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Takumi Minamino,jp JPN,"FW,MF",25,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Divock Origi,be BEL,"FW,MF",25,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
Karl Darlow,eng ENG,GK,29,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle Utd
Federico Fernández,ar ARG,DF,31,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.08,0.00,0.08,0.08,0.08,Matches,Newcastle Utd
Isaac Hayden,eng ENG,MF,25,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle Utd
Jeff Hendrick,ie IRL,MF,28,1,1,90,1,1,0,0,0,0,1.00,1.00,2.00,1.00,2.00,0.1,0.1,0.4,0.09,0.43,0.52,0.09,0.52,Matches,Newcastle Utd
Jamaal Lascelles,eng ENG,DF,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle Utd
Jamal Lewis,nir NIR,DF,22,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.17,0.17,0.00,0.17,Matches,Newcastle Utd
Javier Manquillo,es ESP,DF,26,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.09,0.09,0.00,0.09,Matches,Newcastle Utd
Jonjo Shelvey,eng ENG,MF,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.14,0.16,0.30,0.14,0.30,Matches,Newcastle Utd
Andy Carroll,eng ENG,FW,31,1,1,87,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.21,0.05,0.26,0.21,0.26,Matches,Newcastle Utd
Callum Wilson,eng ENG,FW,28,1,1,84,1,0,0,0,0,0,1.07,0.00,1.07,1.07,1.07,0.6,0.6,0.1,0.65,0.13,0.78,0.65,0.78,Matches,Newcastle Utd
Allan Saint-Maximin,fr FRA,MF,23,1,1,74,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches,Newcastle Utd
Joelinton,br BRA,"MF,FW",23,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.11,0.24,0.35,0.11,0.35,Matches,Newcastle Utd
Miguel Almirón,py PAR,MF,26,1,0,6,0,1,0,0,0,0,0.00,15.00,15.00,0.00,15.00,0.1,0.1,0.1,0.97,1.32,2.28,0.97,2.28,Matches,Newcastle Utd
Sean Longstaff,eng ENG,FW,22,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle Utd
Ryan Fraser,sco SCO,"FW,MF",26,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle Utd
Mark Gillespie,eng ENG,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle Utd
Emil Krafth,se SWE,DF,25,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle Utd
Matt Ritchie,sco SCO,"DF,MF",30,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle Utd
George Baldock,eng ENG,"DF,MF",27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.05,0.22,0.27,0.05,0.27,Matches,Sheffield Utd
John Egan,ie IRL,DF,27,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,Sheffield Utd
John Fleck,sco SCO,"FW,MF",28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.03,0.07,0.10,0.03,0.10,Matches,Sheffield Utd
John Lundstram,eng ENG,MF,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.06,0.06,0.00,0.06,Matches,Sheffield Utd
Oliver McBurnie,sco SCO,FW,24,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.23,0.07,0.30,0.23,0.30,Matches,Sheffield Utd
Jack O'Connell,eng ENG,DF,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Sheffield Utd
Aaron Ramsdale,eng ENG,GK,22,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Sheffield Utd
Billy Sharp,eng ENG,FW,34,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches,Sheffield Utd
Enda Stevens,ie IRL,"DF,MF",30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.07,0.00,0.07,0.07,0.07,Matches,Sheffield Utd
Oliver Norwood,nir NIR,MF,29,1,1,75,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,Sheffield Utd
Chris Basham,eng ENG,"DF,MF",32,1,1,70,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Sheffield Utd
David McGoldrick,ie IRL,FW,32,1,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.15,0.00,0.15,0.15,0.15,Matches,Sheffield Utd
Sander Berge,no NOR,MF,22,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.86,0.86,0.00,0.86,Matches,Sheffield Utd
Ethan Ampadu,wal WAL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Sheffield Utd
Oliver Burke,sco SCO,"FW,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Sheffield Utd
Wes Foderingham,eng ENG,GK,29,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Sheffield Utd
Phil Jagielka,eng ENG,"DF,MF",37,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Sheffield Utd
Ben Osborn,eng ENG,"DF,FW",25,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Sheffield Utd
Ryan Bertrand,eng ENG,DF,30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,Southampton
Danny Ings,eng ENG,FW,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.18,0.10,0.28,0.18,0.28,Matches,Southampton
Alex McCarthy,eng ENG,GK,30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Southampton
Nathan Redmond,eng ENG,MF,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.27,0.00,0.27,0.27,0.27,Matches,Southampton
Oriol Romeu,es ESP,MF,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Southampton
Jack Stephens,eng ENG,DF,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.09,0.00,0.09,0.09,0.09,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,23,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.08,0.08,0.00,0.08,Matches,Southampton
James Ward-Prowse,eng ENG,MF,25,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.08,0.09,0.17,0.08,0.17,Matches,Southampton
Che Adams,eng ENG,FW,24,1,1,84,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.49,0.18,0.68,0.49,0.68,Matches,Southampton
William Smallbone,ie IRL,MF,20,1,1,76,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Southampton
Jan Bednarek,pl POL,DF,24,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Southampton
Jannik Vestergaard,dk DEN,DF,27,1,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.92,0.92,0.00,0.92,Matches,Southampton
Moussa Djenepo,ml MLI,MF,22,1,0,14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Southampton
Shane Long,ie IRL,FW,33,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Southampton
Fraser Forster,eng ENG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Southampton
Michael Obafemi,ie IRL,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Southampton
Nathan Tella,eng ENG,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Southampton
Jake Vokins,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Southampton
Toby Alderweireld,be BEL,DF,31,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,Tottenham
Ben Davies,wal WAL,DF,27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.13,0.13,0.25,0.13,0.25,Matches,Tottenham
Eric Dier,eng ENG,DF,26,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham
Son Heung-min,kr KOR,"FW,MF",28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.08,0.34,0.42,0.08,0.42,Matches,Tottenham
Pierre Højbjerg,dk DEN,MF,24,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham
Harry Kane,eng ENG,FW,27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.22,0.37,0.59,0.22,0.59,Matches,Tottenham
Hugo Lloris,fr FRA,GK,33,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham
Lucas Moura,br BRA,FW,27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.11,0.00,0.11,0.11,0.11,Matches,Tottenham
Matt Doherty,ie IRL,DF,28,1,1,75,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.41,0.00,0.41,0.41,0.41,Matches,Tottenham
Harry Winks,eng ENG,MF,24,1,1,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham
Dele Alli,eng ENG,MF,24,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.18,0.00,0.18,0.18,0.18,Matches,Tottenham
Moussa Sissoko,fr FRA,"MF,DF",30,1,0,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham
Steven Bergwijn,nl NED,FW,22,1,0,31,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham
Tanguy Ndombele,fr FRA,MF,23,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Tottenham
Serge Aurier,ci CIV,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham
Joe Hart,eng ENG,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham
Érik Lamela,ar ARG,"FW,MF",28,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham
Davinson Sánchez,co COL,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham
Semi Ajayi,ng NGA,DF,26,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Brom
Kyle Bartley,eng ENG,DF,29,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Brom
Grady Diangana,eng ENG,FW,22,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.09,0.05,0.15,0.09,0.15,Matches,West Brom
Kieran Gibbs,eng ENG,DF,30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Brom
Sam Johnstone,eng ENG,GK,27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Brom
Jake Livermore,eng ENG,MF,30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.12,0.12,0.00,0.12,Matches,West Brom
Dara O'Shea,ie IRL,DF,21,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Brom
Matheus Pereira,br BRA,FW,24,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.17,0.03,0.20,0.17,0.20,Matches,West Brom
Darnell Furlong,eng ENG,DF,24,1,1,68,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.04,0.12,0.16,0.04,0.16,Matches,West Brom
Romaine Sawyers,kn SKN,MF,28,1,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Brom
Callum Robinson,ie IRL,FW,25,1,1,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Brom
Hal Robson-Kanu,wal WAL,FW,31,1,0,31,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.16,0.00,0.16,0.16,0.16,Matches,West Brom
Kyle Edwards,eng ENG,MF,22,1,0,23,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.42,0.00,0.42,0.42,0.42,Matches,West Brom
Rekeem Harper,eng ENG,"MF,DF",20,1,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Brom
Charlie Austin,eng ENG,FW,31,0,0,,,,,,,,,,,,,,,,,,,,,Matches,West Brom
David Button,eng ENG,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,Matches,West Brom
Kamil Grosicki,pl POL,MF,32,0,0,,,,,,,,,,,,,,,,,,,,,Matches,West Brom
Ahmed Hegazi,eg EGY,DF,29,0,0,,,,,,,,,,,,,,,,,,,,,Matches,West Brom
Michail Antonio,eng ENG,"FW,MF",30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.18,0.04,0.22,0.18,0.22,Matches,West Ham
Aaron Cresswell,eng ENG,DF,30,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Ham
Issa Diop,fr FRA,DF,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Ham
Łukasz Fabiański,pl POL,GK,35,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Ham
Ryan Fredericks,eng ENG,DF,27,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.00,0.38,0.38,0.00,0.38,Matches,West Ham
Angelo Ogbonna,it ITA,DF,32,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,West Ham
Declan Rice,eng ENG,MF,21,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches,West Ham
Tomáš Souček,cz CZE,MF,25,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.38,0.17,0.56,0.38,0.56,Matches,West Ham
Jarrod Bowen,eng ENG,FW,23,1,1,88,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.06,0.00,0.06,0.06,0.06,Matches,West Ham
Pablo Fornals,es ESP,FW,24,1,1,66,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.17,0.00,0.17,0.17,0.17,Matches,West Ham
Mark Noble,eng ENG,MF,33,1,1,66,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,West Ham
Sébastien Haller,fr FRA,FW,26,1,0,24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.65,1.08,1.73,0.65,1.73,Matches,West Ham
Andriy Yarmolenko,ua UKR,"FW,MF",30,1,0,24,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.57,0.00,0.57,0.57,0.57,Matches,West Ham
Felipe Anderson,br BRA,FW,27,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,West Ham
Fabián Balbuena,py PAR,DF,28,0,0,,,,,,,,,,,,,,,,,,,,,Matches,West Ham
Ben Johnson,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,West Ham
Manuel Lanzini,ar ARG,MF,27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,West Ham
Darren Randolph,ie IRL,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches,West Ham
Willy Boly,fr FRA,DF,29,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Wolves
Conor Coady,eng ENG,"DF,MF",27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Wolves
Leander Dendoncker,be BEL,"DF,MF",25,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches,Wolves
Raúl Jiménez,mx MEX,FW,29,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.8,0.8,0.3,0.80,0.25,1.06,0.80,1.06,Matches,Wolves
Fernando Marçal,br BRA,DF,31,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches,Wolves
Rui Patrício,pt POR,GK,32,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Wolves
Romain Saïss,ma MAR,"DF,MF",30,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.3,0.3,0.0,0.35,0.00,0.35,0.35,0.35,Matches,Wolves
Adama Traoré,es ESP,"FW,MF",24,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.11,0.00,0.11,0.11,0.11,Matches,Wolves
João Moutinho,pt POR,MF,33,1,1,85,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.18,0.18,0.00,0.18,Matches,Wolves
Daniel Podence,pt POR,"FW,MF",24,1,1,75,0,1,0,0,0,0,0.00,1.20,1.20,0.00,1.20,0.0,0.0,0.1,0.00,0.08,0.08,0.00,0.08,Matches,Wolves
Pedro Neto,pt POR,FW,20,1,1,68,0,1,0,0,0,0,0.00,1.32,1.32,0.00,1.32,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,Wolves
Oskar Buur,dk DEN,"DF,MF",22,1,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Wolves
Rúben Neves,pt POR,MF,23,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.24,0.24,0.00,0.24,Matches,Wolves
Vitinha,pt POR,MF,20,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Wolves
Diogo Jota,pt POR,"FW,MF",23,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Wolves
John Ruddy,eng ENG,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Wolves
Fábio Silva,pt POR,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Wolves
Rúben Vinagre,pt POR,"DF,MF",21,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Wolves
