player,nationality,position,age,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,matches,team
Bernd Leno,de GER,GK,28,1,1,90,0,0.00,2,2,1.000,1,0,0,1,100.0,0,0,0,0,Matches,Arsenal
Mathew Ryan,au AUS,GK,28,1,1,90,3,3.00,4,2,.500,0,0,1,0,0.0,1,1,0,0,Matches,Brighton
Kepa Arrizabalaga,es ESP,GK,25,1,1,90,1,1.00,3,2,.667,1,0,0,0,0.0,0,0,0,0,Matches,Chelsea
Vicente Guaita,es ESP,GK,33,1,1,90,0,0.00,4,4,1.000,1,0,0,1,100.0,0,0,0,0,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,26,1,1,90,0,0.00,5,5,1.000,1,0,0,1,100.0,0,0,0,0,Matches,Everton
Marek Rodák,sk SVK,GK,23,1,1,90,3,3.00,5,2,.400,0,0,1,0,0.0,0,0,0,0,Matches,Fulham
Illan Meslier,fr FRA,GK,20,1,1,90,4,4.00,4,2,.500,0,0,1,0,0.0,2,2,0,0,Matches,Leeds United
Kasper Schmeichel,dk DEN,GK,33,1,1,90,0,0.00,1,1,1.000,1,0,0,1,100.0,0,0,0,0,Matches,Leicester City
Alisson,br BRA,GK,27,1,1,90,3,3.00,3,0,.000,1,0,0,0,0.0,0,0,0,0,Matches,Liverpool
Karl Darlow,eng ENG,GK,29,1,1,90,0,0.00,3,3,1.000,1,0,0,1,100.0,0,0,0,0,Matches,Newcastle Utd
Aaron Ramsdale,eng ENG,GK,22,1,1,90,2,2.00,4,2,.500,0,0,1,0,0.0,0,0,0,0,Matches,Sheffield Utd
Alex McCarthy,eng ENG,GK,30,1,1,90,1,1.00,3,2,.667,0,0,1,0,0.0,0,0,0,0,Matches,Southampton
Hugo Lloris,fr FRA,GK,33,1,1,90,1,1.00,5,4,.800,0,0,1,0,0.0,0,0,0,0,Matches,Tottenham
Sam Johnstone,eng ENG,GK,27,1,1,90,3,3.00,5,4,.800,0,0,1,0,0.0,2,2,0,0,Matches,West Brom
Łukasz Fabiański,pl POL,GK,35,1,1,90,2,2.00,3,1,.333,0,0,1,0,0.0,0,0,0,0,Matches,West Ham
Rui Patrício,pt POR,GK,32,1,1,90,0,0.00,1,1,1.000,1,0,0,1,100.0,0,0,0,0,Matches,Wolves
