player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches,team
Ezri Konsa,eng ENG,DF,21,22.7,1,11,4,36.4,0.49,0.18,0.09,0.25,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches,Aston Villa
Frederic Guilbert,fr FRA,DF,24,22.7,0,8,3,37.5,0.35,0.13,0.00,0.00,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Aston Villa
Wesley Moraes,br BRA,FW,22,19.8,5,35,17,48.6,1.77,0.86,0.14,0.29,0,0,1,5.2,4.3,0.12,-0.2,+0.7,Matches,Aston Villa
Trézéguet,eg EGY,"FW,MF",24,21.7,6,50,17,34.0,2.31,0.78,0.12,0.35,3,0,0,3.7,3.7,0.07,+2.3,+2.3,Matches,Aston Villa
Tom Heaton,eng ENG,GK,33,19.9,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
Marvelous Nakamba,zw ZIM,MF,25,20.4,0,7,1,14.3,0.34,0.05,0.00,0.00,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Aston Villa
Conor Hourihane,ie IRL,MF,28,17.0,3,29,10,34.5,1.70,0.59,0.10,0.30,4,0,0,1.7,1.7,0.06,+1.3,+1.3,Matches,Aston Villa
Kortney Hause,eng ENG,DF,24,17.2,1,20,3,15.0,1.17,0.17,0.05,0.33,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches,Aston Villa
Björn Engels,be BEL,DF,24,16.1,1,7,1,14.3,0.44,0.06,0.14,1.00,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches,Aston Villa
Pepe Reina,es ESP,GK,36,12.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
Neil Taylor,wal WAL,DF,30,12.1,0,3,0,0.0,0.25,0.00,0.00,,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,Aston Villa
Ahmed Elmohamady,eg EGY,DF,31,11.5,1,5,1,20.0,0.44,0.09,0.20,1.00,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,Aston Villa
Mbwana Samatta,tz TAN,FW,26,10.5,1,17,3,17.6,1.62,0.29,0.06,0.33,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,6.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
Keinan Davis,eng ENG,FW,21,6.1,0,16,5,31.3,2.63,0.82,0.00,0.00,0,0,0,1.9,1.9,0.12,-1.9,-1.9,Matches,Aston Villa
Jota,es ESP,"FW,MF",28,3.7,0,6,1,16.7,1.61,0.27,0.00,0.00,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Aston Villa
Danny Drinkwater,eng ENG,MF,29,2.9,0,2,0,0.0,0.69,0.00,0.00,,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Aston Villa
Henri Lansbury,eng ENG,MF,28,2.2,0,2,0,0.0,0.92,0.00,0.00,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
Jonathan Kodjia,ci CIV,"FW,MF",29,1.3,0,2,0,0.0,1.54,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Aston Villa
Indiana Vassilev,us USA,"FW,MF",18,0.6,0,1,0,0.0,1.76,0.00,0.00,,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Aston Villa
Borja Bastón,es ESP,"MF,FW",26,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Bournemouth
Callum Wilson,eng ENG,FW,27,32.3,8,54,22,40.7,1.67,0.68,0.15,0.36,0,0,0,10.0,10.0,0.18,-2.0,-2.0,Matches,Bournemouth
Jefferson Lerma,co COL,MF,24,30.0,1,30,2,6.7,1.00,0.07,0.03,0.50,0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches,Bournemouth
Philip Billing,dk DEN,MF,23,28.1,1,34,8,23.5,1.21,0.28,0.03,0.13,1,0,0,2.5,2.5,0.07,-1.5,-1.5,Matches,Bournemouth
Nathan Aké,nl NED,DF,24,27.8,2,24,7,29.2,0.86,0.25,0.08,0.29,0,0,0,2.5,2.5,0.10,-0.5,-0.5,Matches,Bournemouth
Steve Cook,eng ENG,DF,28,27.0,1,13,2,15.4,0.48,0.07,0.08,0.50,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,Bournemouth
Diego Rico,es ESP,DF,26,25.9,0,11,3,27.3,0.42,0.12,0.00,0.00,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Bournemouth
Adam Smith,eng ENG,DF,28,22.8,0,4,1,25.0,0.18,0.04,0.00,0.00,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches,Bournemouth
Joshua King,no NOR,"FW,MF",27,22.3,6,23,9,39.1,1.03,0.40,0.13,0.33,0,3,3,6.5,4.3,0.18,-0.5,-1.3,Matches,Bournemouth
Ryan Fraser,sco SCO,"MF,FW",25,23.0,1,27,12,44.4,1.18,0.52,0.04,0.08,2,0,0,3.2,3.2,0.12,-2.2,-2.2,Matches,Bournemouth
Harry Wilson,wal WAL,"MF,FW",22,18.3,7,54,19,35.2,2.95,1.04,0.13,0.37,12,0,0,4.4,4.4,0.08,+2.6,+2.6,Matches,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",21,18.3,3,35,8,22.9,1.91,0.44,0.09,0.38,0,0,0,3.6,3.6,0.10,-0.6,-0.6,Matches,Bournemouth
Jack Stacey,eng ENG,DF,23,17.2,0,5,2,40.0,0.29,0.12,0.00,0.00,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Bournemouth
Lewis Cook,eng ENG,MF,22,15.0,0,9,2,22.2,0.60,0.13,0.00,0.00,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Bournemouth
Dan Gosling,eng ENG,MF,29,14.0,3,12,6,50.0,0.85,0.43,0.25,0.50,0,0,0,2.1,2.1,0.17,+0.9,+0.9,Matches,Bournemouth
