player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches,team
Armando Broja,al ALB,FW,17,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea
Wilfried Zaha,ci CIV,"MF,FW",26,36.4,4,61,17,27.9,1.67,0.47,0.07,0.24,0,0,0,5.3,5.3,0.09,-1.3,-1.3,Matches,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",27,35.0,9,56,24,42.9,1.60,0.69,0.16,0.38,0,0,0,6.3,6.3,0.11,+2.7,+2.7,Matches,Crystal Palace
James McArthur,sco SCO,MF,31,34.3,0,29,6,20.7,0.84,0.17,0.00,0.00,0,0,0,2.4,2.4,0.08,-2.4,-2.4,Matches,Crystal Palace
Vicente Guaita,es ESP,GK,32,35.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Crystal Palace
Cheikhou Kouyaté,sn SEN,"MF,DF",29,28.1,1,23,5,21.7,0.82,0.18,0.04,0.20,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches,Crystal Palace
Patrick van Aanholt,nl NED,DF,28,27.9,3,26,5,19.2,0.93,0.18,0.08,0.40,3,1,1,2.4,1.6,0.06,+0.6,+0.4,Matches,Crystal Palace
Luka Milivojević,rs SRB,MF,28,27.9,3,29,7,24.1,1.04,0.25,0.03,0.14,11,2,2,2.5,0.9,0.03,+0.5,+0.1,Matches,Crystal Palace
Joel Ward,eng ENG,DF,29,26.5,0,5,1,20.0,0.19,0.04,0.00,0.00,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Crystal Palace
Gary Cahill,eng ENG,DF,33,24.1,0,20,5,25.0,0.83,0.21,0.00,0.00,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches,Crystal Palace
James Tomkins,eng ENG,DF,30,17.6,1,9,2,22.2,0.51,0.11,0.11,0.50,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches,Crystal Palace
Martin Kelly,eng ENG,DF,29,17.2,0,3,0,0.0,0.17,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Crystal Palace
James McCarthy,ie IRL,MF,28,18.7,0,11,3,27.3,0.59,0.16,0.00,0.00,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Crystal Palace
Andros Townsend,eng ENG,MF,28,14.4,1,12,5,41.7,0.83,0.35,0.08,0.20,1,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,Crystal Palace
Scott Dann,eng ENG,DF,32,14.1,0,8,2,25.0,0.57,0.14,0.00,0.00,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Crystal Palace
Christian Benteke,be BEL,FW,28,14.0,2,42,19,45.2,3.00,1.36,0.05,0.11,0,0,0,4.9,4.9,0.12,-2.9,-2.9,Matches,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,DF",26,11.5,3,18,9,50.0,1.56,0.78,0.17,0.33,0,0,0,1.8,1.8,0.10,+1.2,+1.2,Matches,Crystal Palace
Mamadou Sakho,fr FRA,DF,29,10.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Crystal Palace
Jaïro Riedewald,nl NED,"DF,MF",22,8.5,0,3,0,0.0,0.35,0.00,0.00,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Crystal Palace
Max Meyer,de GER,"MF,FW",23,7.3,0,9,2,22.2,1.24,0.27,0.00,0.00,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,32,3.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,DF,19,2.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Crystal Palace
Cenk Tosun,tr TUR,FW,28,2.0,1,4,2,50.0,2.03,1.02,0.25,0.50,0,0,0,0.6,0.6,0.16,+0.4,+0.4,Matches,Crystal Palace
Connor Wickham,eng ENG,"FW,MF",26,1.1,1,4,2,50.0,3.75,1.87,0.25,0.50,0,0,0,1.3,1.3,0.34,-0.3,-0.3,Matches,Crystal Palace
Brandon Pierrick,eng ENG,MF,17,0.2,0,0,0,,0.00,0.00,,,,0,0,,,,,,Matches,Crystal Palace
Víctor Camarasa,es ESP,MF,25,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,25,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Everton
Richarlison,br BRA,FW,22,34.1,13,91,31,34.1,2.67,0.91,0.14,0.42,0,0,0,9.0,9.0,0.10,+4.0,+4.0,Matches,Everton
Lucas Digne,fr FRA,DF,26,33.7,0,29,5,17.2,0.86,0.15,0.00,0.00,13,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,22,29.2,13,83,37,44.6,2.84,1.27,0.16,0.35,0,0,0,13.9,13.9,0.17,-0.9,-0.9,Matches,Everton
Gylfi Sigurðsson,is ISL,MF,29,28.4,2,45,12,26.7,1.58,0.42,0.02,0.08,5,1,1,4.2,3.4,0.08,-2.2,-2.4,Matches,Everton
Michael Keane,eng ENG,DF,26,28.4,2,13,4,30.8,0.46,0.14,0.15,0.50,0,0,0,1.6,1.6,0.12,+0.4,+0.4,Matches,Everton
Yerry Mina,co COL,DF,24,25.4,2,30,10,33.3,1.18,0.39,0.07,0.20,0,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches,Everton
Mason Holgate,eng ENG,DF,22,22.8,0,12,5,41.7,0.53,0.22,0.00,0.00,0,0,0,2.2,2.2,0.19,-2.2,-2.2,Matches,Everton
Tom Davies,eng ENG,MF,21,22.5,1,17,5,29.4,0.75,0.22,0.06,0.20,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches,Everton
Séamus Coleman,ie IRL,DF,30,20.4,0,8,3,37.5,0.39,0.15,0.00,0.00,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,Everton
Alex Iwobi,ng NGA,"MF,FW",23,17.7,1,23,9,39.1,1.30,0.51,0.04,0.11,0,0,0,2.3,2.3,0.10,-1.3,-1.3,Matches,Everton
Djibril Sidibé,fr FRA,DF,27,20.3,0,12,3,25.0,0.59,0.15,0.00,0.00,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,Everton
André Gomes,pt POR,MF,26,16.2,0,5,0,0.0,0.31,0.00,0.00,,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Everton
Theo Walcott,eng ENG,"MF,FW",30,14.3,2,28,10,35.7,1.96,0.70,0.07,0.20,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches,Everton
Bernard,br BRA,"MF,FW",26,14.2,3,12,4,33.3,0.84,0.28,0.25,0.75,1,0,0,1.1,1.1,0.09,+1.9,+1.9,Matches,Everton
Fabian Delph,eng ENG,MF,29,13.2,0,3,0,0.0,0.23,0.00,0.00,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Everton
Morgan Schneiderlin,fr FRA,MF,29,11.1,0,6,0,0.0,0.54,0.00,0.00,,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Everton
Moise Kean,it ITA,FW,19,9.5,2,30,13,43.3,3.17,1.37,0.07,0.15,0,0,0,4.2,4.2,0.14,-2.2,-2.2,Matches,Everton
Anthony Gordon,eng ENG,"MF,FW",18,4.9,0,6,1,16.7,1.23,0.20,0.00,0.00,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Everton
Leighton Baines,eng ENG,DF,34,4.5,0,1,0,0.0,0.22,0.00,0.00,,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Everton
Jarrad Branthwaite,eng ENG,DF,17,3.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Everton
Cenk Tosun,tr TUR,FW,28,3.2,1,11,3,27.3,3.40,0.93,0.09,0.33,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,Everton
Jean-Philippe Gbamin,ci CIV,MF,23,1.5,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Everton
Oumar Niasse,sn SEN,FW,29,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Everton
Kasper Schmeichel,dk DEN,GK,32,38.0,0,1,0,0.0,0.03,0.00,0.00,,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Leicester City
Jonny Evans,nir NIR,DF,31,37.6,1,24,10,41.7,0.64,0.27,0.04,0.10,0,0,0,2.6,2.6,0.11,-1.6,-1.6,Matches,Leicester City
Çağlar Söyüncü,tr TUR,DF,23,33.7,1,20,7,35.0,0.59,0.21,0.05,0.14,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches,Leicester City
Jamie Vardy,eng ENG,FW,32,33.7,23,87,38,43.7,2.58,1.13,0.22,0.50,0,4,5,19.8,16.0,0.19,+3.2,+3.0,Matches,Leicester City
Youri Tielemans,be BEL,MF,22,31.4,3,54,13,24.1,1.72,0.41,0.06,0.23,0,0,0,3.2,3.2,0.06,-0.2,-0.2,Matches,Leicester City
Wilfred Ndidi,ng NGA,MF,22,29.7,2,27,2,7.4,0.91,0.07,0.07,1.00,0,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches,Leicester City
James Maddison,eng ENG,MF,22,29.2,6,74,18,24.3,2.54,0.62,0.08,0.33,14,0,0,4.9,4.9,0.07,+1.1,+1.1,Matches,Leicester City
Ricardo Pereira,pt POR,DF,25,28.0,3,17,5,29.4,0.61,0.18,0.18,0.60,0,0,0,1.2,1.1,0.07,+1.8,+1.9,Matches,Leicester City
Ben Chilwell,eng ENG,DF,22,26.4,3,15,6,40.0,0.57,0.23,0.20,0.50,0,0,0,0.9,0.9,0.06,+2.1,+2.1,Matches,Leicester City
Ayoze Pérez,es ESP,"MF,FW",26,22.3,8,46,20,43.5,2.07,0.90,0.15,0.35,0,1,1,5.7,4.9,0.11,+2.3,+2.1,Matches,Leicester City
Harvey Barnes,eng ENG,"MF,FW",21,23.1,6,61,27,44.3,2.64,1.17,0.10,0.22,0,0,0,8.6,8.6,0.14,-2.6,-2.6,Matches,Leicester City
Dennis Praet,be BEL,MF,25,12.6,1,16,3,18.8,1.27,0.24,0.06,0.33,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,Leicester City
Kelechi Iheanacho,ng NGA,FW,22,10.7,5,34,18,52.9,3.19,1.69,0.15,0.28,0,0,0,4.8,4.8,0.14,+0.2,+0.2,Matches,Leicester City
James Justin,eng ENG,DF,21,11.2,0,7,0,0.0,0.62,0.00,0.00,,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Leicester City
Hamza Choudhury,eng ENG,MF,21,9.9,1,7,2,28.6,0.71,0.20,0.14,0.50,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,Leicester City
Marc Albrighton,eng ENG,"MF,DF",29,9.6,0,10,2,20.0,1.04,0.21,0.00,0.00,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,Leicester City
Christian Fuchs,at AUT,DF,33,8.6,0,5,1,20.0,0.58,0.12,0.00,0.00,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Leicester City
Wes Morgan,jm JAM,DF,35,4.8,0,3,1,33.3,0.62,0.21,0.00,0.00,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Leicester City
Nampalys Mendy,fr FRA,MF,27,3.2,0,1,1,100.0,0.31,0.31,0.00,0.00,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Leicester City
Demarai Gray,eng ENG,"MF,FW",23,6.9,2,21,6,28.6,3.04,0.87,0.10,0.33,3,0,1,2.5,1.8,0.08,-0.5,+0.2,Matches,Leicester City
Ryan Bennett,eng ENG,DF,29,3.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Leicester City
Luke Thomas,eng ENG,DF,,3.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Leicester City
George Hirst,eng ENG,FW,20,0.1,0,3,1,33.3,24.55,8.18,0.00,0.00,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Leicester City
Matty James,eng ENG,MF,28,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Leicester City
Virgil van Dijk,nl NED,DF,28,38.0,5,30,14,46.7,0.79,0.37,0.17,0.36,0,0,0,2.8,2.8,0.09,+2.2,+2.2,Matches,Liverpool
Trent Alexander-Arnold,eng ENG,DF,20,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,12,0,0,2.9,2.9,0.07,+1.1,+1.1,Matches,Liverpool
Georginio Wijnaldum,nl NED,MF,28,32.6,4,36,15,41.7,1.10,0.46,0.11,0.27,0,0,0,3.0,3.0,0.08,+1.0,+1.0,Matches,Liverpool
Andrew Robertson,sco SCO,DF,25,34.6,2,20,6,30.0,0.58,0.17,0.10,0.33,0,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches,Liverpool
Roberto Firmino,br BRA,FW,27,33.2,9,100,37,37.0,3.01,1.11,0.09,0.24,0,0,0,13.4,13.4,0.13,-4.4,-4.4,Matches,Liverpool
Mohamed Salah,eg EGY,FW,27,32.0,19,130,56,43.1,4.07,1.75,0.12,0.29,4,3,3,19.1,16.9,0.13,-0.1,-0.9,Matches,Liverpool
Sadio Mané,sn SEN,FW,27,30.5,18,76,36,47.4,2.49,1.18,0.24,0.50,0,0,0,13.5,13.5,0.18,+4.5,+4.5,Matches,Liverpool
Alisson,br BRA,GK,26,28.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Liverpool
Jordan Henderson,eng ENG,MF,29,24.9,4,20,8,40.0,0.80,0.32,0.20,0.50,0,0,0,1.4,1.4,0.07,+2.6,+2.6,Matches,Liverpool
Fabinho,br BRA,MF,25,23.1,2,12,4,33.3,0.52,0.17,0.17,0.50,2,0,0,0.4,0.4,0.03,+1.6,+1.6,Matches,Liverpool
Joe Gomez,eng ENG,DF,22,22.3,0,1,0,0.0,0.04,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Liverpool
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25,16.5,4,40,10,25.0,2.42,0.61,0.10,0.40,0,0,0,3.1,3.1,0.08,+0.9,+0.9,Matches,Liverpool
James Milner,eng ENG,"MF,DF",33,10.4,2,10,1,10.0,0.96,0.10,0.00,0.00,0,2,2,2.1,0.6,0.06,-0.1,-0.6,Matches,Liverpool
Adrián,es ESP,GK,32,9.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Liverpool
Naby Keïta,gn GUI,MF,24,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches,Liverpool
Dejan Lovren,hr CRO,DF,30,8.6,0,5,1,20.0,0.58,0.12,0.00,0.00,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,Liverpool
Joël Matip,cm CMR,DF,27,7.8,1,4,1,25.0,0.51,0.13,0.25,1.00,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches,Liverpool
Divock Origi,be BEL,FW,24,8.0,4,14,6,42.9,1.76,0.75,0.29,0.67,0,0,0,2.0,2.0,0.14,+2.0,+2.0,Matches,Liverpool
Adam Lallana,eng ENG,"MF,FW",31,4.2,1,5,1,20.0,1.18,0.24,0.20,1.00,0,0,0,1.0,1.0,0.21,0.0,0.0,Matches,Liverpool
Neco Williams,wal WAL,DF,18,2.6,0,7,1,14.3,2.74,0.39,0.00,0.00,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Liverpool
Takumi Minamino,jp JPN,"FW,MF",24,2.8,0,9,2,22.2,3.25,0.72,0.00,0.00,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Matches,Liverpool
Xherdan Shaqiri,ch SUI,FW,27,2.1,1,4,1,25.0,1.95,0.49,0.25,1.00,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches,Liverpool
Curtis Jones,eng ENG,MF,18,1.4,1,6,2,33.3,4.29,1.43,0.17,0.50,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches,Liverpool
Harvey Elliot,eng ENG,DF,16,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Liverpool
Ederson,br BRA,GK,25,34.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Manchester City
Kevin De Bruyne,be BEL,MF,28,31.0,13,96,27,28.1,3.10,0.87,0.11,0.41,11,2,2,7.6,6.1,0.06,+5.4,+4.9,Matches,Manchester City
Raheem Sterling,eng ENG,FW,24,29.5,20,96,36,37.5,3.26,1.22,0.21,0.56,1,0,2,17.3,15.3,0.16,+2.7,+4.7,Matches,Manchester City
Rodri,es ESP,MF,23,27.6,3,24,9,37.5,0.87,0.33,0.13,0.33,0,0,0,1.0,1.0,0.04,+2.0,+2.0,Matches,Manchester City
Kyle Walker,eng ENG,DF,29,26.6,1,13,3,23.1,0.49,0.11,0.08,0.33,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,Manchester City
Fernandinho,br BRA,DF,34,26.6,0,17,2,11.8,0.64,0.08,0.00,0.00,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,Manchester City
Bernardo Silva,pt POR,"FW,MF",24,22.6,6,49,15,30.6,2.17,0.67,0.12,0.40,0,0,0,6.7,6.7,0.14,-0.7,-0.7,Matches,Manchester City
David Silva,es ESP,MF,33,20.3,6,46,17,37.0,2.27,0.84,0.13,0.35,5,0,0,6.4,6.4,0.14,-0.4,-0.4,Matches,Manchester City
Gabriel Jesus,br BRA,FW,22,22.6,14,102,43,42.2,4.52,1.91,0.14,0.33,0,0,1,18.6,17.8,0.18,-4.6,-3.8,Matches,Manchester City
İlkay Gündoğan,de GER,MF,28,22.4,2,31,6,19.4,1.38,0.27,0.03,0.17,2,1,2,4.5,3.0,0.10,-2.5,-2.0,Matches,Manchester City
Riyad Mahrez,dz ALG,FW,28,21.6,11,73,30,41.1,3.38,1.39,0.14,0.33,6,1,1,7.2,6.5,0.09,+3.8,+3.5,Matches,Manchester City
Nicolás Otamendi,ar ARG,DF,31,19.1,2,15,7,46.7,0.79,0.37,0.13,0.29,0,0,0,2.4,2.4,0.16,-0.4,-0.4,Matches,Manchester City
Benjamin Mendy,fr FRA,DF,25,16.6,0,10,1,10.0,0.60,0.06,0.00,0.00,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Manchester City
Sergio Agüero,ar ARG,FW,31,16.1,16,73,25,34.2,4.52,1.55,0.19,0.56,0,2,3,13.8,11.5,0.16,+2.2,+2.5,Matches,Manchester City
Aymeric Laporte,fr FRA,DF,25,12.2,1,4,1,25.0,0.33,0.08,0.25,1.00,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches,Manchester City
Oleksandr Zinchenko,ua UKR,DF,22,14.2,0,16,3,18.8,1.13,0.21,0.00,0.00,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,Manchester City
João Cancelo,pt POR,DF,25,13.4,0,15,4,26.7,1.12,0.30,0.00,0.00,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,Manchester City
John Stones,eng ENG,DF,25,12.5,0,6,1,16.7,0.48,0.08,0.00,0.00,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,Manchester City
Phil Foden,eng ENG,"FW,MF",19,10.0,5,34,14,41.2,3.40,1.40,0.15,0.36,0,0,0,4.3,4.3,0.13,+0.7,+0.7,Matches,Manchester City
Eric García,es ESP,DF,18,8.8,0,2,1,50.0,0.23,0.11,0.00,0.00,0,0,0,0.6,0.6,0.31,-0.6,-0.6,Matches,Manchester City
Angeliño,es ESP,DF,22,4.7,0,5,0,0.0,1.06,0.00,0.00,,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Manchester City
Claudio Bravo,cl CHI,GK,36,3.9,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Manchester City
Thomas Doyle,eng ENG,"MF,FW",17,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Manchester City
Leroy Sané,de GER,FW,23,0.1,0,2,0,0.0,15.00,0.00,0.00,,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Manchester City
David de Gea,es ESP,GK,28,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Manchester Utd
Harry Maguire,eng ENG,DF,26,38.0,1,32,8,25.0,0.84,0.21,0.03,0.13,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches,Manchester Utd
Victor Lindelöf,se SWE,DF,25,34.4,1,6,1,16.7,0.17,0.03,0.17,1.00,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,Manchester Utd
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,0,9,1,11.1,0.26,0.03,0.00,0.00,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches,Manchester Utd
Marcus Rashford,eng ENG,FW,21,29.4,17,84,38,45.2,2.86,1.29,0.13,0.29,16,6,8,17.6,11.5,0.14,-0.6,-0.5,Matches,Manchester Utd
Anthony Martial,fr FRA,FW,23,29.2,17,79,38,48.1,2.71,1.30,0.22,0.45,0,0,1,11.0,10.2,0.13,+6.0,+6.8,Matches,Manchester Utd
Daniel James,wal WAL,FW,21,25.4,3,42,19,45.2,1.65,0.75,0.07,0.16,0,0,0,3.6,3.6,0.08,-0.6,-0.6,Matches,Manchester Utd
Fred,br BRA,MF,26,24.0,0,40,10,25.0,1.66,0.42,0.00,0.00,3,0,0,1.9,1.9,0.05,-1.9,-1.9,Matches,Manchester Utd
Scott McTominay,sco SCO,MF,22,19.7,4,30,10,33.3,1.52,0.51,0.13,0.40,0,0,0,1.5,1.5,0.05,+2.5,+2.5,Matches,Manchester Utd
Luke Shaw,eng ENG,DF,24,19.3,0,10,5,50.0,0.52,0.26,0.00,0.00,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,Manchester Utd
Nemanja Matić,rs SRB,MF,30,17.6,0,7,2,28.6,0.40,0.11,0.00,0.00,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Manchester Utd
Andreas Pereira,br BRA,"MF,FW",23,16.5,1,37,14,37.8,2.24,0.85,0.03,0.07,3,0,0,2.4,2.4,0.07,-1.4,-1.4,Matches,Manchester Utd
Bruno Fernandes,pt POR,MF,24,13.2,8,40,14,35.0,3.04,1.06,0.10,0.29,7,4,4,5.9,2.8,0.07,+2.1,+1.2,Matches,Manchester Utd
Paul Pogba,fr FRA,MF,26,13.4,1,21,7,33.3,1.57,0.52,0.05,0.14,2,0,1,1.9,1.2,0.06,-0.9,-0.2,Matches,Manchester Utd
Mason Greenwood,eng ENG,FW,17,14.7,10,38,20,52.6,2.59,1.36,0.26,0.50,0,0,0,3.7,3.7,0.10,+6.3,+6.3,Matches,Manchester Utd
Brandon Williams,eng ENG,DF,18,11.2,1,6,2,33.3,0.54,0.18,0.17,0.50,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches,Manchester Utd
Ashley Young,eng ENG,DF,34,10.6,0,3,0,0.0,0.28,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Manchester Utd
Jesse Lingard,eng ENG,"MF,FW",26,10.4,1,22,6,27.3,2.12,0.58,0.05,0.17,0,0,0,2.7,2.7,0.12,-1.7,-1.7,Matches,Manchester Utd
Juan Mata,es ESP,"MF,FW",31,8.4,0,9,1,11.1,1.07,0.12,0.00,0.00,2,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches,Manchester Utd
Axel Tuanzebe,eng ENG,DF,21,2.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Manchester Utd
Timothy Fosu-Mensah,nl NED,DF,21,1.5,0,1,0,0.0,0.66,0.00,0.00,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Manchester Utd
Phil Jones,eng ENG,DF,27,1.5,0,2,1,50.0,1.33,0.67,0.00,0.00,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,Manchester Utd
Eric Bailly,ci CIV,DF,25,1.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Manchester Utd
Marcos Rojo,ar ARG,DF,29,1.4,0,1,0,0.0,0.74,0.00,0.00,,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,Manchester Utd
Diogo Dalot,pt POR,DF,20,0.7,0,1,0,0.0,1.34,0.00,0.00,,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,Manchester Utd
Odion Ighalo,ng NGA,FW,30,1.1,0,7,3,42.9,6.24,2.67,0.00,0.00,0,0,0,1.5,1.5,0.21,-1.5,-1.5,Matches,Manchester Utd
Tahith Chong,nl NED,"FW,MF",19,0.4,0,1,0,0.0,2.43,0.00,0.00,,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Manchester Utd
Angel Gomes,eng ENG,MF,18,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Manchester Utd
James Garner,eng ENG,MF,18,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Manchester Utd
Martin Dúbravka,sk SVK,GK,30,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Newcastle Utd
Miguel Almirón,py PAR,"MF,FW",25,33.6,4,55,17,30.9,1.64,0.51,0.07,0.24,0,0,0,6.4,6.4,0.12,-2.4,-2.4,Matches,Newcastle Utd
Joelinton,br BRA,FW,22,29.8,2,52,15,28.8,1.74,0.50,0.04,0.13,0,0,0,4.8,4.8,0.09,-2.8,-2.8,Matches,Newcastle Utd
Federico Fernández,ar ARG,DF,30,29.1,2,16,6,37.5,0.55,0.21,0.13,0.33,0,0,0,1.7,1.7,0.11,+0.3,+0.3,Matches,Newcastle Utd
Isaac Hayden,eng ENG,MF,24,24.7,1,17,3,17.6,0.69,0.12,0.06,0.33,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches,Newcastle Utd
Jonjo Shelvey,eng ENG,MF,27,23.5,6,45,14,31.1,1.91,0.59,0.13,0.43,8,0,0,2.4,2.4,0.05,+3.6,+3.6,Matches,Newcastle Utd
Jamaal Lascelles,eng ENG,DF,25,23.1,1,9,2,22.2,0.39,0.09,0.11,0.50,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,Newcastle Utd
Allan Saint-Maximin,fr FRA,"MF,FW",22,20.7,3,46,20,43.5,2.22,0.97,0.07,0.15,0,0,0,3.0,3.0,0.07,0.0,0.0,Matches,Newcastle Utd
Fabian Schär,ch SUI,"DF,MF",27,18.6,2,19,6,31.6,1.02,0.32,0.11,0.33,1,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches,Newcastle Utd
Javier Manquillo,es ESP,DF,25,17.8,0,1,0,0.0,0.06,0.00,0.00,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Newcastle Utd
