player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches,team
John McGinn,sco SCO,MF,24,25.7,584,772,75.6,13624,3881,13,38,34.2,360,435,82.8,211,299,70.6,3,2.4,+0.6,40,71,30,8,113,Matches,Aston Villa
Matt Targett,eng ENG,DF,23,25.5,894,1219,73.3,16472,7323,16,53,30.2,706,831,85.0,172,335,51.3,2,2.7,-0.7,26,76,30,12,164,Matches,Aston Villa
Anwar El Ghazi,nl NED,"FW,MF",24,22.8,402,615,65.4,6816,1948,15,56,26.8,313,407,76.9,74,152,48.7,4,2.8,+1.2,32,16,22,15,69,Matches,Aston Villa
Ezri Konsa,eng ENG,DF,21,22.7,674,853,79.0,13926,4931,8,19,42.1,483,555,87.0,183,279,65.6,2,0.4,+1.6,9,45,5,2,70,Matches,Aston Villa
Frederic Guilbert,fr FRA,DF,24,22.7,687,1026,67.0,13271,5550,7,47,14.9,521,665,78.3,159,314,50.6,2,1.4,+0.6,14,67,24,15,147,Matches,Aston Villa
Wesley Moraes,br BRA,FW,22,19.8,277,377,73.5,4420,608,11,25,44.0,229,302,75.8,37,50,74.0,1,0.8,+0.2,11,20,2,0,12,Matches,Aston Villa
Trézéguet,eg EGY,"FW,MF",24,21.7,295,445,66.3,4743,1283,8,30,26.7,243,312,77.9,44,103,42.7,1,0.8,+0.2,18,15,12,7,43,Matches,Aston Villa
Tom Heaton,eng ENG,GK,33,19.9,350,614,57.0,12857,9485,2,2,100.0,159,159,100.0,189,453,41.7,0,0.0,0.0,0,8,0,0,1,Matches,Aston Villa
Marvelous Nakamba,zw ZIM,MF,25,20.4,669,792,84.5,12495,2649,11,24,45.8,520,590,88.1,138,178,77.5,0,0.5,-0.5,11,37,4,0,40,Matches,Aston Villa
Conor Hourihane,ie IRL,MF,28,17.0,542,721,75.2,10349,3231,17,37,45.9,396,460,86.1,129,224,57.6,5,5.2,-0.2,37,50,14,5,84,Matches,Aston Villa
Kortney Hause,eng ENG,DF,24,17.2,591,789,74.9,12375,4892,8,24,33.3,421,498,84.5,162,267,60.7,0,0.2,-0.2,1,42,1,0,40,Matches,Aston Villa
Björn Engels,be BEL,DF,24,16.1,503,605,83.1,11925,3869,3,7,42.9,300,340,88.2,200,258,77.5,0,0.1,-0.1,1,46,1,1,38,Matches,Aston Villa
Pepe Reina,es ESP,GK,36,12.0,272,395,68.9,10107,6875,3,4,75.0,97,98,99.0,172,293,58.7,0,0.0,0.0,0,4,0,0,1,Matches,Aston Villa
