player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches,team
Andreas Christensen,dk DEN,DF,23,19.5,1166,1258,92.7,26592,6425,7,16,43.8,715,745,96.0,444,497,89.3,0,1.1,-1.1,4,79,2,0,45,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,28,19.2,975,1140,85.5,17336,4171,29,60,48.3,763,863,88.4,183,217,84.3,0,2.0,-2.0,26,104,29,9,106,Matches,Chelsea
Christian Pulisic,us USA,FW,20,19.1,546,700,78.0,8423,1622,13,44,29.5,468,552,84.8,65,104,62.5,4,3.4,+0.6,29,28,29,2,63,Matches,Chelsea
Antonio Rüdiger,de GER,DF,26,19.0,1272,1449,87.8,30337,8324,7,16,43.8,763,822,92.8,502,611,82.2,0,0.4,-0.4,4,119,6,2,72,Matches,Chelsea
Reece James,eng ENG,DF,19,16.8,1055,1268,83.2,19372,5746,14,42,33.3,835,924,90.4,206,302,68.2,2,3.4,-1.4,24,58,31,13,125,Matches,Chelsea
Marcos Alonso,es ESP,DF,28,15.9,916,1108,82.7,16216,4961,12,38,31.6,756,850,88.9,148,220,67.3,2,2.0,0.0,26,34,29,14,115,Matches,Chelsea
Fikayo Tomori,eng ENG,DF,21,14.3,981,1098,89.3,21074,5865,4,15,26.7,660,701,94.2,317,382,83.0,0,0.2,-0.2,4,57,4,0,40,Matches,Chelsea
Ross Barkley,eng ENG,MF,25,12.3,540,616,87.7,10336,1945,11,20,55.0,403,454,88.8,126,142,88.7,4,2.7,+1.3,25,53,20,1,53,Matches,Chelsea
Emerson Palmieri,it ITA,DF,24,11.4,706,853,82.8,11369,3119,13,24,54.2,609,687,88.6,84,142,59.2,0,1.4,-1.4,18,27,8,5,55,Matches,Chelsea
Olivier Giroud,fr FRA,FW,32,11.0,207,306,67.6,2513,295,13,29,44.8,185,257,72.0,9,20,45.0,0,1.3,-1.3,7,8,4,0,6,Matches,Chelsea
Pedro,es ESP,FW,32,7.3,259,331,78.2,4261,967,6,18,33.3,215,253,85.0,38,60,63.3,1,0.8,+0.2,18,8,12,1,24,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,FW,18,9.6,384,476,80.7,7208,1491,7,23,30.4,297,340,87.4,80,113,70.8,5,2.8,+2.2,21,18,30,10,56,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5.0,121,165,73.3,3403,2177,0,0,,72,72,100.0,49,93,52.7,0,0.0,0.0,0,0,0,0,0,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,2.3,116,131,88.5,1837,338,3,4,75.0,98,110,89.1,15,17,88.2,1,0.2,+0.8,1,11,2,0,8,Matches,Chelsea
Billy Gilmour,sco SCO,MF,18,2.2,151,169,89.3,2892,604,5,5,100.0,113,128,88.3,33,36,91.7,0,0.1,-0.1,4,6,0,0,8,Matches,Chelsea
Michy Batshuayi,be BEL,FW,25,2.7,61,76,80.3,776,85,5,9,55.6,51,61,83.6,5,6,83.3,1,0.2,+0.8,3,1,0,0,1,Matches,Chelsea
Tariq Lamptey,eng ENG,DF,18,0.4,12,14,85.7,235,80,0,1,0.0,9,10,90.0,3,3,100.0,0,0.1,-0.1,1,0,1,0,2,Matches,Chelsea
Faustino Anjorin,eng ENG,FW,17,0.2,7,7,100.0,121,14,0,0,,6,6,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches,Chelsea
Armando Broja,al ALB,FW,17,0.1,2,2,100.0,13,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,Chelsea
Wilfried Zaha,ci CIV,"MF,FW",26,36.4,935,1188,78.7,15092,4216,22,83,26.5,774,915,84.6,139,190,73.2,3,3.3,-0.3,36,60,75,14,167,Matches,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",27,35.0,686,838,81.9,9691,1890,38,68,55.9,569,654,87.0,79,116,68.1,2,1.9,+0.1,26,42,22,0,49,Matches,Crystal Palace
James McArthur,sco SCO,MF,31,34.3,1153,1474,78.2,20354,6398,33,87,37.9,901,1056,85.3,219,331,66.2,3,2.6,+0.4,33,129,24,3,145,Matches,Crystal Palace
Vicente Guaita,es ESP,GK,32,35.0,591,1053,56.1,21593,15308,5,6,83.3,241,241,100.0,345,806,42.8,0,0.0,0.0,0,14,0,0,0,Matches,Crystal Palace
Cheikhou Kouyaté,sn SEN,"MF,DF",29,28.1,653,860,75.9,10612,3244,24,59,40.7,522,643,81.2,107,158,67.7,1,0.8,+0.2,8,39,8,1,57,Matches,Crystal Palace
Patrick van Aanholt,nl NED,DF,28,27.9,1227,1558,78.8,21238,9268,16,56,28.6,1018,1172,86.9,193,330,58.5,2,3.1,-1.1,32,85,25,5,216,Matches,Crystal Palace
Luka Milivojević,rs SRB,MF,28,27.9,1161,1506,77.1,24830,8182,19,36,52.8,795,906,87.7,347,564,61.5,1,1.8,-0.8,28,105,9,0,170,Matches,Crystal Palace
Joel Ward,eng ENG,DF,29,26.5,932,1260,74.0,15576,7022,30,82,36.6,749,885,84.6,153,293,52.2,0,0.2,-0.2,5,71,15,7,137,Matches,Crystal Palace
Gary Cahill,eng ENG,DF,33,24.1,826,953,86.7,18611,5548,7,17,41.2,527,579,91.0,292,357,81.8,1,0.2,+0.8,2,34,2,0,40,Matches,Crystal Palace
James Tomkins,eng ENG,DF,30,17.6,505,626,80.7,11923,3447,6,14,42.9,311,347,89.6,188,265,70.9,1,0.1,+0.9,2,21,1,0,21,Matches,Crystal Palace
Martin Kelly,eng ENG,DF,29,17.2,493,669,73.7,9627,4222,8,25,32.0,365,439,83.1,120,205,58.5,1,0.9,+0.1,6,26,7,6,52,Matches,Crystal Palace
James McCarthy,ie IRL,MF,28,18.7,630,818,77.0,12696,3516,29,49,59.2,444,510,87.1,157,259,60.6,0,0.9,-0.9,18,62,8,0,81,Matches,Crystal Palace
Andros Townsend,eng ENG,MF,28,14.4,325,460,70.7,5291,1871,9,30,30.0,266,312,85.3,50,118,42.4,1,2.0,-1.0,13,24,24,12,55,Matches,Crystal Palace
Scott Dann,eng ENG,DF,32,14.1,461,555,83.1,9842,4104,7,17,41.2,332,373,89.0,122,165,73.9,1,0.5,+0.5,5,24,0,0,36,Matches,Crystal Palace
Christian Benteke,be BEL,FW,28,14.0,190,326,58.3,2802,720,11,25,44.0,157,261,60.2,22,40,55.0,1,2.1,-1.1,17,14,11,2,34,Matches,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,DF",26,11.5,256,342,74.9,4267,1284,6,13,46.2,218,264,82.6,32,65,49.2,1,1.1,-0.1,7,30,5,1,34,Matches,Crystal Palace
Mamadou Sakho,fr FRA,DF,29,10.3,451,516,87.4,9275,3463,5,9,55.6,316,352,89.8,130,155,83.9,0,0.1,-0.1,1,25,1,0,27,Matches,Crystal Palace
Jaïro Riedewald,nl NED,"DF,MF",22,8.5,301,400,75.3,5020,2282,9,15,60.0,250,302,82.8,42,83,50.6,0,0.4,-0.4,2,32,6,1,50,Matches,Crystal Palace
Max Meyer,de GER,"MF,FW",23,7.3,160,213,75.1,2199,607,10,26,38.5,137,161,85.1,13,26,50.0,0,0.7,-0.7,5,12,8,2,18,Matches,Crystal Palace
Wayne Hennessey,wal WAL,GK,32,3.0,44,103,42.7,2365,2024,0,0,,8,9,88.9,36,94,38.3,0,0.0,0.0,0,3,0,0,0,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,DF,19,2.2,96,119,80.7,1639,850,0,3,0.0,82,94,87.2,14,22,63.6,0,0.2,-0.2,4,8,3,3,19,Matches,Crystal Palace
Cenk Tosun,tr TUR,FW,28,2.0,29,47,61.7,462,137,0,2,0.0,24,37,64.9,5,8,62.5,0,0.0,0.0,0,3,2,0,3,Matches,Crystal Palace
Connor Wickham,eng ENG,"FW,MF",26,1.1,29,44,65.9,440,90,2,5,40.0,23,32,71.9,4,7,57.1,1,0.5,+0.5,2,2,0,0,2,Matches,Crystal Palace
Brandon Pierrick,eng ENG,MF,17,0.2,,,,,,,,,,,,,,,0,,,,,,,,Matches,Crystal Palace
Víctor Camarasa,es ESP,MF,25,0.1,3,3,100.0,44,11,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,Crystal Palace
Jordan Pickford,eng ENG,GK,25,38.0,895,1373,65.2,31625,21730,18,18,100.0,430,431,99.8,447,924,48.4,0,0.1,-0.1,1,49,4,0,2,Matches,Everton
Richarlison,br BRA,FW,22,34.1,543,823,66.0,8881,2216,21,88,23.9,435,580,75.0,87,155,56.1,3,4.9,-1.9,31,32,27,2,72,Matches,Everton
Lucas Digne,fr FRA,DF,26,33.7,1353,1946,69.5,25902,11352,15,82,18.3,1048,1287,81.4,290,577,50.3,7,5.7,+1.3,70,97,42,24,302,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,22,29.2,393,594,66.2,5941,1307,13,38,34.2,332,482,68.9,48,74,64.9,1,1.0,0.0,15,33,13,3,43,Matches,Everton
Gylfi Sigurðsson,is ISL,MF,29,28.4,868,1110,78.2,16899,5024,15,39,38.5,639,738,86.6,214,333,64.3,3,3.8,-0.8,46,95,27,5,140,Matches,Everton
Michael Keane,eng ENG,DF,26,28.4,1167,1379,84.6,27198,8541,12,25,48.0,721,801,90.0,434,553,78.5,0,0.7,-0.7,6,70,3,0,75,Matches,Everton
Yerry Mina,co COL,DF,24,25.4,1070,1251,85.5,25554,7200,7,17,41.2,628,704,89.2,435,530,82.1,1,0.2,+0.8,4,51,1,0,65,Matches,Everton
Mason Holgate,eng ENG,DF,22,22.8,855,991,86.3,20925,6091,5,18,27.8,484,528,91.7,366,445,82.2,3,0.4,+2.6,2,47,4,0,57,Matches,Everton
Tom Davies,eng ENG,MF,21,22.5,681,870,78.3,13271,4037,8,36,22.2,517,611,84.6,156,223,70.0,0,0.3,-0.3,5,83,16,0,114,Matches,Everton
Séamus Coleman,ie IRL,DF,30,20.4,813,1058,76.8,14368,6102,10,54,18.5,665,773,86.0,138,231,59.7,1,0.5,+0.5,8,66,13,4,117,Matches,Everton
Alex Iwobi,ng NGA,"MF,FW",23,17.7,462,614,75.2,9220,2938,8,36,22.2,337,408,82.6,117,170,68.8,0,2.3,-2.3,22,57,32,9,99,Matches,Everton
Djibril Sidibé,fr FRA,DF,27,20.3,909,1165,78.0,18044,6702,10,40,25.0,706,836,84.4,193,289,66.8,4,2.1,+1.9,19,56,20,11,171,Matches,Everton
André Gomes,pt POR,MF,26,16.2,719,859,83.7,16374,4188,7,20,35.0,476,525,90.7,236,314,75.2,1,0.8,+0.2,12,92,11,3,79,Matches,Everton
Theo Walcott,eng ENG,"MF,FW",30,14.3,266,405,65.7,4309,1263,4,32,12.5,225,298,75.5,37,75,49.3,3,2.8,+0.2,19,19,18,6,42,Matches,Everton
Bernard,br BRA,"MF,FW",26,14.2,426,573,74.3,6997,1976,9,41,22.0,353,426,82.9,64,106,60.4,2,2.0,0.0,22,37,26,6,66,Matches,Everton
Fabian Delph,eng ENG,MF,29,13.2,676,778,86.9,14008,3540,7,16,43.8,480,522,92.0,189,240,78.8,0,0.3,-0.3,6,63,15,4,67,Matches,Everton
Morgan Schneiderlin,fr FRA,MF,29,11.1,494,567,87.1,10391,2945,5,14,35.7,344,378,91.0,145,175,82.9,0,0.2,-0.2,4,59,6,1,62,Matches,Everton
Moise Kean,it ITA,FW,19,9.5,104,142,73.2,1436,338,11,24,45.8,82,102,80.4,11,16,68.8,2,1.0,+1.0,8,5,7,2,14,Matches,Everton
Anthony Gordon,eng ENG,"MF,FW",18,4.9,96,124,77.4,1724,454,0,3,0.0,80,96,83.3,16,25,64.0,1,0.4,+0.6,6,6,1,0,8,Matches,Everton
Leighton Baines,eng ENG,DF,34,4.5,168,209,80.4,2952,1099,0,6,0.0,140,152,92.1,28,51,54.9,0,0.8,-0.8,6,6,7,5,31,Matches,Everton
Jarrad Branthwaite,eng ENG,DF,17,3.3,187,212,88.2,4351,1303,2,3,66.7,123,133,92.5,62,76,81.6,0,0.0,0.0,0,9,1,0,4,Matches,Everton
Cenk Tosun,tr TUR,FW,28,3.2,42,62,67.7,569,120,1,3,33.3,38,50,76.0,3,9,33.3,0,0.1,-0.1,4,2,3,0,5,Matches,Everton
Jean-Philippe Gbamin,ci CIV,MF,23,1.5,50,67,74.6,779,185,1,4,25.0,42,47,89.4,7,16,43.8,0,0.0,0.0,0,5,0,0,3,Matches,Everton
Oumar Niasse,sn SEN,FW,29,0.2,3,5,60.0,40,0,0,0,,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,Everton
Kasper Schmeichel,dk DEN,GK,32,38.0,904,1178,76.7,27945,15745,2,4,50.0,429,432,99.3,473,742,63.7,0,0.4,-0.4,3,4,0,0,3,Matches,Leicester City
Jonny Evans,nir NIR,DF,31,37.6,2088,2372,88.0,47140,13760,6,14,42.9,1357,1461,92.9,725,897,80.8,1,0.6,+0.4,7,144,5,1,126,Matches,Leicester City
Çağlar Söyüncü,tr TUR,DF,23,33.7,2035,2239,90.9,41675,12071,11,28,39.3,1469,1552,94.7,555,659,84.2,1,0.3,+0.7,4,114,3,0,87,Matches,Leicester City
Jamie Vardy,eng ENG,FW,32,33.7,314,462,68.0,4777,784,16,49,32.7,257,341,75.4,41,72,56.9,5,5.4,-0.4,28,14,17,5,32,Matches,Leicester City
Youri Tielemans,be BEL,MF,22,31.4,1455,1804,80.7,27246,6904,34,62,54.8,1115,1274,87.5,306,468,65.4,6,5.6,+0.4,52,157,37,7,190,Matches,Leicester City
Wilfred Ndidi,ng NGA,MF,22,29.7,1416,1649,85.9,26441,5628,34,64,53.1,1078,1209,89.2,304,376,80.9,1,0.4,+0.6,9,138,4,0,74,Matches,Leicester City
James Maddison,eng ENG,MF,22,29.2,1282,1674,76.6,25933,7769,22,57,38.6,892,1029,86.7,368,588,62.6,3,7.1,-4.1,84,155,44,6,238,Matches,Leicester City
Ricardo Pereira,pt POR,DF,25,28.0,1513,1875,80.7,25283,9727,14,66,21.2,1293,1479,87.4,206,330,62.4,2,3.6,-1.6,27,96,38,9,218,Matches,Leicester City
Ben Chilwell,eng ENG,DF,22,26.4,1528,1956,78.1,26142,8359,18,73,24.7,1290,1471,87.7,220,412,53.4,3,3.5,-0.5,36,96,23,12,162,Matches,Leicester City
Ayoze Pérez,es ESP,"MF,FW",26,22.3,616,773,79.7,8649,2157,30,73,41.1,529,614,86.2,57,86,66.3,4,3.8,+0.2,29,35,30,8,72,Matches,Leicester City
Harvey Barnes,eng ENG,"MF,FW",21,23.1,559,729,76.7,8289,2046,18,51,35.3,491,591,83.1,50,87,57.5,8,3.5,+4.5,31,34,40,3,91,Matches,Leicester City
Dennis Praet,be BEL,MF,25,12.6,446,539,82.7,7653,1902,12,27,44.4,357,410,87.1,77,102,75.5,2,0.8,+1.2,9,33,10,3,39,Matches,Leicester City
Kelechi Iheanacho,ng NGA,FW,22,10.7,217,268,81.0,3124,629,9,24,37.5,182,210,86.7,26,34,76.5,3,2.5,+0.5,16,11,8,0,26,Matches,Leicester City
James Justin,eng ENG,DF,21,11.2,651,802,81.2,10832,3631,9,39,23.1,554,610,90.8,88,153,57.5,1,1.2,-0.2,13,41,14,7,72,Matches,Leicester City
Hamza Choudhury,eng ENG,MF,21,9.9,428,494,86.6,7799,1521,9,21,42.9,329,365,90.1,90,108,83.3,1,0.1,+0.9,3,30,2,0,20,Matches,Leicester City
Marc Albrighton,eng ENG,"MF,DF",29,9.6,344,508,67.7,6187,2445,6,32,18.8,271,330,82.1,67,146,45.9,3,1.9,+1.1,18,31,20,9,65,Matches,Leicester City
Christian Fuchs,at AUT,DF,33,8.6,510,630,81.0,9900,3725,6,17,35.3,397,435,91.3,107,178,60.1,0,0.1,-0.1,2,41,6,2,57,Matches,Leicester City
Wes Morgan,jm JAM,DF,35,4.8,220,238,92.4,4281,1033,2,4,50.0,171,179,95.5,47,55,85.5,0,0.0,0.0,0,3,0,0,9,Matches,Leicester City
Nampalys Mendy,fr FRA,MF,27,3.2,194,212,91.5,3423,770,4,6,66.7,154,164,93.9,36,42,85.7,0,0.1,-0.1,3,22,1,0,11,Matches,Leicester City
Demarai Gray,eng ENG,"MF,FW",23,6.9,271,326,83.1,4329,850,6,22,27.3,228,250,91.2,37,54,68.5,3,1.6,+1.4,15,12,13,4,28,Matches,Leicester City
Ryan Bennett,eng ENG,DF,29,3.7,174,221,78.7,3565,1504,4,7,57.1,124,139,89.2,46,75,61.3,0,0.0,0.0,0,24,1,1,12,Matches,Leicester City
Luke Thomas,eng ENG,DF,,3.0,156,190,82.1,2691,824,2,8,25.0,126,143,88.1,28,39,71.8,1,0.9,+0.1,9,8,9,8,26,Matches,Leicester City
George Hirst,eng ENG,FW,20,0.1,5,8,62.5,48,16,0,0,,5,8,62.5,0,0,,0,0.0,0.0,0,1,0,0,0,Matches,Leicester City
Matty James,eng ENG,MF,28,0.1,6,6,100.0,87,21,0,0,,5,5,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches,Leicester City
Virgil van Dijk,nl NED,DF,28,38.0,2791,3085,90.5,65378,18436,14,22,63.6,1736,1840,94.3,1041,1223,85.1,1,1.3,-0.3,7,228,9,0,156,Matches,Liverpool
Trent Alexander-Arnold,eng ENG,DF,20,35.3,2254,3147,71.6,49809,19995,33,120,27.5,1558,1821,85.6,663,1206,55.0,13,9.7,+3.3,85,202,90,30,459,Matches,Liverpool
Georginio Wijnaldum,nl NED,MF,28,32.6,1477,1628,90.7,25473,4631,24,54,44.4,1231,1320,93.3,222,254,87.4,0,1.3,-1.3,18,130,24,0,103,Matches,Liverpool
Andrew Robertson,sco SCO,DF,25,34.6,2370,2928,80.9,43579,14588,24,77,31.2,1906,2158,88.3,440,693,63.5,12,7.3,+4.7,61,175,65,27,335,Matches,Liverpool
Roberto Firmino,br BRA,FW,27,33.2,931,1171,79.5,14337,3583,42,101,41.6,765,921,83.1,124,149,83.2,8,6.1,+1.9,49,70,35,0,102,Matches,Liverpool
Mohamed Salah,eg EGY,FW,27,32.0,746,1004,74.3,11226,2982,18,66,27.3,655,812,80.7,73,126,57.9,10,7.1,+2.9,54,40,60,6,120,Matches,Liverpool
Sadio Mané,sn SEN,FW,27,30.5,933,1162,80.3,15607,3859,25,69,36.2,755,888,85.0,153,205,74.6,7,7.0,0.0,56,65,66,11,132,Matches,Liverpool
Alisson,br BRA,GK,26,28.3,794,925,85.8,22277,12306,2,2,100.0,407,410,99.3,385,513,75.0,1,0.4,+0.6,2,7,1,0,1,Matches,Liverpool
Jordan Henderson,eng ENG,MF,29,24.9,1582,1879,84.2,32654,7681,24,60,40.0,1119,1219,91.8,439,600,73.2,5,3.0,+2.0,22,181,32,6,181,Matches,Liverpool
Fabinho,br BRA,MF,25,23.1,1334,1528,87.3,27065,5338,19,35,54.3,962,1056,91.1,353,437,80.8,3,1.8,+1.2,18,129,21,2,101,Matches,Liverpool
Joe Gomez,eng ENG,DF,22,22.3,1743,1960,88.9,39368,10458,14,24,58.3,1125,1214,92.7,604,722,83.7,0,0.2,-0.2,5,130,11,2,95,Matches,Liverpool
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25,16.5,592,748,79.1,11902,2554,10,31,32.3,435,514,84.6,147,203,72.4,1,1.3,-0.3,17,81,31,7,79,Matches,Liverpool
James Milner,eng ENG,"MF,DF",33,10.4,664,773,85.9,13502,3314,5,22,22.7,484,525,92.2,175,226,77.4,2,0.7,+1.3,9,68,12,1,71,Matches,Liverpool
Adrián,es ESP,GK,32,9.7,227,314,72.3,6825,3820,2,4,50.0,107,108,99.1,118,202,58.4,0,0.0,0.0,0,3,0,0,0,Matches,Liverpool
Naby Keïta,gn GUI,MF,24,9.1,608,684,88.9,9688,2389,12,25,48.0,520,559,93.0,76,100,76.0,3,2.2,+0.8,15,74,16,2,65,Matches,Liverpool
Dejan Lovren,hr CRO,DF,30,8.6,530,603,87.9,11986,3512,1,5,20.0,346,370,93.5,183,228,80.3,1,0.3,+0.7,1,43,4,0,34,Matches,Liverpool
Joël Matip,cm CMR,DF,27,7.8,448,514,87.2,10265,3136,1,3,33.3,285,311,91.6,162,200,81.0,0,0.0,0.0,0,44,2,0,39,Matches,Liverpool
Divock Origi,be BEL,FW,24,8.0,158,219,72.1,2486,349,6,9,66.7,132,168,78.6,20,42,47.6,1,0.2,+0.8,6,5,9,2,12,Matches,Liverpool
Adam Lallana,eng ENG,"MF,FW",31,4.2,229,270,84.8,3400,791,6,15,40.0,203,222,91.4,20,33,60.6,1,0.8,+0.2,5,23,4,0,18,Matches,Liverpool
Neco Williams,wal WAL,DF,18,2.6,165,205,80.5,3196,700,2,9,22.2,128,143,89.5,35,53,66.0,0,0.1,-0.1,2,6,3,1,11,Matches,Liverpool
Takumi Minamino,jp JPN,"FW,MF",24,2.8,98,111,88.3,1465,186,4,5,80.0,84,94,89.4,10,12,83.3,0,0.0,0.0,1,3,4,1,6,Matches,Liverpool
Xherdan Shaqiri,ch SUI,FW,27,2.1,90,109,82.6,1637,526,1,2,50.0,71,80,88.8,18,27,66.7,0,0.2,-0.2,3,11,3,2,18,Matches,Liverpool
Curtis Jones,eng ENG,MF,18,1.4,111,128,86.7,1843,452,1,4,25.0,99,111,89.2,11,13,84.6,0,0.0,0.0,0,11,3,0,12,Matches,Liverpool
Harvey Elliot,eng ENG,DF,16,0.1,12,15,80.0,204,79,0,0,,10,11,90.9,2,4,50.0,0,0.0,0.0,0,2,1,1,4,Matches,Liverpool
Ederson,br BRA,GK,25,34.1,927,1063,87.2,23484,13255,1,1,100.0,579,584,99.1,347,478,72.6,0,0.1,-0.1,1,11,0,0,0,Matches,Manchester City
Kevin De Bruyne,be BEL,MF,28,31.0,1674,2244,74.6,34634,10510,27,91,29.7,1176,1423,82.6,471,730,64.5,20,18.4,+1.6,131,172,124,19,353,Matches,Manchester City
Raheem Sterling,eng ENG,FW,24,29.5,983,1217,80.8,13848,2795,21,82,25.6,889,1025,86.7,73,110,66.4,1,7.1,-6.1,47,31,55,6,97,Matches,Manchester City
Rodri,es ESP,MF,23,27.6,2363,2537,93.1,48600,10713,20,40,50.0,1680,1764,95.2,663,733,90.5,2,1.6,+0.4,32,232,20,1,168,Matches,Manchester City
Kyle Walker,eng ENG,DF,29,26.6,1884,2144,87.9,38487,8518,16,60,26.7,1363,1482,92.0,505,602,83.9,4,2.2,+1.8,17,222,28,7,181,Matches,Manchester City
Fernandinho,br BRA,DF,34,26.6,1985,2190,90.6,44224,14225,12,28,42.9,1303,1395,93.4,670,767,87.4,1,0.6,+0.4,7,226,11,1,168,Matches,Manchester City
Bernardo Silva,pt POR,"FW,MF",24,22.6,1262,1450,87.0,21082,4107,22,54,40.7,1058,1171,90.4,182,225,80.9,7,5.2,+1.8,51,67,41,9,112,Matches,Manchester City
David Silva,es ESP,MF,33,20.3,1319,1513,87.2,20974,4209,30,74,40.5,1113,1228,90.6,176,211,83.4,10,5.2,+4.8,46,89,65,1,145,Matches,Manchester City
Gabriel Jesus,br BRA,FW,22,22.6,532,608,87.5,7634,900,28,46,60.9,452,499,90.6,52,63,82.5,7,3.7,+3.3,30,21,14,1,26,Matches,Manchester City
İlkay Gündoğan,de GER,MF,28,22.4,1779,1956,91.0,33405,6508,22,46,47.8,1355,1455,93.1,402,455,88.4,1,2.8,-1.8,34,169,33,1,155,Matches,Manchester City
Riyad Mahrez,dz ALG,FW,28,21.6,1009,1188,84.9,18595,4424,17,42,40.5,782,863,90.6,210,283,74.2,9,9.0,0.0,58,53,71,8,147,Matches,Manchester City
Nicolás Otamendi,ar ARG,DF,31,19.1,1380,1488,92.7,29823,7222,6,17,35.3,932,980,95.1,442,491,90.0,0,0.2,-0.2,3,64,0,0,41,Matches,Manchester City
Benjamin Mendy,fr FRA,DF,25,16.6,1108,1285,86.2,19843,5799,12,37,32.4,927,1014,91.4,169,234,72.2,2,1.4,+0.6,20,55,38,20,153,Matches,Manchester City
Sergio Agüero,ar ARG,FW,31,16.1,284,367,77.4,3736,781,17,38,44.7,249,306,81.4,18,23,78.3,3,2.4,+0.6,16,12,20,0,33,Matches,Manchester City
Aymeric Laporte,fr FRA,DF,25,12.2,1041,1114,93.4,22473,6786,4,12,33.3,710,733,96.9,327,369,88.6,0,0.1,-0.1,1,109,1,0,81,Matches,Manchester City
Oleksandr Zinchenko,ua UKR,DF,22,14.2,1198,1348,88.9,20860,5523,12,27,44.4,996,1081,92.1,190,240,79.2,0,1.7,-1.7,18,98,31,11,141,Matches,Manchester City
João Cancelo,pt POR,DF,25,13.4,1008,1147,87.9,18391,5052,6,25,24.0,808,882,91.6,194,240,80.8,0,1.7,-1.7,15,99,23,3,102,Matches,Manchester City
John Stones,eng ENG,DF,25,12.5,966,1016,95.1,21068,5923,1,6,16.7,652,682,95.6,313,328,95.4,0,0.1,-0.1,2,80,1,0,54,Matches,Manchester City
Phil Foden,eng ENG,"FW,MF",19,10.0,431,508,84.8,6922,1357,10,23,43.5,361,401,90.0,60,84,71.4,2,2.0,0.0,18,28,13,2,37,Matches,Manchester City
Eric García,es ESP,DF,18,8.8,672,705,95.3,13842,3724,6,11,54.5,468,487,96.1,198,207,95.7,0,0.2,-0.2,2,42,1,1,41,Matches,Manchester City
Angeliño,es ESP,DF,22,4.7,335,426,78.6,6057,1706,4,14,28.6,266,304,87.5,65,108,60.2,0,1.2,-1.2,9,33,14,7,47,Matches,Manchester City
Claudio Bravo,cl CHI,GK,36,3.9,101,132,76.5,2698,1554,0,0,,60,61,98.4,41,71,57.7,0,0.0,0.0,0,0,0,0,0,Matches,Manchester City
Thomas Doyle,eng ENG,"MF,FW",17,0.2,19,19,100.0,279,26,0,0,,17,17,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches,Manchester City
Leroy Sané,de GER,FW,23,0.1,6,7,85.7,91,13,0,0,,5,6,83.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches,Manchester City
David de Gea,es ESP,GK,28,38.0,726,934,77.7,18877,11037,0,4,0.0,453,456,99.3,273,474,57.6,0,0.0,0.0,0,6,0,0,0,Matches,Manchester Utd
Harry Maguire,eng ENG,DF,26,38.0,2127,2403,88.5,46936,11786,19,29,65.5,1389,1513,91.8,719,861,83.5,1,0.5,+0.5,16,168,3,0,107,Matches,Manchester Utd
Victor Lindelöf,se SWE,DF,25,34.4,1764,2013,87.6,35557,11011,15,37,40.5,1280,1370,93.4,469,606,77.4,0,0.3,-0.3,4,83,1,0,95,Matches,Manchester Utd
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,1676,2064,81.2,24865,9480,41,116,35.3,1498,1705,87.9,137,243,56.4,4,3.0,+1.0,26,105,20,10,183,Matches,Manchester Utd
Marcus Rashford,eng ENG,FW,21,29.4,758,988,76.7,12428,3372,22,63,34.9,634,768,82.6,102,157,65.0,7,4.6,+2.4,33,60,67,4,141,Matches,Manchester Utd
Anthony Martial,fr FRA,FW,23,29.2,575,721,79.8,8011,1716,25,69,36.2,496,582,85.2,54,70,77.1,6,4.2,+1.8,31,36,33,1,67,Matches,Manchester Utd
Daniel James,wal WAL,FW,21,25.4,586,803,73.0,9009,2143,19,77,24.7,504,610,82.6,63,116,54.3,6,4.0,+2.0,26,34,29,9,70,Matches,Manchester Utd
Fred,br BRA,MF,26,24.0,1463,1714,85.4,29437,7269,23,56,41.1,1045,1149,90.9,395,509,77.6,0,2.5,-2.5,37,155,15,3,150,Matches,Manchester Utd
